STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Address,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Total Units,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Year Built,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
5-00001-0216,"10 BAY STREET LANDING
Staten Island, NY
(40.63818574879054, -74.07333765648139)",NEW BRIGHTON-ST. GEORGE,D0-ELEVATOR,128,1984,171935,1951743,11.35,5060000,29.4,5-00051-0001,"163 JERSEY STREET
Staten Island, NY
(40.64372781749142, -74.08653922598847)",NEW BRIGHTON,D3-ELEVATOR,131,1963,174895,2840710,16.24,6020000,34.4,0.85,5-03157-0001,"1950 CLOVE ROAD
Staten Island, NY
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1890996,10.48,4010000,22.22,2.55
5-00001-0250,"44 BAY STREET LANDING
Staten Island, NY
(40.63929316733155, -74.07332133724314)",NEW BRIGHTON-ST. GEORGE,D4-ELEVATOR,17,1985,25171,285731,11.35,741000,29.4,5-00014-0001,"167 CARROLL PLACE
Staten Island, NY
(40.64686770349777, -74.08199690754861)",NEW BRIGHTON,C1-WALK-UP,14,1920,13644,162383,11.9,456000,33.4,0.75,5-01015-0001,"137 HEBERTON AVENUE
Staten Island, NY
(40.63677941950782, -74.13131334974379)",PORT RICHMOND,C1-WALK-UP,28,1933,20800,314136,15.1,1060000,51,3.1
5-00003-0001,"350 RICHMOND TERRACE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",NEW BRIGHTON,D4-ELEVATOR,140,1960,145446,1563096,10.75,4050000,27.8,5-00013-0008,"165 ST MARK'S PLACE
Staten Island, NY
(40.64572365819617, -74.08098261959657)",NEW BRIGHTON-ST. GEORGE,D3-ELEVATOR,454,1976,524513,4290687,8.18,9100000,17.35,0.35,5-00008-0046,"100 STUYVESANT PLACE
Staten Island, NY
(40.643588582690974, -74.07742753293215)",NEW BRIGHTON-ST. GEORGE,D7-ELEVATOR,119,1924,121000,1146900,9.48,2730000,22.56,0.55
5-00101-0525,"515 CASTLETON AVENUE
Staten Island, NY
(40.63421242828656, -74.09983557856941)",WEST NEW BRIGHTON,C6-WALK-UP,16,1950,13114,113174,8.63,240000,18.3,5-00115-0090,"395 VICTORY BOULEVARD
Staten Island, NY
(40.632670280999676, -74.08683212401286)",TOMPKINSVILLE,C1-WALK-UP,17,1931,17320,142552,8.23,302000,17.44,0.7,5-00140-0051,"330 BARD AVENUE
Staten Island, NY
(40.63615311678233, -74.10685217736304)",WEST NEW BRIGHTON,C9-WALK-UP,13,1942,10086,96245,9.54,229000,22.7,0.35
5-00101-0537,"545 CASTLETON AVENUE
Staten Island, NY
(40.63436210493948, -74.10065732208393)",WEST NEW BRIGHTON,C6-WALK-UP,24,1950,17418,217899,12.51,612000,35.1,5-00225-0007,"290 MYRTLE AVENUE
Staten Island, NY
(40.628487843686294, -74.12168365783573)",WEST NEW BRIGHTON,C9-WALK-UP,24,1973,19140,243231,12.71,757000,39.6,1.1,5-00356-0172,"575 JEWETT AVENUE
Staten Island, NY
(40.62271709933221, -74.13202951102859)",CASTLETON CORNERS,C9-WALK-UP,20,1969,19020,248132,13.05,773000,40.6,1.8
5-00101-0554,"581 CASTLETON AVENUE
Staten Island, NY
(40.63458257193235, -74.10193621838208)",WEST NEW BRIGHTON,C6-WALK-UP,12,1950,10856,100527,9.26,213000,19.62,5-00115-0090,"395 VICTORY BOULEVARD
Staten Island, NY
(40.632670280999676, -74.08683212401286)",TOMPKINSVILLE,C1-WALK-UP,17,1931,17320,142552,8.23,302000,17.44,0.7,5-00140-0051,"330 BARD AVENUE
Staten Island, NY
(40.63615311678233, -74.10685217736304)",WEST NEW BRIGHTON,C9-WALK-UP,13,1942,10086,96245,9.54,229000,22.7,0.35
5-00130-0049,"245 FOREST AVENUE
Staten Island, NY
(40.6318297457294, -74.09779985702198)",WEST NEW BRIGHTON,C6-WALK-UP,13,1968,9810,148720,15.16,503000,51,5-00091-0017,"177 CLINTON AVENUE
Staten Island, NY
(40.64010047088482, -74.09780276066847)",WEST NEW BRIGHTON,C9-WALK-UP,20,1941,15888,245856,15.47,831000,52,0.5,5-00236-0027,"832 POST AVENUE
Staten Island, NY
(40.60667400010499, -74.16240100000613)",WEST NEW BRIGHTON,C1-WALK-UP,12,1931,8720,137411,15.76,465000,53,1.6
5-00131-0056,"255 FOREST AVENUE
Staten Island, NY
(40.63174299038349, -74.09807881413032)",WEST NEW BRIGHTON,C6-WALK-UP,13,1968,9810,119976,12.23,337000,34.4,5-00457-0024,"47 WATCHOGUE ROAD
Staten Island, NY
(40.613618778830705, -74.13242212512051)",WESTERLEIGH,C1-WALK-UP,12,1980,9960,122719,12.32,345000,34.6,2.2,5-01501-0001,"446 WATCHOGUE ROAD
Staten Island, NY
(40.616992075594126, -74.14605325919507)",WESTERLEIGH,C1-WALK-UP,12,1967,9928,120232,12.11,338000,34,2.8
5-00138-0119,"154 BARD AVENUE
Staten Island, NY
(40.64077829151043, -74.10872773579793)",LIVINGSTON,C6-WALK-UP,60,1947,36600,478362,13.07,1850000,51,5-00519-0007,"454 VAN DUZER STREET
Staten Island, NY
(40.6273662038036, -74.08114489007507)",STAPLETON,C9-WALK-UP,52,1966,39490,598820,15.16,2020000,51,1.65,5-02148-0018,"3220 VICTORY BOULEVARD
Staten Island, NY
(40.60638235696075, -74.16722877924717)",BULLS HEAD,C9-WALK-UP,52,1971,34422,404717,11.76,1140000,33.1,3.95
5-00327-0015,"1000 CLOVE ROAD
Staten Island, NY
(40.62062459750375, -74.11004923122906)",CLOVE LAKES,D4-ELEVATOR,143,1966,127800,1395148,10.92,3620000,28.3,5-02877-0025,"55 BOWEN STREET
Staten Island, NY
(40.614664489608586, -74.0830542384052)",CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2387297,15.42,5060000,32.7,1.4,,,,,,,,,,,,
5-00327-0060,"1100 CLOVE ROAD
Staten Island, NY
(40.619132257145964, -74.10660292523818)",CLOVE LAKES,D4-ELEVATOR,143,1967,127800,1395148,10.92,3620000,28.3,5-02877-0025,"55 BOWEN STREET
Staten Island, NY
(40.614664489608586, -74.0830542384052)",CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2387297,15.42,5060000,32.7,1.4,,,,,,,,,,,,
5-00593-0680,"151 ARLO ROAD
Staten Island, NY
(40.619607564842234, -74.0947917040224)",GRYMES HILL,C6-WALK-UP,24,1951,28600,358644,12.54,1010000,35.3,5-00557-0004,"51 COURSEN PLACE
Staten Island, NY
(40.61985973843662, -74.07926422586682)",STAPLETON,C9-WALK-UP,30,1971,19386,245257,12.65,636000,32.8,0.8,5-00736-0017,"17 SHERADEN AVENUE
Staten Island, NY
(40.61136161478008, -74.13834263868405)",WILLOWBROOK,C9-WALK-UP,30,1970,20460,269651,13.18,840000,41.1,2.4
5-00597-0120,"556 HOWARD AVENUE
Staten Island, NY
(40.61860692966038, -74.09378346522982)",GRYMES HILL,C6-WALK-UP,128,1951,121750,1475610,12.12,4150000,34.1,5-00593-0590,"22 ARLO ROAD
Staten Island, NY
(40.61966440829499, -74.09095421519612)",GRYMES HILL,C9-WALK-UP,165,1951,126836,2108603,16.62,7130000,56,0.3,5-01392-0002,"2701 GOETHALS ROAD
Staten Island, NY
(40.60667400010499, -74.16240100000613)",PORT IVORY,C9-WALK-UP,111,1984,57940,727481,12.56,2040000,35.2,4.7
5-02833-0031,"20 CLIFF STREET
Staten Island, NY
(40.6111776502839, -74.0606066595655)",ARROCHAR-SHORE ACRES,D4-ELEVATOR,122,1964,146640,1429693,9.75,3400000,23.19,5-03157-0001,"1950 CLOVE ROAD
Staten Island, NY
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1890996,10.48,4010000,22.22,1.55,,,,,,,,,,,,
5-02925-0432,"361 SKYLINE DRIVE
Staten Island, NY
(40.612546177166195, -74.0800538318982)",CONCORD-FOX HILLS,C6-WALK-UP,11,1999,21780,239144,10.98,507000,23.28,5-05598-0029,"37 PETRUS AVENUE
Staten Island, NY
(40.54693617087563, -74.16773874599465)",ELTINGVILLE,C9-WALK-UP,27,1991,23645,205136,8.68,435000,18.4,6.5,5-07868-0002,"7352 AMBOY ROAD
Staten Island, NY
(40.51071774368749, -74.24212096269477)",TOTTENVILLE,C9-WALK-UP,13,1995,11400,148454,13.02,462000,40.5,11.1
5-02925-0450,"295 SKYLINE DRIVE
Staten Island, NY
(40.6130095652697, -74.0789169248592)",CONCORD-FOX HILLS,C6-WALK-UP,11,2000,21865,240078,10.98,509000,23.28,5-05598-0029,"37 PETRUS AVENUE
Staten Island, NY
(40.54693617087563, -74.16773874599465)",ELTINGVILLE,C9-WALK-UP,27,1991,23645,205136,8.68,435000,18.4,6.5,5-07868-0002,"7352 AMBOY ROAD
Staten Island, NY
(40.51071774368749, -74.24212096269477)",TOTTENVILLE,C9-WALK-UP,13,1995,11400,148454,13.02,462000,40.5,11.1
5-02925-0479,"46 CIRCLE LOOP
Staten Island, NY
(40.613540506446355, -74.0792470743342)",CONCORD-FOX HILLS,C6-WALK-UP,19,2000,37220,408676,10.98,866000,23.27,5-05598-0029,"37 PETRUS AVENUE
Staten Island, NY
(40.54693617087563, -74.16773874599465)",ELTINGVILLE,C9-WALK-UP,27,1991,23645,205136,8.68,435000,18.4,6.5,5-07868-0002,"7352 AMBOY ROAD
Staten Island, NY
(40.51071774368749, -74.24212096269477)",TOTTENVILLE,C9-WALK-UP,13,1995,11400,148454,13.02,462000,40.5,11.1
5-02986-0012,"390 MARYLAND AVENUE
Staten Island, NY
(40.609357387836525, -74.07361237773283)",ROSEBANK,C6-WALK-UP,178,1974,155396,1269418,8.17,2690000,17.31,5-03157-0001,"1950 CLOVE ROAD
Staten Island, NY
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1890996,10.48,4010000,22.22,0.75,,,,,,,,,,,,
5-03191-0061,"1160 RICHMOND ROAD
Staten Island, NY
(40.60667400010499, -74.16240100000613)",DONGAN HILLS,D4-ELEVATOR,71,1969,63600,694299,10.92,1800000,28.3,5-03168-0161,"1000 TARGEE STREET
Staten Island, NY
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,0.4,,,,,,,,,,,,
5-03546-0001,"45 VERA STREET
Staten Island, NY
(40.5846655199337, -74.09703416886231)",GRANT CITY,C6-WALK-UP,118,1969,58350,506991,8.69,1070000,18.34,5-03168-0161,"1000 TARGEE STREET
Staten Island, NY
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,1.3,,,,,,,,,,,,
