HOUSING PROGRAMS,LEAD AGENCIES,CONTACT PERSON,TELEPHONE NUMBER,FAX NUMBER
HOPWA,DOHMH,John Rojas,347-396-7428,347-396-7559
"HUD CONTINUUM OF CARE HOMELESS ASSISTANCE PROGRAMS, Supportive Housing Program (SHP), Shelter Plus Care (S+C) and Section 8 Moderate Rehabilitation Single, Room Occupancy (SRO)",DHS,Eileen Lynch,212-361-7957,212-232-0559
SECTION 202 SUPPORTIVE HOUSING AND ASSISTED LIVING CENTERS,DFTA,Karen Taylor,212-442-0917,212-442-1206
SECTION 811 SUPPORTIVE HOUSING,MOPD,Jason Mischel,212-788-2830,212-341-9843
FAIR HOUSING INITIATIVE PROGRAM,DCP,Charles Sorrentino,212-720-3337,212-720-3495
HOUSING COUNSELING PROGRAMS,DCP,Charles Sorrentino,212-720-3337,212-720-3495
UNIVERSITY AND COLLEGE PROGRAMS,DCP,Charles Sorrentino,212-720-3337,212-720-3495
YOUTHBUILD(U.S. Dept. of Labor Grant),DCP,Charles Sorrentino,212-720-3337,212-720-3495
HOPE VI PUBLIC HOUSING REVITALIZATION,DCP,Charles Sorrentino,212-720-3337,212-720-3495
SECTION 213(A) REVIEW,DCP,Charles Sorrentino,212-720-3337,212-720-3495
