Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate,Number,Rate
Question and/or stop**,96,9.1%,693,65.4%,152,14.3%,13,1.2%,85,8%,21,2%
Question ,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Stop,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Frisk and/or search*,1,9.1%,2,18.2%,5,45.5%,0,0%,2,18.2%,1,9.1%
Search,48,10.1%,116,24.3%,185,38.8%,44,9.2%,74,15.5%,10,2.1%
Frisk,47,12.5%,166,44.3%,85,22.7%,20,5.3%,50,13.3%,7,1.9%
Vehicle search,41,15.5%,99,37.5%,69,26.1%,17,6.4%,32,12.1%,6,2.3%
Vehicle stop,16,5.5%,184,63%,57,19.5%,1,0.3%,23,7.9%,11,3.8%
Premises entered or searched,29,5.3%,376,68.5%,81,14.8%,22,4%,35,6.4%,6,1.1%
Strip search,8,5.6%,53,37.3%,32,22.5%,38,26.8%,7,4.9%,4,2.8%
Gun drawn,3,2.5%,50,42%,19,16%,29,24.4%,14,11.8%,4,3.4%
Property seized,16,17.4%,35,38%,21,22.8%,14,15.2%,4,4.3%,2,2.2%
Property damaged,6,2.9%,49,23.4%,53,25.4%,67,32.1%,31,14.8%,3,1.4%
Threat to notify ACS,0,0%,12,41.4%,9,31%,3,10.3%,4,13.8%,1,3.4%
Threat of force,13,3.8%,38,11.2%,107,31.6%,121,35.7%,49,14.5%,11,3.2%
Threat to damage/seize property,2,3.4%,17,28.8%,18,30.5%,11,18.6%,8,13.6%,3,5.1%
Threat of arrest,27,5%,245,45.1%,132,24.3%,72,13.3%,55,10.1%,12,2.2%
Threat of summons,1,1.9%,17,32.1%,25,47.2%,8,15.1%,2,3.8%,0,0%
Retaliatory arrest,9,13.4%,33,49.3%,14,20.9%,1,1.5%,4,6%,6,9%
Retaliatory summons,31,29.5%,36,34.3%,30,28.6%,6,5.7%,0,0%,2,1.9%
Refusal to process complaint,5,9.1%,4,7.3%,19,34.5%,10,18.2%,15,27.3%,2,3.6%
Refusal to give name/shield number,50,10.6%,18,3.8%,195,41.2%,138,29.2%,61,12.9%,11,2.3%
Refusal to obtain medical treatment,0,0%,2,2.4%,26,31.3%,48,57.8%,7,8.4%,0,0%
Refusal to show search warrant***,1,3.8%,3,11.5%,8,30.8%,8,30.8%,5,19.2%,1,3.8%
Improper dissemination of medical info,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Other,15,10.9%,63,45.7%,40,29%,13,9.4%,4,2.9%,3,2.2%
Total,465,8.4%,2311,41.6%,1382,24.9%,704,12.7%,571,10.3%,127,2.3%
"* Beginning in 2005, the CCRB captured ""frisk"" and ""search"" as distinct allegations.",,,,,,,,,,,,
"** Beginning in 2007, the CCRB captured ""question"" and ""stop"" as distinct allegations.",,,,,,,,,,,,
"*** The CCRB began to capture the allegation ""refusal to show search warrant"" on April 1, 2004.",,,,,,,,,,,,
