Medallion Number,Garage/Agent,Telephone,Cross Streets,Borough,Zip Code,Hours of Operation,Fax #,Website,Languages,Location 1,Location 2
1A10,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A11,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A12,WOODSIDE MANAGEMENT INC,718-899-9369,,Queens,11377,9a-5p/ M-Sa,N/A,N/A,"English, Spanish, Urdu ","49-13 Roosevelt Avenue
Queens, New York 11377
(40.745453337107065, -73.90526052883693)","N/A
"
1A13,JTL MANAGEMENT INC,718-392-7000,,Queens,11101,9a-5p/ M-F,N/A,N/A,English,"36-16 Skillman Avenue
Queens, New York 11101
(40.74741133625395, -73.92766771469138)","N/A
"
1A14,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1A15,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A16,SUSAN MAINTENANCE CORP,718-222-4040,,Brooklyn,11215,24/7,N/A,N/A,"English, Spanish","374 4th Avenue
Brooklyn, New York 11215
(40.672955422270284, -73.98670654973029)","N/A
"
1A17,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A18,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A19,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A20,SUSAN MAINTENANCE CORP,718-222-4040,,Brooklyn,11215,24/7,N/A,N/A,"English, Spanish","374 4th Avenue
Brooklyn, New York 11215
(40.672955422270284, -73.98670654973029)","N/A
"
1A21,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A22,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
