AGENCY, FY 2002 Actual , FY 2003 Actual , FY 2004 Actual , FY 2005 Actual , FY 2006 Actual , FY 2007 Actual , FY 2008 Actual ,FY 2009 Actual,FY 2010 Actual,FY 2011 Plan,FY 2012 Plan,FY 2013 Plan,FY 2014 Plan,FY 2015 Plan,CAPITAL COMMITMENTS ($ IN MILLIONS) - CITY FUNDS
Aging,8,5,2,5,3,5,4,-1,4,31,1,5,2,2,Plan data as of February 2011 Financial Plan
Waterway Bridges,46,181,215,3,14,108,352,103,339,13,59,2,7,8,
Correction,31,110,30,50,92,44,6,40,68,256,132,70,553,33,
Children's Services,25,13,10,4,1,23,6,8,5,73,12,27,6,5,
Courts,191,86,103,129,142,159,540,11,77,139,23,58,27,39,
DoITT,34,63,40,110,85,228,224,231,745,641,235,230,3,0,
Education,1337,890,571,2188,1411,1143,1127,991,1122,1128,1358,886,1169,886,
Economic Development,190,237,206,207,154,134,380,300,399,776,261,261,24,24,
Fire,149,81,66,93,108,116,121,71,120,185,89,87,35,48,
Ferries and Aviation,117,46,19,-8,15,24,13,8,16,19,31,35,9,4,
Franchise Transportation,2,0,0,4,0,0,0,0,0,0,0,0,0,0,
Electrical Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Housing Authority,9,13,3,3,21,20,37,37,49,93,6,24,7,7,
Highway Bridges,63,191,149,91,244,146,91,235,195,204,269,178,179,115,
Housing,321,203,216,275,238,218,351,243,192,544,188,282,253,187,
Homeless Services,22,14,10,29,14,22,69,26,34,56,19,15,11,15,
Health,44,52,32,51,64,62,53,51,51,352,57,125,5,3,
Higher Education,9,17,18,20,39,22,129,205,29,251,0,44,3,3,
Hospitals,77,50,58,399,243,167,179,229,124,292,218,186,53,18,
Human Resources,26,43,11,7,3,21,12,8,7,57,6,10,6,6,
Highways and Streets,211,171,202,224,200,319,325,226,375,518,335,238,183,147,
Juvenile Justice,0,-1,1,5,1,2,0,1,0,4,3,1,1,1,
Libraries,45,76,70,41,31,38,52,103,73,262,17,32,4,2,
MTA Bus Company,0,0,0,0,0,0,0,0,17,19,0,0,0,0,
Parks and Recreation,166,222,116,211,262,465,506,504,519,961,122,249,71,117,
Police,119,81,65,43,76,87,101,146,805,256,42,66,71,81,
"Ports, Intl Tr & Commerce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Services - Equipment,191,142,134,188,294,453,639,426,289,466,213,202,95,64,
Cultural Affairs,208,203,98,140,143,97,211,426,319,396,91,95,18,13,
Public Buildings,167,98,175,78,108,95,165,141,91,359,296,80,43,38,
Real Property,14,11,2,1,4,-1,-2,0,2,3,4,1,2,3,
Sanitation,216,159,140,137,77,189,172,170,503,577,114,106,79,133,
SIRTOA,0,2,1,1,1,0,0,2,1,3,1,0,0,0,
Transit Authority,6,519,80,179,82,43,40,70,82,191,104,40,40,53,
DOT - Equipment,12,26,9,7,4,5,20,26,-7,33,10,3,2,2,
Traffic,29,12,33,36,35,60,34,45,42,121,36,10,22,4,
WNYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DEP,1747,1373,1654,2337,1702,3657,3051,2182,2327,2249,1586,1935,1613,1333,
Reserve for Unattained Commitments,0,0,0,0,0,0,0,0,0,-3251,582,-223,265,512,
TOTAL,5832,5389,4539,7288,5911,8171,9008,7264,9014,8277,6520,5360,4861,3906,
