Year,Abuse Type,Abuse Count
2009,Failure to show search warrant,75
2009,Frisk,727
2009,Gun drawn,155
2009,Improper dissemination of medical info,2
2009,Premises entered and/or searched,880
2009,Property damaged,297
2009,Question,385
2009,Refusal to obtain medical treatment,168
2009,Refusal to process civilian complaint,118
2009,Refusal to provide name/shield number,1009
2009,Retaliatory arrest,16
2009,Retaliatory summons,49
2009,Search,1418
2009,Seizure of property,82
2009,Stop,1857
2009,Strip-search,236
2009,Threat of arrest,1054
2009,Threat of force,709
2009,Threat of summons,74
2009,Threat to damage/seize property,81
2009,Threat to notify ACS,49
2009,Vehicle search,529
2009,Vehicle stop,485
2009,Other form of abuse,94
2009,Question and/or Stop*,0
2010,Failure to show search warrant,57
2010,Frisk,671
2010,Gun drawn,155
2010,Improper dissemination of medical info,0
2010,Premises entered and/or searched,740
2010,Property damaged,179
2010,Question,222
2010,Refusal to obtain medical treatment,142
2010,Refusal to process civilian complaint,61
2010,Refusal to provide name/shield number,910
2010,Retaliatory arrest,12
2010,Retaliatory summons,39
2010,Search,1290
2010,Seizure of property,41
2010,Stop,1558
2010,Strip-search,217
2010,Threat of arrest,766
2010,Threat of force,581
2010,Threat of summons,61
2010,Threat to damage/seize property,47
2010,Threat to notify ACS,55
2010,Vehicle search,480
2010,Vehicle stop,342
2010,Other form of abuse,41
2010,Question and/or Stop*,0
2011,Failure to show search warrant,68
2011,Frisk,763
2011,Gun drawn,140
2011,Improper dissemination of medical info,1
2011,Premises entered and/or searched,823
2011,Property damaged,172
2011,Question,185
2011,Refusal to obtain medical treatment,169
2011,Refusal to process civilian complaint,105
2011,Refusal to provide name/shield number,810
2011,Retaliatory arrest,15
2011,Retaliatory summons,37
2011,Search,1244
2011,Seizure of property,43
2011,Stop,1586
2011,Strip-search,272
2011,Threat of arrest,762
2011,Threat of force,560
2011,Threat of summons,32
2011,Threat to damage/seize property,57
2011,Threat to notify ACS,66
2011,Vehicle search,442
2011,Vehicle stop,346
2011,Other form of abuse,45
2011,Question and/or Stop,0
