Brooklyn South,2005,2006,2007,2008,2009,Total
60th Precinct,95,110,117,96,122,540
61st Precinct,62,75,78,62,79,356
62nd Precinct,37,51,58,56,37,239
63rd Precinct,55,58,75,58,46,292
66th Precinct,40,49,29,42,36,196
67th Precinct,197,216,197,144,198,952
68th Precinct,51,57,48,36,38,230
69th Precinct,74,92,81,70,82,399
70th Precinct,153,232,170,141,161,857
71st Precinct,121,139,141,127,110,638
72nd Precinct,87,72,65,61,71,356
76th Precinct,31,53,42,34,46,206
78th Precinct,52,46,47,45,27,217
Brooklyn South Total,1055,1250,1148,972,1053,5478
Brooklyn North,,,,,,
73rd Precinct,222,243,277,242,252,1236
75th Precinct,299,333,350,349,357,1688
77th Precinct,155,177,145,157,160,794
79th Precinct,120,145,153,180,217,815
81st Precinct,80,125,118,126,127,576
83rd Precinct,140,159,147,128,142,716
84th Precinct,66,103,62,65,73,369
88th Precinct,66,71,62,67,60,326
90th Precinct,87,79,104,103,83,456
94th Precinct,37,29,21,36,37,160
Brooklyn North Total,1272,1464,1439,1453,1508,7136
Brooklyn Total,2327,2714,2587,2425,2561,12614
