Studio Name,Zip Code,Phone,Fax,Website,Email,Location 1
audioEngine,10003,212-473-2700,212-473-2772,www.audioengine.net,jenniferh@audioengine.net,"817 Broadway
New York, NY 10003
(40.73318406175042, -73.99113287029905)"
Avatar Studios,10019,212-765-7500,,www.avatarstudios.net,tino@avatarstudios.net,"441 53rd Street
New York, NY 10019
(40.766225153106916, -73.98959502962896)"
Beatstreet Productions,10010,212-777-8440,212-477-1735,www.beatstreetnyc.com,info@beatstreetnyc.com,"928 Broadway
New York, NY 10010
(40.740027902393365, -73.98954107030721)"
Big Yellow Duck,10036,212-997-1200,212-997-1293,www.bigyellowduck.com,ralph@bigyellowduck.com,"62 45th St
New York, NY 10036
(40.756422542987536, -73.98191481949874)"
Bond,10012,212-533-9400,,www.bondedit.com,jeff_beckerman@bondedit.com,"665 Broadway
New York, NY 10012
(40.72709323153663, -73.99536310518687)"
Btoven Music,10019,917-749-0271,,www.btovenmusic.com,brian@btovenmusic.com,"245 55th Street
New York, NY 10019
(40.76513697345143, -73.98314689067888)"
Full House Productions,10011,212-645-2228,212-627-2838,www.fullhouseny.com,,"123 18th St
New York, NY 10011
(40.74016732024642, -73.99568642245652)"
Hobo Audio Company,10018,212-967-6532,646-607-2767,www.hoboaudio.com,info@hoboaudio.com,"555 Eighth Ave
New York, NY 10018
(40.75452497350568, -73.99178038216019)"
HSR/NY,10170,212-687-4180,,www.hsrny.com,zoes@hsrny.com,"420 Lexington Avenue
New York, NY 10170
(40.75243854639774, -73.97533178224427)"
Integrated Studios,10013,212-334-4000,212-334-6969,www.integratedstudios.com,info@integratedstudios.com,"449 Washington St
New York, NY 10013
(40.72391205162836, -74.01025245664198)"
Manhattan Center Studios,10001,877-627-8834,212-564-1092,www.mcstudios.com,obie@mcpstudios.com,"311 34th St
New York, NY 10001
(40.75236922928425, -73.99380365826907)"
Mediaracket,10010,212-961-7337,212-633-9933,www.mediaracket.com,tom@mediaracket.com,"19 21st St
New York, NY 10010
(40.73965018714108, -73.98910939573312)"
"Mixopolis, Inc.",10017,212-980-5009,212-223-4524,www.mixopolis.com,lydia@mixopolis.com,"5 47th St
New York, NY 10017
(40.75638657010637, -73.97790384324804)"
Now Hear This,10019,212-265-1188,212-265-6363,www.nhtsound.com,larry@nhtsound.com,"250 49th St
New York, NY 10019
(40.76117154430537, -73.98547962433308)"
"Pomann Sound, Inc.",10036,212-869-4161,212-869-4541,www.pomannsound.com,info@pomannsound.com,"2 46th St
New York, NY 10036
(40.75628764468314, -73.97962154832402)"
Serge Audio,10001,212-213-0808,,www.sergeaudio.com,info@sergeaudio.com,"260 Fifth Ave
New York, NY 10001
(40.74511393419714, -73.98699593255724)"
Silver Sound Inc.,10001,212-757-5147,212-757-6245,www.silversound.us,cory@silversound.us,"28 27th St
New York, NY 10001
(40.74492920745308, -73.98979288047542)"
SoundHound Inc.,10036,212-575-8664,212-575-9412,www.soundhound.com,arhodes@soundhound.com,"45 45th St
New York, NY 10036
(40.756045087288264, -73.98091482150254)"
Soundtrack,10010,212-420-6010,612-677-6403,www.soundtrackny.com,maegan.hayward@soundtrackny.com,"936 Broadway
New York, NY 10010
(40.74047615511501, -73.98939859765478)"
Soundtrack Film & Television,10011,212-420-6010,,www.soundtrackgroup.com,,"128 22nd Street
New York, NY 10011
(40.742561654684046, -73.99414186527596)"
"Splash Studios, Inc.",10010,212-271-8747,212-271-8748,www.splash-studios.com,booking@splash-studios.com,"49 23rd St
New York, NY 10010
(40.742402112550735, -73.99161850419489)"
Strongboy Studios,10031,212-203-2325,212-222-1113,www.strongboystudios.com,ny411@strongboystudios.com,"512 151st Street
New York, NY 10031
(40.82949245786813, -73.94595093154703)"
Studio Center ,10017,212-986-3070,212-490-9737,http://studiocenter.com/Home.aspx,sharon@tonic.tv,"315 Madison
New York, NY 10017
(40.75302807420086, -73.97907855707565)"
Vertical Entertainment,10036,310-435-3766,,www.vrtclentertainment.com,info@vrtclentertainment.com,"440 41st Street
New York, NY 10036
(40.75845501077373, -73.99466720587424)"
VideoActive Productions,10036,212-541-6592,,www.videoactiveprod.com,vworks@aol.com,"1560 Broadway
New York, NY 10036
(40.75900327160855, -73.98519067014539)"
