Queens South,2005,2006,2007,2008,2009,Total
100th Precinct,2%,1%,0%,0%,1%,4%
101st Precinct,8%,10%,6%,6%,6%,36%
102nd Precinct,2%,4%,0%,0%,0%,6%
103nd Precinct,0%,5%,5%,4%,4%,18%
105th Precinct,4%,3%,7%,0%,0%,14%
106th Precinct,2%,0%,0%,0%,1%,3%
107th Precinct,0%,2%,1%,1%,3%,7%
113th Precinct,7%,1%,0%,0%,3%,11%
Precincts Total,25%,26%,19%,11%,18%,99%
Task Force,0%,0%,2%,0%,0%,2%
Borough Headquarters,0%,0%,0%,0%,0%,0%
Anti-crime Unit,2%,0%,3%,0%,0%,5%
Patrol Borough Queens South Total,27%,26%,24%,11%,18%,106%
Percent of All Subject Officers Against Whom Allegations were Substantiated,9.2%,6.6%,4.3%,3%,5.2%,5.4%
