Brooklyn South,2005,2006,2007,2008,2009,Total
60th Precinct,30,36,28,24,22,140
61st Precinct,33,31,40,30,26,160
62nd Precinct,20,25,21,28,13,107
63rd Precinct,27,30,40,25,23,145
66th Precinct,24,14,15,22,18,93
67th Precinct,94,90,72,51,60,367
68th Precinct,28,28,18,19,14,107
69th Precinct,51,45,46,35,34,211
70th Precinct,76,108,70,87,81,422
71st Precinct,69,68,70,53,39,299
72nd Precinct,36,32,28,26,29,151
76th Precinct,9,7,11,16,15,58
78th Precinct,23,18,25,12,10,88
Precincts Total,520,532,484,428,384,2348
Task Force,8,10,11,12,11,52
Borough HQ,0,1,0,1,2,4
Anti-crime Unit,3,2,5,4,4,18
Patrol Borough Brooklyn South Total,531,545,500,445,401,2422
