PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 105 - Blythebourne School,Brooklyn,Brooklyn Chinese American Association,718-438-0008,A parent 16 Years Old or Older ,"1031 59th Street
Brooklyn, NEW YORK 11219
(40.63300376501953, -74.00381336276764)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718-438-0008,A parent 16 Years Old or Older ,"5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.64105371224104, -74.00381858175466)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 249 - The Caton School,Brooklyn,"CAMBA, Inc.",718-282-5575,A parent 16 Years Old or Older ,"18 Marlborough Road
Brooklyn, NEW YORK 11226
(40.649842155595174, -73.96609617601914)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 8 - Luis Belliard School,New York,The Children's Aid Society,212-949-4917,A parent 16 Years Old or Older ,"465 167 Street
New York, NEW YORK 10032
(40.8389205164512, -73.93676691090876)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 92 - Harry T Stewart Senior,Queens,Coalition for Hispanic Family Services,718-497-6090,A parent 16 Years Old or Older ,"99 01 34 Avenue
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 149 - Christa Mcauliffe,Queens,Goodwill Industries of Greater New York,718-426-0888,A parent 16 Years Old or Older ,"93 11 34th Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 73 - The Bronx School,Bronx,Highbridge Community Life Center (HCLC),718-681-2222,A parent 16 Years Old or Older ,"1020 Anderson Avenue
Bronx, NEW YORK 10452
(40.832779162508096, -73.92673351173502)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 19 - Curtis School,Staten Island,"Jewish Community Center of Staten Island, Inc.",718-508-3883,A parent 16 Years Old or Older ,"780 Post Avenue
Staten Island, NEW YORK 10310
(40.631189624083056, -74.127115288525)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718-943-6325,A parent 16 Years Old or Older ,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326705934, -73.98919274272059)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 115 - Alexander Humboldt School,New York,Northern Manhattan Improvement Corporation,212-453-5397,A parent 16 Years Old or Older ,"586 177th Street
New York, NEW YORK 10033
(40.84641769845956, -73.93487128414608)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Phipps Community Education Center,Bronx,Phipps Community Development,718-364-2496,A parent 16 Years Old or Older ,"1030 178th Street
Bronx, NEW YORK 10460
(40.84134504810141, -73.88030387915799)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 89 - Elmhurst School,Queens,The Child Center of NY,718-659-4000,A parent 16 Years Old or Older ,"85 28 Britton Avenue
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 225 - Eileen E Zaglin School,Brooklyn,Shorefront YM-YWHA,718-646-1444,A parent 16 Years Old or Older ,"1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.5797910944251, -73.95643350547934)"
