QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-00030-7501,558-R1,5-09 48 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,121,2007,113450,3403500,30,16300001,144,4-00021-0070,47-25 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,495,2007,460000,15848601,34.5,75900000,165,0.15,,,,,,,,,,,,
4-00031-7501,478-R1,5-15 49 AVENUE,LONG ISLAND CITY,R2-WALK-UP,47,2005,62866,1885980,30,9030002,144,4-00575-0029,27-37 27 STREET,ASTORIA,D3-ELEVATOR,30,1970,30572,574284,18.78,2270000,74,2.4,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,559719,22.88,2430000,99,0.2
4-00032-7501,487-R1,5-03 50 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,13,2006,18375,413437,22.5,1800000,98,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,559719,22.88,2430000,99,0.15,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1362613,22.08,5920000,96,2
4-00047-7501,542-R1,10-55 47 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,43,2007,58500,1579500,27,7579996,130,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1451036,26.6,6300000,116,8.5,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,559719,22.88,2430000,99,0.25
4-00057-7501,488-R1,13-15 JACKSON AVENUE,LONG ISLAND CITY,R4-ELEVATOR,54,2006,60623,1818690,30,8709996,144,4-00575-0029,27-37 27 STREET,ASTORIA,D3-ELEVATOR,30,1970,30572,574284,18.78,2270000,74,2.2,4-00021-0070,47-25 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,495,2007,460000,15848601,34.5,75900000,165,0.4
4-00082-7501,484-R1,27-28 THOMSON AVENUE,LONG ISLAND CITY,R4-ELEVATOR,237,1920,310173,6203460,20,26900004,87,4-00139-0035,43-34 49 STREET,SUNNYSIDE,D1-ELEVATOR,72,1927,53000,966084,18.23,3820000,72,1.35,4-00153-0012,45-35 46 STREET,SUNNYSIDE,D1-ELEVATOR,45,1927,33078,606609,18.34,2400000,73,1.25
4-00134-7501,498-R1,49-07 43 AVENUE,SUNNYSIDE,R4-ELEVATOR,15,2005,15610,312200,20,1360012,87,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,559719,22.88,2430000,99,2,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1362613,22.08,5920000,96,1.7
4-00158-7501,553-R1,41-32 44 STREET,SUNNYSIDE,R4-ELEVATOR,39,2006,25035,525735,21,2280001,91,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,559719,22.88,2430000,99,1.7,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1362613,22.08,5920000,96,1.5
4-00159-7501,93-R1,41-21 42 STREET,SUNNYSIDE,R4-ELEVATOR,52,1936,54986,659832,12,2279995,41.5,4-00184-0023,41-08 42 STREET,SUNNYSIDE,D1-ELEVATOR,60,1937,64505,688455,10.67,2140000,33.2,0.05,4-00184-0029,41-22 42 STREET,SUNNYSIDE,D1-ELEVATOR,60,1937,61770,808467,13.09,2790000,45.2,0.05
4-00159-7502,92-R1,41-07 42 STREET,SUNNYSIDE,R4-ELEVATOR,60,1936,58926,707112,12,2439995,41.4,4-00163-0014,43-23 42 STREET,SUNNYSIDE,D1-ELEVATOR,60,1942,61320,668943,10.91,2080000,33.9,0.1,4-00160-0018,43-15 45 STREET,SUNNYSIDE,D1-ELEVATOR,52,1931,43050,580030,13.47,2120000,49.2,0.2
