Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
3,2006,Female,30109,667,2616,8.7,7400,24.6,18211,60.5,1882,6.3,20093,66.7
3,2007,Female,34691,661,3460,10,10142,29.2,18637,53.7,2452,7.1,21089,60.8
3,2008,Female,33390,663,2163,6.5,9942,29.8,18315,54.9,2970,8.9,21285,63.7
3,2009,Female,34209,668,1502,4.4,7197,21,22245,65,3265,9.5,25510,74.6
3,2010,Female,33810,666,5156,15.2,11845,35,11901,35.2,4908,14.5,16809,49.7
3,2011,Female,34725,663,4305,12.4,11863,34.2,17065,49.1,1492,4.3,18557,53.4
3,2012,Female,35015,664,4494,12.8,11768,33.6,16414,46.9,2339,6.7,18753,53.6
4,2006,Female,31750,661,2844,9,9053,28.5,17632,55.5,2221,7,19853,62.5
4,2007,Female,33987,659,2949,8.7,10530,31,18424,54.2,2084,6.1,20508,60.3
4,2008,Female,33970,662,2585,7.6,8876,26.1,20040,59,2469,7.3,22509,66.3
4,2009,Female,33346,667,1341,4,7647,22.9,22156,66.4,2202,6.6,24358,73
4,2010,Female,34429,669,3249,9.4,14152,41.1,15160,44,1868,5.4,17028,49.5
4,2011,Female,34168,672,2506,7.3,12664,37.1,18009,52.7,989,2.9,18998,55.6
4,2012,Female,34225,674,2635,7.7,11963,35,17868,52.2,1759,5.1,19627,57.3
5,2006,Female,34177,657,2357,6.9,11325,33.1,17172,50.2,3323,9.7,20495,60
5,2007,Female,34648,658,1999,5.8,12411,35.8,18539,53.5,1699,4.9,20238,58.4
5,2008,Female,33483,663,636,1.9,8753,26.1,22484,67.2,1610,4.8,24094,72
5,2009,Female,33500,670,229,0.7,7477,22.3,22327,66.6,3467,10.3,25794,77
5,2010,Female,32934,673,3995,12.1,12059,36.6,12306,37.4,4574,13.9,16880,51.3
5,2011,Female,33957,669,3116,9.2,12784,37.6,16216,47.8,1841,5.4,18057,53.2
5,2012,Female,33603,670,3217,9.6,11549,34.4,16971,50.5,1866,5.6,18837,56.1
6,2006,Female,33975,651,2573,7.6,13521,39.8,14923,43.9,2958,8.7,17881,52.6
6,2007,Female,33923,656,827,2.4,14764,43.5,15917,46.9,2415,7.1,18332,54
6,2008,Female,33439,656,594,1.8,13576,40.6,18299,54.7,970,2.9,19269,57.6
6,2009,Female,33052,666,36,0.1,7474,22.6,22721,68.7,2821,8.5,25542,77.3
6,2010,Female,33164,660,4791,14.4,13750,41.5,13147,39.6,1476,4.5,14623,44.1
6,2011,Female,32905,660,4557,13.8,12619,38.3,14646,44.5,1083,3.3,15729,47.8
6,2012,Female,33625,662,3540,10.5,13131,39.1,16198,48.2,756,2.2,16954,50.4
