QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-00018-0001,"4 74 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,536,1996,724475,11084467,15.3,45100000,62,4-06809-0001,"75 25 153 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D8-ELEVATOR,388,2004,534846,17900000,33.5,86700000,162,7.8,4-06797-0054,"159 10 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D6-ELEVATOR,142,2000,209525,5430133,25.9,26300000,126,7.9
4-00125-0028,"46 01 39 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,158,1961,155750,1791125,11.5,6310000,40.5,4-02319-0010,"47 50 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2297319,9.6,6490000,27.1,0.85,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2347652,11.49,8280000,40.5,3.5
4-00128-0007,"39 25 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,426,1951,385200,4429800,11.5,15600000,40.5,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2347652,11.49,8280000,40.5,3.25,4-02319-0010,"47 50 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2297319,9.6,6490000,27.1,0.6
4-00131-0004,"50 05 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,73,1932,64350,1029600,16,4190000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.2,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1176753,16.08,4790000,65,0.2
4-00131-0036,"41 36 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,42,1930,42474,679584,16,2760000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.2,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1176753,16.08,4790000,65,0.2
4-00134-0045,"41 42 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,43,1940,45570,729120,16,2970000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.15,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1176753,16.08,4790000,65,0.15
4-00140-0040,"43 30 48 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,92,1927,79896,1271145,15.91,5170000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.1,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.1
4-00141-0015,"43 33 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,176,1932,140760,2238084,15.9,9100000,65,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.1,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.1
4-00141-0024,"43 01 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,69,1942,58650,932535,15.9,3790000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.1,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.1
4-00156-0005,"41 15 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,320,1943,250000,3975000,15.9,16200000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.05,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.05
