STATEN ISLAND CONDOMINIUM PROPERTY Boro-Block-Lot,STATEN ISLAND CONDOMINIUM PROPERTY Condo Section,STATEN ISLAND CONDOMINIUM PROPERTY Address,STATEN ISLAND CONDOMINIUM PROPERTY Neighborhood,STATEN ISLAND CONDOMINIUM PROPERTY Building Classification,STATEN ISLAND CONDOMINIUM PROPERTY Total Units,STATEN ISLAND CONDOMINIUM PROPERTY Year Built,STATEN ISLAND CONDOMINIUM PROPERTY Gross SqFt,STATEN ISLAND CONDOMINIUM PROPERTY Est. Gross Income,STATEN ISLAND CONDOMINIUM PROPERTY Gross Income per SqFt,STATEN ISLAND CONDOMINIUM PROPERTY Full Market Value,STATEN ISLAND CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
5-00251-7501,48-R1,"200 HART BOULEVARD
Staten Island, New York
(40.63054518810277, -74.10048018104207)",SILVER LAKE,R4-ELEVATOR,47,1937,51552,530470,10.29,1789998,34.7,5-03168-0161,"1000 TARGEE STREET
Staten Island, New York
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,863625,11.63,3040000,40.9,1.85,,,,,,,,,,,,
5-00579-7501,45-R1,"55 AUSTIN PLACE
Staten Island, New York
(40.63128829168903, -74.08577235111134)",TOMPKINSVILLE,R4-ELEVATOR,147,1965,159096,1828013,11.49,6439986,40.5,5-00593-0001,"800 VICTORY BOULEVARD
Staten Island, New York
(40.62428526871229, -74.09396048742536)",GRYMES HILL,D1-ELEVATOR,150,1961,143419,1648533,11.49,5810000,40.5,0.85,,,,,,,,,,,,
5-00610-7501,25-R1,"830 HOWARD AVENUE
Staten Island, New York
(40.6129442240283, -74.09809589868091)",SUNNYSIDE,R4-ELEVATOR,66,1981,65392,672883,10.29,2269998,34.7,5-03168-0161,"1000 TARGEE STREET
Staten Island, New York
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,863625,11.63,3040000,40.9,0.75,,,,,,,,,,,,
5-00610-7502,34-R1,"850 HOWARD AVENUE
Staten Island, New York
(40.61275315799477, -74.09837577355162)",SUNNYSIDE,R4-ELEVATOR,67,1981,65392,672883,10.29,2270011,34.7,5-03168-0161,"1000 TARGEE STREET
Staten Island, New York
(40.60461509117981, -74.09113051231361)",GRASMERE,D5-ELEVATOR,98,1972,74260,863625,11.63,3040000,40.9,0.75,,,,,,,,,,,,
5-00631-7501,94-R1,"755 NARROWS ROAD
Staten Island, New York
(40.61012016426968, -74.09183200161304)",GRYMES HILL,R4-ELEVATOR,93,1987,72970,922340,12.64,3469998,47.6,5-00589-0053,"610 VICTORY BOULEVARD
Staten Island, New York
(40.62761017024176, -74.09079911523764)",GRYMES HILL,D1-ELEVATOR,72,1940,72600,917480,12.64,3450000,47.5,1.15,5-00589-0035,"650 VICTORY BOULEVARD
Staten Island, New York
(40.62650897690894, -74.09157382589072)",GRYMES HILL,D1-ELEVATOR,61,1940,72860,816594,11.21,2880000,39.5,1.15
5-02400-7501,115-R1,"80 RICHMOND HILL ROAD
Staten Island, New York
(40.60667400010499, -74.16240100000613)",NEW SPRINGVILLE,R4-ELEVATOR,243,1990,208726,2849109,13.65,11299972,54,5-01248-0200,"110 CONTINENTAL PLACE
Staten Island, New York
(40.630177614199745, -74.16190168573812)",MARINERS HARBOR,D3-ELEVATOR,224,1953,222300,2251899,10.13,7610000,34.2,3.35,5-01245-0001,"311 GRANDVIEW AVENUE
Staten Island, New York
(40.63311598452849, -74.16515678658479)",MARINERS HARBOR,D1-ELEVATOR,381,1953,312400,3164612,10.13,10700000,34.3,3.45
5-02450-7506,39-R1,"2 ELMWOOD PARK DRIVE
Staten Island, New York
(40.58124017148734, -74.16269143745909)",NEW SPRINGVILLE,R4-ELEVATOR,177,1983,195678,1831546,9.36,6040019,30.9,5-03157-0001,"1950 CLOVE ROAD
Staten Island, New York
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1690099,9.36,5570000,30.9,4.1,,,,,,,,,,,,
5-02450-7509,4-R1,"5 WINDHAM LOOP
Staten Island, New York
(40.57778177952332, -74.1629343054594)",NEW SPRINGVILLE,R4-ELEVATOR,163,0,176455,1621621,9.19,5340022,30.3,5-02877-0025,"55 BOWEN STREET
Staten Island, New York
(40.614664489608586, -74.0830542384052)",CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2145073,13.85,6590000,42.6,4.6,,,,,,,,,,,,
5-02451-7501,113-R1,"95 ESSEX DRIVE
Staten Island, New York
(40.58141329180242, -74.15840669807311)",NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,416205,11.82,1470005,41.7,5-02102-0028,"121 FREEDOM AVENUE
Staten Island, New York
(40.596275618399375, -74.16368983219866)",NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,527431,12.21,1980000,45.8,1.1,5-02102-0045,"105 FREEDOM AVENUE
Staten Island, New York
(40.59715481532797, -74.16382399403457)",NEW SPRINGVILLE,C9-WALK-UP,36,1971,29200,333781,11.43,1180000,40.4,1.1
5-02451-7501,113-R2,"75 ESSEX DRIVE
Staten Island, New York
(40.58168475109895, -74.15812638684298)",NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,416205,11.82,1469995,41.7,5-02102-0045,"105 FREEDOM AVENUE
Staten Island, New York
(40.59715481532797, -74.16382399403457)",NEW SPRINGVILLE,C9-WALK-UP,36,1971,29200,333781,11.43,1180000,40.4,1.1,5-02102-0028,"121 FREEDOM AVENUE
Staten Island, New York
(40.596275618399375, -74.16368983219866)",NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,527431,12.21,1980000,45.8,1.1
