BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF CLASSES,TOTAL REGISTER,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,CTT,-,-,-,1,21,21,21,21,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,GEN ED,-,-,-,1,11,11,11,11,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,CTT,-,-,-,1,17,17,17,17,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,02,GEN ED,-,-,-,1,16,16,16,16,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,02,CTT,-,-,-,1,17,17,17,17,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,03,GEN ED,-,-,-,2,23,11.5,11,12,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,04,GEN ED,-,-,-,2,26,13,12,14,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,GEN ED,-,-,-,2,29,14.5,14,15,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K-09,SPEC ED,-,-,12:1:1,1,12,12,12,12,ATS,
M,1,M015,P.S. 015 ROBERTO CLEMENTE,,,,,,,,,,,,8.9
M,1,M019,P.S. 019 ASHER LEVY,0K,GEN ED,-,-,-,2,38,19,19,19,ATS,
M,1,M019,P.S. 019 ASHER LEVY,0K,CTT,-,-,-,1,12,12,12,12,ATS,
M,1,M019,P.S. 019 ASHER LEVY,01,GEN ED,-,-,-,2,48,24,24,24,ATS,
M,1,M019,P.S. 019 ASHER LEVY,02,GEN ED,-,-,-,2,45,22.5,21,24,ATS,
M,1,M019,P.S. 019 ASHER LEVY,03,GEN ED,-,-,-,1,20,20,20,20,ATS,
M,1,M019,P.S. 019 ASHER LEVY,03,CTT,-,-,-,1,20,20,20,20,ATS,
M,1,M019,P.S. 019 ASHER LEVY,04,GEN ED,-,-,-,1,22,22,22,22,ATS,
M,1,M019,P.S. 019 ASHER LEVY,04,CTT,-,-,-,1,22,22,22,22,ATS,
M,1,M019,P.S. 019 ASHER LEVY,05,GEN ED,-,-,-,2,40,20,19,21,ATS,
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1,1,8,8,8,8,ATS,
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1:1,1,13,13,13,13,ATS,
M,1,M019,P.S. 019 ASHER LEVY,,,,,,,,,,,,10.5
M,1,M020,P.S. 020 ANNA SILVER,0K,GEN ED,-,-,-,3,71,23.7,22,25,ATS,
