DBN,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
84K355,5,2006,All Students,72,654,4,5.6,28,38.9,36,50,4,5.6,40,55.6
84K355,5,2007,All Students,66,664,0,0,18,27.3,46,69.7,2,3,48,72.7
84K355,5,2008,All Students,76,661,0,0,19,25,56,73.7,1,1.3,57,75
84K355,5,2009,All Students,78,676,0,0,10,12.8,61,78.2,7,9,68,87.2
84K355,5,2010,All Students,79,672,4,5.1,36,45.6,28,35.4,11,13.9,39,49.4
84K355,5,2011,All Students,79,666,4,5.1,40,50.6,32,40.5,3,3.8,35,44.3
84K355,5,2012,All Students,80,665,5,6.3,37,46.3,37,46.3,1,1.3,38,47.5
84K355,6,2007,All Students,58,671,0,0,7,12.1,46,79.3,5,8.6,51,87.9
84K355,6,2008,All Students,63,666,0,0,9,14.3,54,85.7,0,0,54,85.7
84K355,6,2009,All Students,63,672,0,0,2,3.2,57,90.5,4,6.3,61,96.8
84K355,6,2010,All Students,67,664,0,0,31,46.3,34,50.7,2,3,36,53.7
84K355,6,2011,All Students,71,664,2,2.8,22,31,47,66.2,0,0,47,66.2
84K355,6,2012,All Students,82,665,1,1.2,28,34.1,53,64.6,0,0,53,64.6
84K355,7,2008,All Students,49,675,0,0,4,8.2,45,91.8,0,0,45,91.8
84K355,7,2009,All Students,56,672,0,0,1,1.8,53,94.6,2,3.6,55,98.2
84K355,7,2010,All Students,57,671,1,1.8,15,26.3,37,64.9,4,7,41,71.9
84K355,7,2011,All Students,68,669,1,1.5,22,32.4,44,64.7,1,1.5,45,66.2
84K355,7,2012,All Students,69,668,1,1.4,25,36.2,43,62.3,0,0,43,62.3
84K355,8,2009,All Students,44,676,0,0,4,9.1,37,84.1,3,6.8,40,90.9
84K355,8,2010,All Students,53,661,0,0,16,30.2,37,69.8,0,0,37,69.8
84K355,8,2011,All Students,55,661,1,1.8,15,27.3,39,70.9,0,0,39,70.9
84K355,8,2012,All Students,62,666,0,0,17,27.4,45,72.6,0,0,45,72.6
84K355,All Grades,2006,All Students,72,,4,5.6,28,38.9,36,50,4,5.6,40,55.6
84K355,All Grades,2007,All Students,124,,0,0,25,20.2,92,74.2,7,5.6,99,79.8
84K355,All Grades,2008,All Students,188,,0,0,32,17,155,82.4,1,0.5,156,83
84K355,All Grades,2009,All Students,241,,0,0,17,7.1,208,86.3,16,6.6,224,92.9
84K355,All Grades,2010,All Students,256,,5,2,98,38.3,136,53.1,17,6.6,153,59.8
84K355,All Grades,2011,All Students,273,665,8,2.9,99,36.3,162,59.3,4,1.5,166,60.8
84K355,All Grades,2012,All Students,293,666,7,2.4,107,36.5,178,60.8,1,0.3,179,61.1
84K356,3,2008,All Students,85,682,0,0,9,10.6,65,76.5,11,12.9,76,89.4
84K356,3,2009,All Students,76,675,1,1.3,6,7.9,64,84.2,5,6.6,69,90.8
84K356,3,2010,All Students,86,668,5,5.8,39,45.3,31,36,11,12.8,42,48.8
84K356,3,2011,All Students,78,669,4,5.1,24,30.8,48,61.5,2,2.6,50,64.1
84K356,3,2012,All Students,69,669,2,2.9,17,24.6,48,69.6,2,2.9,50,72.5
84K356,4,2009,All Students,81,684,0,0,2,2.5,73,90.1,6,7.4,79,97.5
84K356,4,2010,All Students,76,671,2,2.6,32,42.1,40,52.6,2,2.6,42,55.3
84K356,4,2011,All Students,72,671,4,5.6,32,44.4,36,50,0,0,36,50
84K356,4,2012,All Students,70,677,1,1.4,23,32.9,45,64.3,1,1.4,46,65.7
84K356,5,2006,All Students,77,664,4,5.2,21,27.3,42,54.5,10,13,52,67.5
84K356,5,2007,All Students,76,652,6,7.9,30,39.5,40,52.6,0,0,40,52.6
84K356,5,2008,All Students,87,657,0,0,34,39.1,51,58.6,2,2.3,53,60.9
84K356,5,2009,All Students,91,657,1,1.1,34,37.4,55,60.4,1,1.1,56,61.5
84K356,5,2010,All Students,86,675,4,4.7,28,32.6,46,53.5,8,9.3,54,62.8
84K356,5,2011,All Students,55,666,4,7.3,27,49.1,23,41.8,1,1.8,24,43.6
84K356,5,2012,All Students,75,666,7,9.3,23,30.7,44,58.7,1,1.3,45,60
84K356,6,2007,All Students,82,660,1,1.2,31,37.8,43,52.4,7,8.5,50,61
84K356,6,2008,All Students,81,656,0,0,33,40.7,45,55.6,3,3.7,48,59.3
84K356,6,2009,All Students,87,655,0,0,31,35.6,55,63.2,1,1.1,56,64.4
84K356,6,2010,All Students,90,653,25,27.8,39,43.3,26,28.9,0,0,26,28.9
84K356,6,2011,All Students,73,667,5,6.8,15,20.5,51,69.9,2,2.7,53,72.6
84K356,6,2012,All Students,78,662,5,6.4,28,35.9,45,57.7,0,0,45,57.7
84K356,7,2008,All Students,75,669,0,0,18,24,54,72,3,4,57,76
84K356,7,2009,All Students,80,661,0,0,15,18.8,64,80,1,1.3,65,81.3
84K356,7,2010,All Students,81,658,9,11.1,52,64.2,18,22.2,2,2.5,20,24.7
84K356,7,2011,All Students,69,665,4,5.8,29,42,36,52.2,0,0,36,52.2
84K356,7,2012,All Students,73,668,3,4.1,24,32.9,44,60.3,2,2.7,46,63
84K356,8,2009,All Students,60,664,0,0,14,23.3,42,70,4,6.7,46,76.7
84K356,8,2010,All Students,75,650,8,10.7,44,58.7,21,28,2,2.7,23,30.7
84K356,8,2011,All Students,64,653,2,3.1,41,64.1,21,32.8,0,0,21,32.8
84K356,8,2012,All Students,60,657,0,0,37,61.7,23,38.3,0,0,23,38.3
84K356,All Grades,2006,All Students,77,,4,5.2,21,27.3,42,54.5,10,13,52,67.5
84K356,All Grades,2007,All Students,158,,7,4.4,61,38.6,83,52.5,7,4.4,90,57
84K356,All Grades,2008,All Students,328,,0,0,94,28.7,215,65.5,19,5.8,234,71.3
84K356,All Grades,2009,All Students,475,,2,0.4,102,21.5,353,74.3,18,3.8,371,78.1
84K356,All Grades,2010,All Students,494,,53,10.7,234,47.4,182,36.8,25,5.1,207,41.9
84K356,All Grades,2011,All Students,411,665,23,5.6,168,40.9,215,52.3,5,1.2,220,53.5
84K356,All Grades,2012,All Students,425,667,18,4.2,152,35.8,249,58.6,6,1.4,255,60
84K357,5,2006,All Students,69,657,4,5.8,17,24.6,42,60.9,6,8.7,48,69.6
84K357,5,2007,All Students,61,664,1,1.6,23,37.7,33,54.1,4,6.6,37,60.7
84K357,5,2008,All Students,67,667,0,0,17,25.4,46,68.7,4,6,50,74.6
84K357,5,2009,All Students,81,658,0,0,29,35.8,50,61.7,2,2.5,52,64.2
84K357,5,2010,All Students,82,659,22,26.8,38,46.3,19,23.2,3,3.7,22,26.8
84K357,5,2011,All Students,85,653,18,21.2,54,63.5,13,15.3,0,0,13,15.3
84K357,5,2012,All Students,85,657,20,23.5,36,42.4,29,34.1,0,0,29,34.1
84K357,6,2007,All Students,60,667,0,0,14,23.3,43,71.7,3,5,46,76.7
84K357,6,2008,All Students,62,664,0,0,15,24.2,45,72.6,2,3.2,47,75.8
84K357,6,2009,All Students,67,663,0,0,13,19.4,53,79.1,1,1.5,54,80.6
84K357,6,2010,All Students,75,654,8,10.7,49,65.3,18,24,0,0,18,24
84K357,6,2011,All Students,84,656,3,3.6,53,63.1,28,33.3,0,0,28,33.3
84K357,6,2012,All Students,92,657,6,6.5,51,55.4,35,38,0,0,35,38
84K357,7,2008,All Students,57,673,0,0,6,10.5,50,87.7,1,1.8,51,89.5
84K357,7,2009,All Students,53,672,0,0,3,5.7,45,84.9,5,9.4,50,94.3
84K357,7,2010,All Students,58,663,3,5.2,25,43.1,29,50,1,1.7,30,51.7
84K357,7,2011,All Students,53,659,2,3.8,37,69.8,14,26.4,0,0,14,26.4
