Column Date,Columns Title,Link to PDF File
11/26/12,Municipal Law - Preserving New York City's Finances 11/26/12 (in PDF),http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%2011-26-12.pdf
9/18/12,Municipal Law - Innovations in City Land-Use Transactions,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%209-18-12.pdf
6/18/12,Municipal Law - Cleaning Up City Waterways,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%206-18-12.pdf
3/21/12,Municipal Law - Local Legislation: The Year in Review,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%203-21-12.pdf
12/23/11,Municipal Law - Improving the City's Air Quality,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%2012-23-11.pdf
9/26/11,Municipal Law - Increasing Transparency in City Government,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%209-26-11.pdf
6/29/11,Municipal Law - The City's Appellate Practice: Some Recent Cases,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%206-29-11.pdf
3/28/11,Municipal Law - Defending the City's RFP Process,http://www.nyc.gov/html/law/downloads/pdf/JF_3.28.11.pdf
12/23/10,Municipal Law - Defending Eminent Domain During Economic Development,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%2012-23-10.pdf
9/27/10,Municipal Law - Tax & Bankruptcy Litigation,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%209-27-10.pdf
7/26/10,Municipal Law - Appellate Practice -- Highlights of Cases,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%207-26-10.pdf
5/24/10,Municipal Law - Protecting the City's Quality of Life,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%205-24-10.pdf
3/22/10,Municipal Law - Protecting the Water Supply: Progress and Caution,http://www.nyc.gov/html/law/downloads/pdf/Friedlander%20Jeff%20Newspaper%20Article%203-22-10.pdf
1/25/10,Municipal Law - Promoting Public Health,http://www.nyc.gov/html/law/downloads/pdf/JF_1.25.10.pdf
11/23/09,"Municipal Law - Helping to Keep the City Moving: Pedicabs, Taxicabs & Bicycles",http://www.nyc.gov/html/law/downloads/pdf/JK_11.23.09.PDF
9/28/09,Municipal Law - Safeguarding New York City's Tax Interests,http://www.nyc.gov/html/law/downloads/pdf/JF_92809.pdf
7/27/09,Municipal Law - Affirmative Litigation Efforts Help Bring in City Revenue,http://www.nyc.gov/html/law/downloads/pdf/JF_7.27.09.pdf
5/26/09,Municipal Law - The City of New York as Friend of the Court,http://www.nyc.gov/html/law/downloads/pdf/JF_5.26.09.pdf
3/23/09,Municipal Law - A Brief Introduction to New York City Pension Law,http://www.nyc.gov/html/law/downloads/pdf/JF_3.23.09.pdf
