Services,Description
Legal Services,"Sanctuary for Families - Bronx Queens Legal Services - Queens STEPS to End Family Violence - Manhattan/SI Urban Justice Center - Brooklyn, Queens"
New York Asian Women's Center,"24-hour Hotline; Children's Services. Languages: Mandarin, Cantonese, Taiwanese, Korean, Vietnamese, Japanese, Hindi, Bengali, Urdu, Marathi, Fouzhounese, Shanghainese, Laotian and Thai"
FEGS Center for Women & Families,"Legal advocacy, community training and technical assistance on DV, trauma, and immigration. Languages: Spanish, French, Portugese, Italian"
Sanctuary for Families,"Children's Services. Languages: Spanish, French, Japanese, Korean, Bengali, Gujarati, and Twi."
Barrier Free Living,Services for individuals with physical and mental disabilities and their children.
STEPS to End Family Violence,"Children's Therapy, teens, disabled population, substance abuse, immigration services. Languages: Spanish, Portuguese, Arabic, French, Italian."
Violence Intervention Program,Children's Services; 24-hour Hotline; Spanish
Queens Legal Services,"Languages: Hindi, Urdu, Punjabi, Spanish, Mandarin, Romanian, French. "
NYC Gay & Lesbian Anti-Violence Program,"Training and technical assistance on LGBTQ DV issues, court monitoring, precinct accompaniment."
JBFCS DV Program ,Languages: Spanish and Russian
Urban Justice Center,"Languages: Spanish, Russian and Latvian"
