Name,Location,Type
Tremont Park,Arthur Avenue & East Tremont Avenue,Bocce Courts
Ferry Point Park,Corner of Balcom Avenue and Dewey Avenue,Basketball Courts
Franz Sigel Park,E 153 St. & Grand Concourse,Basketball Courts
Gun Hill Playground,Holland Ave. & Magenta St.,Basketball Courts
Macombs,E 158th St. & Ruppert Plaza,Basketball Courts
Sound View Park,Bronx River & Lafayette Aves.,Basketball Courts
St. James Park,E 193 St. & Jerome Ave.,Basketball Courts
Alex Lindower Park,Mill & Strickland Aves.,Basketball Courts
Bensonhurst Park,"Gravesend Bay, 21 Ave., Cropsey Ave. and Bay Pkwy.",Basketball Courts
Dyker Beach Park,"Shore Pkwy., 86 St. and 7 to 14 Aves.",Basketball Courts
Leon S. Kaiser Playground,Coney Island Creek and W 24 St.,Basketball Courts
Marine Park/PS 278,Fillmore Ave. & Madison Pl.,Basketball Courts
J. Hood Wright Playground (*Under Construction),176 St. & Ft. Washington Ave.,Basketball Courts
Morningside Park,W. 113 St. & Morningside,Basketball Courts
Morningside Park,W. 116 St. & Morningside,Basketball Courts
Morningside Park,W. 123 St. & Morningside,Basketball Courts
Sara D. Roosevelt Park (A),Stanton St.,Basketball Courts
Sara D. Roosevelt Park (B),Delancey St. between Forsythe and Christie Sts.,Basketball Courts
Sara D. Roosevelt Park (D),Canal to Hester Sts.,Basketball Courts
Francis Lewis Park,"3 Ave., 147 St. and E River",Basketball Courts
Joseph P. Addabbo Playground,North Conduit Ave. between 81 and 82 Sts.,Basketball Courts
MacNeil Park,Poppenhusen Ave. and 119 St.,Basketball Courts
FDR Boardwalk & Beach,Miller Field & Greely Ave.,Basketball Courts
Crotona Park,E. 173d St. and Crotona Ave.,Tennis Courts
Haffen Park,"Hammersley, Ely & Gunther Aves.",Tennis Courts
St. James Park,Jerome Ave. and E. 193d St.,Tennis Courts
St. Mary's Park,E. 145 St. and St. Ann's Ave.,Tennis Courts
Van Cortlandt Park,Stadium - W. 242nd St. and Broadway,Tennis Courts
Van Cortlandt Park,"Woodlawn, W. 233rd St. & Jerome Ave.",Tennis Courts
Lucille Ferrera Tennis Courts (Dyker Beach Park),"Cropsey Avenue, Bay 8th Street and Poly Place",Tennis Courts
Friends Field,Ave. L & East 4th St.,Tennis Courts
Joseph T. McGuire Park,Avenue W and Bergen,Tennis Courts
Kaiser Playground,Neptune Ave. & W. 25th St.,Tennis Courts
Manhattan Beach,Oriental Blvd.,Tennis Courts
Marine Park,Fillmore Ave. & Stuart St.,Tennis Courts
McKinley Park,7th Ave. & 75th St.,Tennis Courts
Inwood Hill Park,207th St. and Seaman Ave.,Tennis Courts
Riverside Park,Riverside Drive and W. 119th St.,Tennis Courts
Crocheron Park,215th Place & 33rd Ave.,Tennis Courts
Det. Keith L. Williams Park,Liberty Ave. & 173rd St.,Tennis Courts
