Publication,Category,Format,Date,Category 2,Description,Category 3,URL
With Welfare Surplus Shrinking City Could Face $80 Million Aid Loss ,Independent Budget,Fiscal Brief (7 pages-PDF Format),06-Apr-04,Finance and Budget,With Welfare Surplus Shrinking City Could Face $80 Million Aid Loss ,Budget Report,http://nyc.gov/html/records/pdf/govpub/972tanfsurplus2004fb.pdf
Police Overtime: Tracking the Big Growth in Spending,Independent Budget,Fiscal Brief (7 pages-PDF Format),29-Apr-04,Finance and Budget,Police Overtime: Tracking the Big Growth in Spending,Budget Report,http://nyc.gov/html/records/pdf/govpub/971nypdotfiscalbrief.pdf
"Inside the Budget, No. 129 As Federal Aid Drops, City's Cost for Policing Public Housing Climbs",Independent Budget,"IBO Newsfax, 3 pages PDF Format",15-Apr-04,Finance and Budget,"Inside the Budget, No. 129 As Federal Aid Drops, City's Cost for Policing Public Housing Climbs",Budget Report,http://nyc.gov/html/records/pdf/govpub/970insidethebudget129.pdf
Emergency Contraception: Available at a Hospital EMERGENCY ROOM near you?,City Council,"On  April 21, 2004, City Council Speaker Gifford Miller, Council Member Christine Quinn, Chair of the Health Committee, Council Member Gioia, Chair of the Oversight and Investigations Committee and Council Member Eva Moskowitz released a Council Investiga",21-Apr-04,Health,Emergency Contraception: Available at a Hospital EMERGENCY ROOM near you?,Report,http://nyc.gov/html/records/pdf/govpub/959em_contra.pdf
DOI's Examination of the Circumstances Surrounding the Assault of a Firefighter and Subsequent Cover-up at the NYC FDNY Engine Co. 151/Ladder Co. 76,DOI - Investigation,"This report summarizes DOI's findings to date relating to Firefighter Michael Silvestri's assault on Firefighter Robert Walsh with a metal chair on December 31, 2003 inside a New York City firehouse located in Staten Island. This report concludes that fol",24-Mar-04,Labor Relations,DOI's Examination of the Circumstances Surrounding the Assault of a Firefighter and Subsequent Cover-up at the NYC FDNY Engine Co. 151/Ladder Co. 76,Report,http://nyc.gov/html/records/pdf/govpub/957fdny_final_3-24-04.pdf
2002-2003 DOI Annual Report,DOI - Investigation,"The 2002-2003 Annual Report chronicles DOI's efforts. It defines the agency and describes its big, impact cases, as well as its recommendations to improve government operations.",01-Jul-03,Government Policy,2002-2003 DOI Annual Report,Annual Report,http://nyc.gov/html/records/pdf/govpub/9562002-2003_doi_annual_report.pdf
Civil List- Section 2,Citywide Admin Svcs,"The Civil List is the annual report of all City of New York employees listed by name, title, agency and salary.",01-Apr-04,Labor Relations,Civil List,Annual Report,http://nyc.gov/html/records/pdf/govpub/952civil_list_2.pdf
Civil List- Section 1,Citywide Admin Svcs,"The Civil List is the annual report of all City of New York employees listed by name, title, agency and salary.",01-Apr-04,Labor Relations,Civil List,Annual Report,http://nyc.gov/html/records/pdf/govpub/952civil_list_1.pdf
"IBO Fiscal Brief, Refuse and Recycling: Comparing the Costs",Independent Budget,"IBO Fiscal Brief, 7 pages PDF Format",02-Feb-04,Finance and Budget,"IBO Fiscal Brief, Refuse and Recycling: Comparing the Costs",Budget Report,http://nyc.gov/html/records/pdf/govpub/939refuseandrecycle.pdf
Analysis of The Mayor's Preliminary Budget For 2005,Independent Budget,"Mandated Report, 123 pages PDF Format",15-Mar-04,Finance and Budget,Analysis of The Mayor's Preliminary Budget For 2005,Budget Report,http://nyc.gov/html/records/pdf/govpub/938march2004forweb.pdf
Budget Options for New York City,Independent Budget,"IBO report, 76 pages PDF Format",12-Feb-04,Finance and Budget,Budget Options for New York City,Budget Report,http://nyc.gov/html/records/pdf/govpub/937options2004.pdf
"Inside the Budget, No. 127, Aging Out: From Foster Care to Homeless Shelters?",Independent Budget,"IBO newsfax, 3 pages PDF Format",24-Mar-04,Finance and Budget,"Inside the Budget, No. 127, Aging Out: From Foster Care to Homeless Shelters?",Budget Report,http://nyc.gov/html/records/pdf/govpub/936insidethebudget127.pdf
"Inside the Budget, No.126, Clause in Medicare Bill Blocked Hundreds of Millions in Potential City Savings",Independent Budget,"IBO newsfax, 3 pages PDF Format",22-Jan-04,Finance and Budget,"Inside the Budget, No.126, Clause in Medicare Bill Blocked Hundreds of Millions in Potential City Savings",Budget Report,http://nyc.gov/html/records/pdf/govpub/935insidethebudget126.pdf
