BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-02516-7501,73-R1,"1209 NELSON AVENUE
Bronx, New York
(40.837850419607136, -73.92532146511022)",HIGHBRIDGE/MORRIS HEIGHTS,R4-ELEVATOR,28,2005,24262,396198,16.33,1609988,66,2-02474-0051,"845 WALTON AVENUE
Bronx, New York
(40.82629379427517, -73.92468276023064)",MELROSE/CONCOURSE,C1-WALK-UP,20,1910,17750,292343,16.47,1190000,67,0.75,2-02691-0122,"1022 REV JAMES POLITE AVE
Bronx, New York
(40.82390629676631, -73.89883375444433)",MORRISANIA/LONGWOOD,D1-ELEVATOR,68,2003,29175,312464,10.71,882000,30.2,1.7
2-02686-7501,53-R1,"717 KELLY STREET
Bronx, New York
(40.81585752488403, -73.90075885984537)",MORRISANIA/LONGWOOD,R2-WALK-UP,13,1909,14384,165416,11.5,583003,40.5,2-02427-0001,"391 168 STREET
Bronx, New York
(40.83246316219535, -73.91007687887051)",MELROSE/CONCOURSE,C7-WALK-UP,16,1923,11055,116955,10.58,395000,35.7,1.25,2-02301-0029,"389 138 STREET
Bronx, New York
(40.80927653079135, -73.92322501689124)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,18,1931,13083,151045,11.55,532000,40.7,1.25
2-02703-7501,74-R1,"950 WESTCHESTER AVENUE
Bronx, New York
(40.82239765593734, -73.8962987006375)",MORRISANIA/LONGWOOD,R4-ELEVATOR,111,2006,112935,1275036,11.29,4490000,39.8,2-02372-0041,"3463 3 AVENUE
Bronx, New York
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D7-ELEVATOR,119,2005,144730,1550058,10.71,5240000,36.2,0.8,2-03797-0001,"2001 BRUCKNER BOULEVARD
Bronx, New York
(40.82557699997852, -73.91844899972153)",CASTLE HILL/UNIONPORT,D3-ELEVATOR,118,1964,112507,1296917,11.53,4570000,40.6,2.2
2-02742-7501,72-R1,"951 HOE AVENUE
Bronx, New York
(40.822104510465735, -73.89036488905197)",MORRISANIA/LONGWOOD,R9-CONDOPS,300,2005,279904,3078944,11,10900000,38.9,2-02406-0021,"827 MELROSE AVENUE
Bronx, New York
(40.82324159791901, -73.91439118311723)",MELROSE/CONCOURSE,D1-ELEVATOR,80,2003,66000,739399,11.2,2090000,31.7,1.3,2-02386-0144,"1011 WASHINGTON AVENUE
Bronx, New York
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D1-ELEVATOR,136,2004,126284,1262238,10,4270000,33.8,1.05
2-02748-7501,46-R1,"1010 FAILE STREET
Bronx, New York
(40.823510926477866, -73.8894837891994)",MORRISANIA/LONGWOOD,R2-WALK-UP,78,1930,93600,1029600,11,3639447,38.9,2-02427-0001,"391 168 STREET
Bronx, New York
(40.83246316219535, -73.91007687887051)",MELROSE/CONCOURSE,C7-WALK-UP,16,1923,11055,116955,10.58,395000,35.7,1.2,2-02457-0044,"1278 GRAND
Bronx, New York
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,C7-WALK-UP,51,1928,48000,492463,10.26,1660000,34.6,1.55
2-03083-7501,90-R1,"2135 CROTONA AVENUE
Bronx, New York
(40.84911248423111, -73.88802155316526)",EAST TREMONT,R2-WALK-UP,16,2006,14200,284000,20,1269992,89,2-05786-0240,"3205 OXFORD AVENUE
Bronx, New York
(40.884672613797655, -73.90934989376196)",RIVERDALE,C1-WALK-UP,12,1985,6260,108560,17.34,442000,71,2.65,2-05798-0101,"3615 OXFORD AVENUE
Bronx, New York
(40.88687780488597, -73.90863158513936)",RIVERDALE,C1-WALK-UP,15,1980,7550,143532,19.01,584000,77,2.8
2-03261-7501,81-R1,"3097 HEATH AVENUE
Bronx, New York
(40.87828755799093, -73.90113131880379)",KINGSBRIDGE/JEROME PARK,R2-WALK-UP,16,2006,21861,409136,18.72,1660000,76,2-03199-0007,"2392 GRAND AVENUE
Bronx, New York
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,16,2005,15712,345664,22,1540000,98,1.25,2-05090-0019,"4524 BARNES AVENUE
Bronx, New York
(40.89920727889514, -73.85033989676629)",WAKEFIELD,C1-WALK-UP,16,1929,15000,137400,9.16,453000,30.2,2.95
2-03311-7501,34-R1,"3130 GRAND
Bronx, New York
(40.82557699997852, -73.91844899972153)",BEDFORD PARK/NORWOOD,R9-CONDOPS,110,1968,79920,852746,10.67,2880000,36,2-03307-0072,"3010 GRAND
Bronx, New York
(40.82557699997852, -73.91844899972153)",BEDFORD PARK/NORWOOD,D7-ELEVATOR,96,1963,106146,1142428,10.76,3860000,36.4,0.15,2-03285-0019,"2976 MARION AVENUE
Bronx, New York
(40.86957583509121, -73.8832641023848)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,62,1950,67930,653295,9.62,2210000,32.5,0.4
2-03318-7501,48-R1,"2805A CRESTON AVENUE
Bronx, New York
(40.87013497033596, -73.89261047251806)",BEDFORD PARK/NORWOOD,R2-WALK-UP,18,1993,16638,207309,12.46,778995,46.8,2-03296-0047,"2875 BAINBRIDGE AVENUE
Bronx, New York
(40.86908562162102, -73.88707898025079)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,38,1965,31133,426093,13.69,1690000,54,0.3,2-03319-0113,"2871 GRAND
Bronx, New York
(40.82557699997852, -73.91844899972153)",BEDFORD PARK/NORWOOD,C1-WALK-UP,21,1916,20250,275559,13.61,1090000,54,0.2
2-03324-7501,36-R1,"75 GUN HILL ROAD
Bronx, New York
(40.881832610139405, -73.87980195113637)",BEDFORD PARK/NORWOOD,R9-CONDOPS,87,1932,87502,988772,11.3,2627980,30,2-03156-0009,"2070 GRAND
Bronx, New York
(40.82557699997852, -73.91844899972153)",FORDHAM,D7-ELEVATOR,93,1925,87156,884894,10.15,2990000,34.3,2.25,2-03271-0125,"3815 PUTNAM AVENUE
Bronx, New York
(40.88473750707868, -73.89887368985183)",KINGSBRIDGE/JEROME PARK,D7-ELEVATOR,92,2000,111620,2321696,20.8,10400000,93,0.85
