DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT
12/17/2012,CORSI HOUSES,NY005010640,199,64,359,219,NY005149,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,171,171,512.5,3,,179,179,1,0,1,16,"32,004",0.73,"32,004",0.73,"20,446","1,361,650",63.90%,245,"$6,600,521 ","$11,882 ",$267 ,E 116TH ST,E 117TH ST,FIRST AVE,SECOND AVE,MANHATTAN,11,13,29,68,8,11/30/1973,,EXCLUSIVELY,,
12/17/2012,CROWN HEIGHTS,NY005013510,312,351,331,765,NY005258,FEDERAL,TURNKEY,REHAB,,121,121,527.5,4.36,,272,272,8,0,8,4,"51,255",1.18,"51,255",1.18,"31,650","1,139,400",61.80%,231,"$7,974,650 ","$15,118 ",$500 ,BUFFALO AVE,BERGEN ST,RALPH AVE,SAINT JOHNS PL,BROOKLYN,8,"8, 9","20, 25","55, 56",41,9/4/1986,,,YES,
12/17/2012,CYPRESS HILLS,NY005010700,70,70,536,536,NY005220G,FEDERAL,CONVENTIONAL,NEW CONST,,"1,442","1,444","6,603.00",4.58,,"3,466","3,466",15,0,30,7,"1,264,130",29.02,"1,264,130",29.02,"223,364","12,338,237",17.70%,119,"$14,773,000 ","$2,247 ",$424 ,SUTTER AVE,EUCLID AVE,LINDEN BLVD,FOUNTAIN AVE,BROOKLYN,5,8,"18, 19",60,42,5/25/1955,1978/07/01-ATP 3,,,
12/17/2012,FHA REPOSSESSED HOUSES (GROUP IX),NY005012090,283,91,376,324,NY005206,FEDERAL,CONVENTIONAL,REHAB,,23,45,110.5,4.8,,47,47,21,0,,1-1.5-2-2.5-3,"50,476",1.16,"50,476",1.16,,,,41,"$920,558 ","$3,885 ",$657 ,9 QUEENS,14 BROOKLYN,,,,,,,,,1/31/1983,,,YES,
12/17/2012,FHA REPOSSESSED HOUSES (GROUP V),NY005012090,260,91,397,324,NY005182,FEDERAL,CONVENTIONAL,REHAB,,40,55,215,5.38,,105,105,50,0,,1/2/2003,"148,765",3.42,"148,765",3.42,,,,31,"$1,241,649 ","$3,993 ",$689 ,49 QUEENS,3 BROOKLYN,,,,,,,,,9/30/1972,,,YES,
12/17/2012,COLLEGE AVENUE-EAST 165TH STREET,NY005013080,236,308,351,344,NY005148,FEDERAL,TURNKEY,NEW CONST (ELD),,95,95,307.5,3.24,,97,97,1,0,1,6,"22,146",0.51,"22,146",0.51,"10,022","784,399",45.30%,190,"$2,518,156 ","$7,869 ",$260 ,E 166TH ST,FINDLAY AVE,E 165TH ST,COLLEGE AVE,BRONX,4,15,32,77,16,7/31/1972,,EXCLUSIVELY,,
12/17/2012,CONEY ISLAND,NY005011700,94,170,671,671,NY005363,FEDERAL,CONVENTIONAL,NEW CONST,,534,534,"2,443.00",4.57,,"1,216","1,216",5,0,5,14,"298,874",6.86,"239,429",5.5,"38,119","4,912,800",12.80%,177,"$7,728,534 ","$3,165 ",$495 ,SURF AVE,W 32ND ST,RIEGELMANN BRDWK,W 29TH ST,BROOKLYN,13,8,23,46,47,2/25/1957,1995/07/13-PTA,,,
12/17/2012,CONEY ISLAND I (SITE 1B),NY005011660,239,166,335,288,NY005161,FEDERAL,TURNKEY,NEW CONST,,192,193,952,4.96,,530,530,1,0,1,18,"93,061",2.14,"93,061",2.14,"14,078","1,876,990",15.10%,248,"$7,531,412 ","$7,829 ",$424 ,W 20TH ST,W 21ST ST,SURF AVE,MERMAID AVE,BROOKLYN,13,8,23,46,47,5/31/1973,,,,
12/17/2012,CONEY ISLAND I (SITE 8),NY005011720,238,172,334,334,NY005157,FEDERAL,TURNKEY,NEW CONST,,124,125,626,5.05,,379,379,1,0,2,14,"61,483",1.41,"61,483",1.41,"11,970","1,187,936",19.50%,269,"$5,853,893 ","$9,255 ",$519 ,W 35TH ST,W 36TH ST,SURF AVE,MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1973,,,,
12/17/2012,CONEY ISLAND I (SITES 4 & 5),NY005011700,216,170,328,278,NY005123,FEDERAL,TURNKEY,NEW CONST,,375,376,"1,875.50",5,,"1,078","1,078",1,1,6,17,"187,318",4.3,"187,318",4.3,"38,750","4,017,326",20.70%,251,"$16,603,000 ","$8,808 ",$491 ,MERMAID AVE,W 25TH ST,SURF AVE,W 28TH ST,BROOKLYN,13,8,23,46,47,7/31/1974,,,,
