BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
3-00068-0107,"165 SANDS STREET
Brooklyn, NY
(40.69983939818524, -73.98444118899604)",DOWNTOWN-METROTECH,D4-ELEVATOR,120,1902,121580,2169514,17.84,8110000,67,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2487698,20.11,9300000,75,0.3,3-01798-0040,"550 GREENE AVENUE
Brooklyn, NY
(40.688662422549285, -73.94865379650403)",BEDFORD STUYVESANT,D1-ELEVATOR,151,1984,128000,2197508,17.17,4660000,36.4,2
3-00086-0011,"175 ADAMS STREET
Brooklyn, NY
(40.698440568502264, -73.98840268842595)",DOWNTOWN-METROTECH,D4-ELEVATOR,1026,1950,883265,14847331,16.81,55500000,63,3-01691-0012,"88 CHAUNCEY STREET
Brooklyn, NY
(40.6802379161153, -73.93071729179121)",BEDFORD STUYVESANT,D1-ELEVATOR,287,1974,277200,5707170,20.59,12100000,43.7,3.3,3-06979-0200,"3601 NEPTUNE AVENUE
Brooklyn, NY
(40.577031413494616, -74.00222232817039)",CONEY ISLAND,D6-ELEVATOR,339,1975,334000,5576195,16.7,11800000,35.3,8.3
3-00173-0039,"457 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C6-WALK-UP,16,1905,9784,191508,19.57,716000,73,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,157643,17.41,589000,65,0.35,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,290159,19.09,1080000,71,0.1
3-00178-0025,"422 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D4-ELEVATOR,20,1912,25000,424360,16.97,1590000,64,3-01042-0059,"257 15 STREET
Brooklyn, NY
(40.664814739107314, -73.98769142663046)",PARK SLOPE SOUTH,D1-ELEVATOR,24,2002,21056,346855,16.47,1170000,56,1.5,3-01979-0003,"495 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D1-ELEVATOR,42,1928,25500,419117,16.44,1420000,56,1.05
3-00178-0054,"423 ATLANTIC AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D4-ELEVATOR,61,1900,107000,2066959,19.32,7730000,72,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2487698,20.11,9300000,75,1.1,3-01798-0040,"550 GREENE AVENUE
Brooklyn, NY
(40.688662422549285, -73.94865379650403)",BEDFORD STUYVESANT,D1-ELEVATOR,151,1984,128000,2197508,17.17,4660000,36.4,1.8
3-00181-0039,"251 PACIFIC STREET
Brooklyn, NY
(40.688382660564464, -73.99053329201776)",BOERUM HILL,C6-WALK-UP,25,1914,18530,322596,17.41,1210000,65,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,157643,17.41,589000,65,0.35,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,290159,19.09,1080000,71,0.4
3-00185-0048,"467 PACIFIC STREET
Brooklyn, NY
(40.685261395976674, -73.98251514739725)",BOERUM HILL,C6-WALK-UP,25,1912,17855,349486,19.57,1310000,73,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,157643,17.41,589000,65,0.4,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,290159,19.09,1080000,71,0.15
3-00197-0022,"280 DEAN STREET
Brooklyn, NY
(40.684392678320236, -73.98252875220852)",BOERUM HILL,C6-WALK-UP,25,1900,18000,342204,19.01,1070000,59,3-01029-0020,"312 12 STREET
Brooklyn, NY
(40.6667869750245, -73.98668510060705)",PARK SLOPE SOUTH,C1-WALK-UP,20,1914,14644,215669,14.73,729000,49.8,1.25,3-01041-0011,"204 14 STREET
Brooklyn, NY
(40.60501853918717, -74.00996868818028)",PARK SLOPE SOUTH,C1-WALK-UP,20,1915,15140,334179,22.07,1380000,91,1.3
3-00200-0005,"8 OLD FULTON STREET
Brooklyn, NY
(40.7028931599898, -73.99478736108922)",DOWNTOWN-FULTON FERRY,D4-ELEVATOR,11,1915,17400,383223,22.02,1590000,91,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,278262,17.12,590000,36.3,2.1,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,631162,39.3,2610000,162,3.95
3-00202-0001,"28 OLD FULTON STREET
Brooklyn, NY
(40.7025949415051, -73.99387216671259)",DOWNTOWN-FULTON FERRY,D4-ELEVATOR,86,1906,171000,2838511,16.6,9600000,56,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2536474,16.15,5380000,34.3,0.45,3-08719-0038,"160 END AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BRIGHTON BEACH,D3-ELEVATOR,184,1963,155661,2815602,18.09,10500000,67,8.8
