Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC
20x200,568 Broadway,11th Floor,New York,HQ'd in NY,http://www.20x200.com/,true,http://www.20x200.com/jobs/,
Adafruit Industries,80 Nassau Street,Unit 4C,New York,HQ'd in NY,http://adafruit.com/,true,http://www.adafruit.com/jobs/,
Adaptly,40 West 23rd Street,5th Floor,New York,HQ'd in NY,http://adaptly.com/,true,http://adaptly.com/jobs,
Admeld,230 Park Avenue South,Suite 1201,New York,HQ'd in NY,http://www.admeld.com/,true,http://www.admeld.com/about/jobs/,
Allmenus,39 West 19th Street,7th Floor,New York,HQ'd in NY,http://www.allmenus.com,true,http://www.grubhub.com/careers/,
Gust,158 West 29th Street,11th Floor,New York,HQ'd in NY,http://www.gust.com,true,http://careers.stackoverflow.com/jobs/19787/senior-rails-web-developer-at-rapid-growth-pot-gust?a=nnrw88w,
Animoto,440 Lafayette Street,2nd Floor,New York,HQ'd in NY,http://www.animoto.com,true,http://animoto.com/about/careers,
AOL,770 Broadway,,New York,HQ'd in NY,http://www.aol.com,true,http://corp.aol.com/careers,
AppAddictive,122 West 26th Street,5th Floor,New York,HQ'd in NY,http://www.appaddictive.com/,true,http://www.appaddictive.com/entrepreneural.php,
"Appboy, Inc.",265 West 37th Street,Suite 1212,New York,HQ'd in NY,http://appboy.com/,true,http://appboy.com/jobs,
AppNexus,28 West 23rd Street,4th Floor,New York,HQ'd in NY,http://www.appnexus.com/,true,http://www.appnexus.com/open-positions,
Art.sy,401 Broadway,25th Floor,New York,HQ'd in NY,http://www.art.sy,true,http://art.sy/jobs,
Artsicle,1140 Broadway,Suite 1503,New York,HQ'd in NY,http://www.artsicle.com/,true,http://artsicle.com/jobs,
Augmate,845 United Nations Plaza,16F,New York,HQ'd in NY,http://www.augmate.com,true,http://www.augmate.com/ContactUs.aspx,
Aviary,243 West 30th Street,11th Floor,New York,HQ'd in NY,http://www.aviary.com,true,http://www.aviary.com/jobs,
AxialMarket,45 East 20th Street,12th Floor,New York,HQ'd in NY,http://www.axialmarket.com,true,https://www.axialmarket.com/about/careers/,
Balance Media LLC,34 West 27th Street,,New York,HQ'd in NY,http://www.builtbybalance.com/,false,,
BeenVerified,404 Park Avenue South,11th Floor,New York,HQ'd in NY,http://beenverified.com,false,,
BestVendor,524 Broadway,Suite 403,New York,HQ'd in NY,http://www.bestvendor.com,true,http://www.bestvendor.com/jobs,
Betaworks,416 W 13th Street,Suite 203,New York,Investors,http://betaworks.com/,true,http://betaworks.com/careers.php,
Betterment.com,247 Centre Street,,New York,HQ'd in NY,https://www.betterment.com/,true,https://www.betterment.com/about/jobs/,
Birchbox,307 Seventh Avenue,Suite 1104,New York,HQ'd in NY,http://www.birchbox.com,true,http://birchbox.theresumator.com/,
Bitly,85 Fifth Avenue,,New York,HQ'd in NY,http://www.bitly.com,true,https://bitly.com/pages/jobs,
Bloomberg LP,731 Lexington Avenue,,New York,HQ'd in NY,http://www.bloomberg.com,true,http://www.bloomberg.com/careers/,
Blue Fountain Media,102 Madison Avenue,,New York,HQ'd in NY,http://www.bluefountainmedia.com/,true,http://www.bluefountainmedia.com/careers,
bookish,7 West 18th Street,4th Floor,New York,HQ'd in NY,http://www.bookish.com,false,,
Buddy Media,155 6th Avenue,12th Floor,New York,HQ'd in NY,http://www.buddymedia.com/,true,http://tbe.taleo.net/NA7/ats/careers/searchResults.jsp?org=BUDDYMEDIA&cws=1&act=sort&sortColumn=2,
BuildingLink,85 Fifth Avenue,3rd Floor,New York,HQ'd in NY,http://www.buildinglink.com,false,,
BusinessReel,28 Howard Street,3rd Floor,New York,HQ'd in NY,http://www.businessreel.com/,false,,
BuzzFeed,54 West 21st Street,,New York,HQ'd in NY,http://www.buzzfeed.com/,true,http://www.buzzfeed.com/about/jobs,
Capture Your Flag,122 West 26th Street,4th Floor,New York,HQ'd in NY,http://www.captureyourflag.com,false,,
Centzy,72 Allen Street,3rd Floor,New York,HQ'd in NY,http://centzy.com,false,,
chartbeat,416 West 13th Street,Suite 315,New York,HQ'd in NY,http://www.chartbeat.com,true,http://chartbeat.com/jobs/,
Reclip.It,122 W 26th Street,5th Floor,New York,HQ'd in NY,http://www.reclipit.com,true,http://reclipit.com/about/jobs,
Codecademy,670 Broadway,4th Floor,New York,HQ'd in NY,http://www.codecademy.com,true,http://www.codecademy.com/jobs,
Collective,99 Park Avenue,5th Floor,New York,HQ'd in NY,http://www.collective.com,true,https://careers-collective.icims.com/jobs/search?ss=1&searchLocation=&searchCategory=&hashed=0,
Lore,70 Lafayette Street,,New York,HQ'd in NY,http://www.lore.com,true,http://www.lore.com/jobs,
Craft Coffee,902 Broadway,4th Floor,New York,HQ'd in NY,http://www.craftcoffee.com,true,http://craftcoffee.com/jobs,
Crowdtap,225 Park Avenue South,16th Floor,New York,HQ'd in NY,http://www.crowdtap.com,true,http://crowdtap.it/jobs/,
Daily Candy,584 Broadway,Suite 201,New York,HQ'd in NY,http://www.dailycandy.com,true,http://www.nbcunicareers.com/,
DonorsChoose.org,213 West 35th Street,2nd Floor East,New York,HQ'd in NY,http://www.donorschoose.org/,true,http://www.donorschoose.org/jobs,
dotgo,200 Varick Street,#805,New York,HQ'd in NY,http://dotgo.com/,false,,
