Application Type,Land Use Detail,Amount,Comments
Special Permit,"Less than 10,000 square feet",$2040.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"10,000 to 19,999 square feet",$3100.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"20,000 to 39,999 square feet",$4080.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"40,000 to 69,999 square feet",$5215.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"70,000 to 99,999 square feet",$6125.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"100,000 to 239,999 square feet",$6805.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"240,000 to 500,000 square feet",$17765.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Special Permit,"over 500,000 square feet",$29485.00,The amount of floor area shall be calculated based upon the floor area for the entire development or enlargement
Zoning Map Amendment,"Less than 10,000 square feet",$2190.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"10,000 to 19,999 square feet",$3250.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"20,000 to 39,999 square feet",$4310.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"40,000 to 69,999 square feet",$5445.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"70,000 to 99,999 square feet",$6425.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"100,000 to 239,999 square feet",$7105.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"240,000 to 500,000 square feet",$18445.00,The area of all zoning lots in the area to be rezoned
Zoning Map Amendment,"over 500,000 square feet",$30620.00,The area of all zoning lots in the area to be rezoned
Changes to City Map & Landfill,Elimination of a mapped but unimproved street,$1740.00,
Changes to City Map & Landfill,Establishment of a Landfill,$3400.00,
Changes to City Map & Landfill,Any other change in The City Street Map,$5445.00,
Franchises and revocable consents,Applications pursuant to §197-c of the City Charter,$3400.00,
Franchises and revocable consents,Enclosed sidewalk cafes pursuant to New York City Administrative Code section 20-225 - Per Chair,$55.00,Minimum $1360
Amendment to Zoning Resolution,Amendments to the text of the Zoning Resolution pursuant to Section 201 of the City Charter,$5445.00,
Zoning Certification ,"certification for public school space pursuant to Section 107-123 of   Article X, Chapter 7",$160.00,
Zoning Certification ,For an application for one zoning lot with no more than two existing or proposed dwelling units and no commercial or community facility use,$380.00,
Zoning Certification ,For all other applications the fee for each zoning lot,$430.00,
Zoning Authorization,For an application for one zoning lot with no more than two existing or proposed dwelling units and no commercial or community facility use,$755.00,
Zoning Authorization,"all other applications with no commercial or community facility use, the fee shall be based upon the number of dwelling units being proposed",$830.00,Per Dwelling Unit
Zoning Authorization for Open Spaces,"Less than 10,000 square feet",$1060.00,"The fee shall be based upon the area of the zoning lot, and in cases of community facility or commercial uses, the fee shall be based upon the total amount of floor area"
