Detective Bureau,2005,2006,2007,2008,2009,Total
Detective Headquarters,0,4,2,3,1,10
Central Investigation and Resource Division                                                                                                                                                                                                                     ,1,0,0,0,0,1
Special Investigations,3,4,4,3,3,17
Special Victims,12,4,6,7,3,32
Forensic Investigations,0,2,0,1,0,3
Fugitive Enforcement,39,33,28,27,42,169
Gang Units,33,45,38,47,41,204
DB Manhattan Units,43,31,26,24,20,144
DB Bronx Units,39,28,28,19,29,143
DB Brooklyn Units,67,74,49,44,40,274
DB Queens Units,35,26,25,23,29,138
DB Staten Island Units,12,9,6,4,1,32
Detective Bureau Total,284,260,212,202,209,731
