Manhattan South,2005,2006,2007,2008,2009,Total
1st Precinct,57,83,73,58,60,331
5th Precinct,50,54,62,52,62,280
6th Precinct,69,83,103,77,73,405
7th Precinct,39,40,54,67,79,279
9th Precinct,70,83,69,78,76,376
10th Precinct,65,100,80,75,64,384
13th Precinct,72,70,90,76,67,375
Midtown South,180,192,159,159,143,833
17th Precinct,40,51,47,35,33,206
Midtown North,96,117,117,111,92,533
Manhattan South Total,738,873,854,788,749,4002
Manhattan North,,,,,,
19th Precinct,81,77,51,67,53,329
20th Precinct,48,45,30,38,31,192
23rd Precinct,98,124,120,127,125,594
24th Precinct,51,54,60,52,54,271
25th Precinct,116,97,121,124,115,573
26th Precinct,41,55,57,36,51,240
Central Park,3,1,4,3,5,16
28th Precinct,85,116,122,96,129,548
30th Precinct,75,60,67,64,99,365
32nd Precinct,119,154,125,174,167,739
33rd Precinct,78,74,93,70,90,405
34th Precinct,73,86,86,103,139,487
Manhattan North Total,868,943,936,954,1058,4759
Manhattan Total,1606,1816,1790,1742,1807,8761
