Location,Address,Borough,ZIP,Daytime Hours,From Date,To Date
ARTURO SCHOMBERG SENIOR CENTER,1315 FRANKLIN AVENUE,BRONX,10456,9 to 4,2/5/13,2/11/13
BRONX HOUSE SENIOR CENTER,990 PELHAM PARKWAY SOUTH,BRONX,10461,9 to 4,2/5/13,2/11/13
BRONX RIVER SENIOR CENTER,1619 EAST 174TH STREET,BRONX,10472,9 to 4,2/5/13,2/11/13
BRONXWORKS E ROBERTS MOORE SENIOR CENTER,515 JACKSON AVENUE,BRONX,10455,9 to 4,2/5/13,2/11/13
BRONXWORKS EAST CONCOURSE SENIOR CENTER,236 EAST TREMONT AVENUE,BRONX,10457,9 to 4,2/5/13,2/11/13
BRONXWORKS HEIGHTS SENIOR CENTER,200 WEST TREMONT AVENUE,BRONX,10453,9 to 4,2/5/13,2/11/13
BRONXWORKS MORRIS INNOVATIVE SR CENTER,80 EAST 181ST STREET,BRONX,10453,9 to 4,2/5/13,2/11/13
CITY ISLAND SENIOR CENTER,160 PILOT STREET,BRONX,10464,9 to 4,2/5/13,2/11/13
CONCOURSE WELLNESS CENTER,900 GRAND CONCOURSE,BRONX,10451,9 to 4,2/5/13,2/11/13
CO-OP CITY SENIOR CENTER,2049 BARTOW AVENUE,BRONX,10475,9 to 4,2/5/13,2/11/13
DREISER SENIOR CENTER,177 DREISER LOOP,BRONX,10475,9 to 4,2/5/13,2/11/13
HOPE OF ISRAEL SENIOR CENTER,1068 GERARD AVENUE,BRONX,10452,9 to 4,2/5/13,2/11/13
IPR/HE BETANCES SENIOR CENTER,787 E. 149TH ST. (temporary),BRONX,10454,9 to 4,2/5/13,2/11/13
JAMES MONROE SENIOR CENTER,1776 STORY AVENUE,BRONX,10473,9 to 4,2/5/13,2/11/13
JASA BAY-EDEN SENIOR CENTER,1220 EAST 229TH STREET,BRONX,10466,9 to 4,2/5/13,2/11/13
JASA THROGS NECK SENIOR CENTER,2705 SCHLEY AVENUE,BRONX,10465,9 to 4,2/5/13,2/11/13
KIPS BAY CASTLE HILL SENIOR CENTER,625 CASTLE HILL AVENUE,BRONX,10473,9 to 4,2/5/13,2/11/13
MARBLE HILL SENIOR CENTER,5365 BROADWAY,BRONX,10463,9 to 4,2/5/13,2/11/13
MELROSE MOTT HAVEN SENIOR CENTER,372 EAST 152ND STREET,BRONX,10455,9 to 4,2/5/13,2/11/13
MITCHELL HOUSES,188 LINCOLN AVENUE,BRONX,10454,9 to 4,2/5/13,2/11/13
MOSHOLU MONTEFIORE SENIOR CENTER,3450 DEKALB AVENUE,BRONX,10467,9 to 4,2/5/13,2/11/13
MT CARMEL CENTER FOR SR CITIZENS,2405 SOUTHERN BOULEVARD,BRONX,10458,9 to 4,2/5/13,2/11/13
NEIGHBORHOOD SHOPP CASA BORICUA SR CTR,910 EAST 172ND STREET,BRONX,10460,9 to 4,2/5/13,2/11/13
NEIGHBORHOOD SHOPP LEON SENIOR CENTER,735 EAST 152ND STREET,BRONX,10455,9 to 4,2/5/13,2/11/13
NORTHEAST BRONX SENIOR CITIZEN CENTER,2968 BRUCKNER BOULEVARD,BRONX,10465,9 to 4,2/5/13,2/11/13
PARKSIDE SENIOR CENTER,644 ADEE AVENUE,BRONX,10467,9 to 4,2/5/13,2/11/13
PSS ANDREW JACKSON SENIOR CENTER,325 EAST 156TH STREET,BRONX,10451,9 to 4,2/5/13,2/11/13
PSS HIGHBRIDGE SENIOR CENTER,1181 NELSON AVENUE,BRONX,10452,9 to 4,2/5/13,2/11/13
PSS-DAVIDSON SENIOR CENTER,950 UNION AVENUE,BRONX,10459,9 to 4,2/5/13,2/11/13
RAIN BOSTON EAST SENIOR CENTER,3450 BOSTON RD,BRONX,10469,9 to 4,2/5/13,2/11/13
RAIN BOSTON ROAD SENIOR CENTER,2424 BOSTON RD,BRONX,10467,9 to 4,2/5/13,2/11/13
RAIN BOSTON SECOR SENIOR CENTER,3540 BIVONA ST,BRONX,10475,9 to 4,2/5/13,2/11/13
