PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Family Support,Housing Assistance & Advocacy,AAFE Chinatown / Lower East Side,New York,Asian Americans for Equality,212.680.1374,Adults,"108 Norfolk Street
New York, NEW YORK 10002
(40.71897477368748, -73.98705894150635)"
Family Support,Housing Assistance & Advocacy,Cooper Square Community Development & Business Association,New York,Cooper Square Community Development & Business Association,212.228.8210,Adults,"61 4th Street
New York, NEW YORK 10003
(40.726940950792155, -73.99113355652129)"
Family Support,Housing Assistance & Advocacy,"Catholic Charities Community Service, Archdiocese of N Y",New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"1011 First Avenue
New York, NEW YORK 10022
(40.7572783324888, -73.96371387829234)"
Family Support,Housing Assistance & Advocacy,"Stryckers Bay Neighborhood Council, Inc.",New York,"Stryckers Bay Neighborhood Council, Inc.",212.874.7272,Adults,"63 87th Street
New York, NEW YORK 10024
(40.787026471644594, -73.97133879243415)"
Family Support,Housing Assistance & Advocacy,Catholic Charities Community Services-Washington Heights ,New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"4111 Broadway
New York, NEW YORK 10033
(40.845160338750205, -73.93878884162382)"
Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8300,Adults,"76 Wadsworth Avenue
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
Family Support,Housing Assistance & Advocacy,"Washington Heights- Inwood Coalition, Inc",New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,Adults,"652 187th Street
New York, NEW YORK 10033
(40.85360240438229, -73.932345278359)"
Family Support,Housing Assistance & Advocacy,Audubon Partnership for Economic Development LDC,New York,Audubon Partnership for Economic Development LDC,212.544.2400,Adults,"513 207th Street
New York, NEW YORK 10034
(40.86497071192406, -73.91947489100443)"
Family Support,Housing Assistance & Advocacy,Townsend Office ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"1477 Townsend Avenue
Bronx, NEW YORK 10452
(40.841513488175195, -73.9156620372896)"
Family Support,Housing Assistance & Advocacy,Neighborhood Association for Inter-Cultural Affairs,Bronx,Neighborhood Association for Inter-Cultural Affairs,718.538.3344,Adults,"1075 Grand
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
