Grade,Family Guide Name,Link,Language
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/F3D5490B-7D8B-4D5E-B7ED-A0C45E51A8E7/0/GradePreKArabic_LowResFinals.pdf,Arabic
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/ECB713CA-DAF6-4E88-AE39-762ACB30B21B/0/GradeKArabic_LowResFinals.pdf-DAF6-4E88-AE39-762ACB30B21B/0/GradeKArabic_LowResFinals.pdf,Arabic
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/EBD4D416-8FB3-4B7D-9151-B891E50B2EEA/0/Grade1Arabic_LowResFinals.pdf,Arabic
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/7B33BB6B-D4F0-415F-BF21-602E2745D22E/0/Grade2Arabic_LowResFinals.pdf,Arabic
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/FD539338-9E7A-49D8-BD35-886AFF7243A8/0/Grade3Arabic_LowResFinals.pdf,Arabic
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/2F814DE7-BCD3-4AD8-A872-65B8E3F4CDD8/0/Grade4Arabic_LowResFinals.pdf,Arabic
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/C8F83CF0-72C1-4E7F-B0B7-3C8ACF713FB6/0/Grade5Arabic_LowResFinals.pdf,Arabic
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/CDB70BFF-C18E-46FB-9E39-24AAF1EBDCD2/0/Grade6Arabic_LowResFinals.pdf,Arabic
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/5A6474DF-8A17-4404-8671-4C092C98FA7F/0/Grade7Arabic_LowResFinals.pdf,Arabic
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/222E92BC-B0CB-4DBE-889E-4B145E436531/0/Grade8Arabic_LowResFinals.pdf,Arabic
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/AF7D1754-A4AF-4881-B01B-0C40D1088C89/0/Grade912Arabic_LowResFinals.pdf,Arabic
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/AF7D1754-A4AF-4881-B01B-0C40D1088C89/0/Grade912Arabic_LowResFinals.pdf,Arabic
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/AF7D1754-A4AF-4881-B01B-0C40D1088C89/0/Grade912Arabic_LowResFinals.pdf,Arabic
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/AF7D1754-A4AF-4881-B01B-0C40D1088C89/0/Grade912Arabic_LowResFinals.pdf,Arabic
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/B5105690-2264-42B3-8A86-B980F23E7585/0/NYC_PreK_Bengali.pdf,Bengali
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/F1216237-8ADE-4F69-95A1-A219866B9F9E/0/NYC_K_Bengali.pdf,Bengali
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/F4A9CAC1-E13C-4962-92F2-90A5F4978403/0/NYC_1_Bengali.pdf,Bengali
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/052F6562-C91E-4D87-B860-EB6377C84C07/0/NYC_2_Bengali.pdf,Bengali
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/53497107-DCEE-4B79-9426-456A5E34930C/0/NYC_3_Bengali.pdf,Bengali
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/2E06B02C-61C3-4C3A-BE65-6999F558CED1/0/NYC_4_Bengali.pdf,Bengali
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/24FC68FE-64F5-4330-A847-1FE0B1053522/0/NYC_5_Bengali.pdf,Bengali
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/0769CE7E-44A8-49E2-8B8C-26F930315262/0/NYC_6_Bengali.pdf,Bengali
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/514E652B-AAC1-4180-B2F1-80D8D639FE36/0/NYC_7_Bengali.pdf,Bengali
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/DF5D2041-3780-4802-BF37-5822DD78F323/0/NYC_8_Bengali.pdf,Bengali
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2D43EAF8-C90B-42DE-81A3-44CA64A1FF6D/0/NYC_9to12Bengal.pdf,Bengali
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2D43EAF8-C90B-42DE-81A3-44CA64A1FF6D/0/NYC_9to12Bengal.pdf,Bengali
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2D43EAF8-C90B-42DE-81A3-44CA64A1FF6D/0/NYC_9to12Bengal.pdf,Bengali
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2D43EAF8-C90B-42DE-81A3-44CA64A1FF6D/0/NYC_9to12Bengal.pdf,Bengali
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/A02BB798-0075-4A96-B447-D2BDCF9EA9CC/0/NYCGuidetoPublicSchools_PreK_Spanish.pdf,Chinese
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/843FC1A5-7CD4-4DB2-9666-A8C44C647534/0/NYC_K_ChineseLowres.pdf,Chinese
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/F0A762CF-88A3-4D4D-858A-372FB9C277E4/0/NYC_1_ChineseLowres.pdf,Chinese
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/F81A8953-3AD0-4D2A-8432-E983E370EE18/0/NYC_2_ChineseLowres.pdf,Chinese
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/E6EAF1A7-E053-4B1D-853A-BE323289F45E/0/NYC_3_ChineseLowres.pdf,Chinese
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/2347F8AC-0F75-4BB1-8522-C72ED41ED783/0/NYC_4_ChineseLowres.pdf,Chinese
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/C7A99EFF-BBA9-4D1D-B054-4CB454BD9F21/0/NYC_5_ChineseLowres.pdf,Chinese
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/DF420BB7-425E-4DB8-BE36-664A3D8FF123/0/NYC_6_ChineseLowres.pdf,Chinese
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/476E82BA-5BE2-45EF-BCF9-775EC44B59C3/0/NYC_7_ChineseLowres.pdf,Chinese
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/EA445250-8001-43E3-B1C0-F3948A3B28E2/0/NYC_8_ChineseLowres.pdf,Chinese
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/120CE641-461A-45AF-891B-B7B38C27F11B/0/NYC_912_ChineseLowres.pdf,Chinese
