School Name, 12-13 Initative,Location Category Description,Borough
Bronx Middle School of Academic and Career Technology,InnovateNYC,Junior High-Intermediate-Middle,Bronx
P.S. 005 Port Morris,InnovateNYC,Elementary,Bronx
P.S. 016 John J. Driscoll,InnovateNYC,Elementary,Staten Island
P.S. 020 Clinton Hill,InnovateNYC,Elementary,Brooklyn
P.S. 025 Eubie Blake School,InnovateNYC,Elementary,Brooklyn
P.S. 030 Westerleigh,InnovateNYC,Elementary,Staten Island
P.S. 056 Harry Eichler,InnovateNYC,Elementary,Queens
P.S. 057 Crescent,InnovateNYC,Elementary,Bronx
P.S. 069 The New Vision School,InnovateNYC,Elementary,Bronx
P.S. 076 A. Philip Randolph,InnovateNYC,Elementary,Manhattan
P.S. 085 Judge Charles Vallone,InnovateNYC,Elementary,Queens
P.S. 087 Bronx,InnovateNYC,Elementary,Bronx
P.S. 087 Middle Village,InnovateNYC,K-8,Queens
P.S. 096 Joseph Lanzetta,InnovateNYC,K-8,Manhattan
P.S. 100 Isaac Clason,InnovateNYC,Elementary,Bronx
P.S. 130 Hernando De Soto,InnovateNYC,Elementary,Manhattan
P.S. 143 Louis Armstrong,InnovateNYC,Elementary,Queens
P.S. 154 Harriet Tubman,InnovateNYC,Elementary,Manhattan
P.S. 188 The Island School,InnovateNYC,K-8,Manhattan
P.S. 191 Amsterdam,InnovateNYC,Elementary,Manhattan
P.S. 208 Alain L. Locke,InnovateNYC,Elementary,Manhattan
P.S. 236 Mill Basin,InnovateNYC,Elementary,Brooklyn
P.S. 243K- The Weeksville School,InnovateNYC,Elementary,Brooklyn
P.S. 262 El Hajj Malik El Shabazz Elementary School,InnovateNYC,Elementary,Brooklyn
P.S. 276 Louis Marshall,InnovateNYC,Elementary,Brooklyn
P.S. 305 Dr. Peter Ray,InnovateNYC,Elementary,Brooklyn
P.S. 307 Daniel Hale Williams,InnovateNYC,Elementary,Brooklyn
P.S. 316 Elijah Stroud,InnovateNYC,Elementary,Brooklyn
P.S. 77 Lower Lab School,InnovateNYC,Elementary,Manhattan
P.S. M242 - Gwendolyn Powell Brown Computer School,InnovateNYC,Elementary,Manhattan
PS 125 Ralph Bunche School,InnovateNYC,Elementary,Manhattan
Tag Young Scholars,InnovateNYC,K-8,Manhattan
The Gordon Parks School,InnovateNYC,K-8,Queens
The Ida R. Posner School ,InnovateNYC,K-8,Brooklyn
PS 327 Rose B. English,InnovateNYC,Elementary,Brooklyn
