BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,99151,9.19,280000,26,2-02550-0007,"218 ST ANN'S AVENUE
Bronx, NY
(40.80635278553079, -73.91777134483357)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,16,1910,13440,103987,7.74,319000,23.74,0.5,,,,,,,,,,,,
2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,130140,12,368000,33.9,2-02283-0062,"495 138 STREET
Bronx, NY
(40.80776740524126, -73.91965370959586)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,9370,120310,12.84,452000,48.2,0.5,2-02265-0006,"231 BROOK AVENUE
Bronx, NY
(40.80755047250436, -73.91927853781365)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,37,1920,25460,402667,15.82,1640000,64,0.55
2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,112980,12,319000,33.9,2-02301-0023,"386 139 STREET
Bronx, NY
(40.809935998442064, -73.92282965099723)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,19,1905,11550,136024,11.78,480000,41.6,0,2-02301-0025,"245 WILLIS AVENUE
Bronx, NY
(40.8093524736852, -73.92275747647011)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,8735,75861,8.68,250000,28.6,0
2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,438995,9.5,1240000,26.8,2-02646-0036,"751 156 STREET
Bronx, NY
(40.81819275306702, -73.90624895084154)",MORRISANIA/LONGWOOD,C7-WALK-UP,25,1906,21834,180142,8.25,594000,27.2,0.25,2-02746-0015,"940 HOE AVENUE
Bronx, NY
(40.8219057051178, -73.89027383298013)",MORRISANIA/LONGWOOD,C1-WALK-UP,62,1913,49475,489483,9.89,1380000,27.9,1.1
2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,113859,9,322000,25.5,2-02410-0009,"600 MORRIS AVENUE
Bronx, NY
(40.81857169405948, -73.92218921682765)",MELROSE/CONCOURSE,C7-WALK-UP,13,1920,8958,76193,8.51,251000,28,1.25,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,123050,10.7,416000,36.2,0.3
2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,158424,9.2,447000,26,2-02669-0042,"991 UNION AVENUE
Bronx, NY
(40.82377785437397, -73.90146942766143)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1905,20855,198540,9.52,561000,26.9,0.75,,,,,,,,,,,,
2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,83376,12,236000,34,2-02439-0022,"275 168 STREET
Bronx, NY
(40.83363492298151, -73.91358574377372)",MELROSE/CONCOURSE,C7-WALK-UP,23,1914,18936,202615,10.7,685000,36.2,1.2,2-02680-0017,"1130 UNION AVENUE
Bronx, NY
(40.82702745673839, -73.90003847697997)",MORRISANIA/LONGWOOD,C7-WALK-UP,17,1908,9716,138533,14.26,549000,57,1.3
2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,90720,12,256000,33.9,2-02439-0022,"275 168 STREET
Bronx, NY
(40.83363492298151, -73.91358574377372)",MELROSE/CONCOURSE,C7-WALK-UP,23,1914,18936,202615,10.7,685000,36.2,1.2,2-02680-0017,"1130 UNION AVENUE
Bronx, NY
(40.82702745673839, -73.90003847697997)",MORRISANIA/LONGWOOD,C7-WALK-UP,17,1908,9716,138533,14.26,549000,57,1.3
2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,117425,11,332000,31.1,2-02282-0005,"230 WILLIS AVENUE
Bronx, NY
(40.808696081694286, -73.92315455938093)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,19,1931,15406,182145,11.82,642000,41.7,1.25,,,,,,,,,,,,
2-02422-0030,"943 TELLER AVENUE
Bronx, NY
(40.82615911625451, -73.91557814166602)",MELROSE/CONCOURSE,C6-WALK-UP,37,1920,33055,363605,11,1030000,31.2,2-02427-0044,"1241 WEBSTER AVENUE
Bronx, NY
(40.832979502148255, -73.90936088363658)",MELROSE/CONCOURSE,C4-WALK-UP,16,1929,7420,68190,9.19,209000,28.2,0.6,,,,,,,,,,,,
