Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100,Report Version
Manhattan,MN01,11,2010,May,29.27665128471074,54.36418863721333,70.18897504989712,58.17548421760927,Preliminary
Manhattan,MN02,11,2010,May,26.498014918158198,44.3061294956033,78.96740781007655,52.65407008739176,Preliminary
Manhattan,MN03,11,2010,May,13.098489950168535,47.50990064774443,39.4573747627649,43.99317105744572,Preliminary
Manhattan,MN04,11,2010,May,23.12284619426574,37.37981430019573,72.95261708509696,45.94728955709539,Preliminary
Manhattan,MN05,11,2010,May,23.78701035903557,41.13240782129411,66.60389097792556,47.267046776243184,Preliminary
Manhattan,MN06,11,2010,May,25.414851507225517,42.41544252002771,75.99028254954865,50.50172160651501,Preliminary
Manhattan,MN07,11,2010,May,24.381685580830855,43.01477133685949,65.57694753203836,48.448722871767814,Preliminary
Manhattan,MN08,11,2010,May,24.47817040494805,43.50095429530655,64.84051678971925,48.640447372909755,Preliminary
Manhattan,MN09,11,2010,May,13.032073855464882,49.73270669761759,36.0796750024943,43.770103007129954,Preliminary
Manhattan,MN10,11,2010,May,9.136803709369874,33.21156946037611,27.431499457387808,30.687275406081554,Preliminary
Manhattan,MN11,11,2010,May,9.06084460284588,35.79499337952098,23.51529215573911,30.432155771727228,Preliminary
Manhattan,MN12,11,2010,May,12.949044843614862,41.29010346917622,46.33021045733146,43.49123807422963,Preliminary
Bronx,BX01,11,2010,May,4.934534157463125,16.653928911961565,16.469411898376695,16.573345943231484,Preliminary
Bronx,BX02,11,2010,May,8.703898914872951,25.015853213303302,34.672869908666286,29.23330210470515,Preliminary
Bronx,BX03,11,2010,May,6.220565325924603,20.0378044813765,21.995249858546767,20.892667437126633,Preliminary
Bronx,BX04,11,2010,May,7.639643383412663,22.775001484302127,29.378362098846328,25.65884613134602,Preliminary
Bronx,BX05,11,2010,May,9.409868766288431,25.28296246862339,39.757652398441685,31.60440385405769,Preliminary
Bronx,BX06,11,2010,May,10.004536063475422,32.35243265290343,35.21293002170655,33.60167989327626,Preliminary
Bronx,BX07,11,2010,May,10.955847485316482,31.518758465652713,43.60428817725273,36.79679675553842,Preliminary
Bronx,BX08,11,2010,May,16.74396238686484,45.75291494995371,59.234563956523814,50.374829894628725,Preliminary
Bronx,BX09,11,2010,May,7.54720312945949,19.954046070349133,29.10244775033517,23.673691595709894,Preliminary
Bronx,BX10,11,2010,May,15.41689943656921,43.873033311401834,52.13643352629938,47.011748831050085,Preliminary
Bronx,BX11,11,2010,May,13.443914822066052,38.57513879326931,44.947038473096264,40.995399206005786,Preliminary
Bronx,BX12,11,2010,May,14.294287234352312,34.2797367619461,58.78721213791821,43.58849481668533,Preliminary
Brooklyn North,BKN01,11,2010,May,13.65408679371913,40.955495780794884,45.564478984843795,42.8294606930384,Preliminary
Brooklyn North,BKN02,11,2010,May,17.576300079911324,35.686874217153125,53.50028330602436,40.95123531121894,Preliminary
Brooklyn North,BKN03,11,2010,May,8.881484160833725,24.181292297167502,33.226543748501705,27.858998006168413,Preliminary
Brooklyn North,BKN04,11,2010,May,10.553904184989921,24.799780705136964,45.22622564226194,33.10496199987881,Preliminary
Brooklyn North,BKN05,11,2010,May,9.397540926190526,23.659090136926658,37.96995353191714,29.477739213921133,Preliminary
Brooklyn North,BKN08,11,2010,May,12.975604785624641,36.76554723413371,46.44529370758909,40.701232058225294,Preliminary
Brooklyn North,BKN09,11,2010,May,9.911233333923935,27.257321859096926,35.06506869864959,30.222965001324003,Preliminary
Brooklyn North,BKN16,11,2010,May,7.975346715115794,22.22892786586633,29.08533254723185,25.016671111650734,Preliminary
Brooklyn North,BKN17,11,2010,May,12.485846840723196,29.983957726596234,51.282617855671994,38.073900529357196,Preliminary
Brooklyn South,BKS06,11,2010,May,24.36533623969323,48.48143844539721,76.52499061442046,56.76909322509025,Preliminary
Brooklyn South,BKS07,11,2010,May,17.116504740724228,47.79892518588103,59.37120894107333,52.19446523908006,Preliminary
Brooklyn South,BKS10,11,2010,May,20.219169774968485,61.48980835376911,61.92635261586691,61.655622451456104,Preliminary
Brooklyn South,BKS11,11,2010,May,17.55638389382842,53.91452411975474,52.91748987503592,53.535817198132094,Preliminary
Brooklyn South,BKS12,11,2010,May,14.41860141114321,48.10278451746811,41.03120188064101,45.22755214000947,Preliminary
