ID,Business Name,Trade Name,Sidewalk Cafe Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Lic Area Sq Ft
1,1 & 3 ON 5TH CORP,FABIANE'S CAFE & PASTRY,Unenclosed Sidewalk Cafe,1120483,"142 NORTH    5 STREET, BROOKLYN, NY 11211",142,NORTH    5 STREET,BROOKLYN,NY,11211,Brooklyn,,(718) 218-9632,266
2,103 GW12 LLC,MONUMENT LANE,Unenclosed Sidewalk Cafe,1420085,"103 GREENWICH AVE, NEW YORK, NY 10014",103,GREENWICH AVE,NEW YORK,NY,10014,Manhattan,,(212) 255-0155,180
3,108 BAGEL CORP,BOARDWALK BAGEL,Unenclosed Sidewalk Cafe,1252802,"108-01 ROCKAWAY BEACH BLVD, QUEENS, NY 11694",108-01,ROCKAWAY BEACH BLVD,QUEENS,NY,11694,Queens,,(516) 641-9126,137
4,109 WEST BROADWAY FOOD & WINE LLC,109 WEST BROADWAY,Enclosed Sidewalk Cafe,1377538,"109 W BROADWAY, NEW YORK, NY 10013",109,W BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 513-1988,515
5,10TH AVENUE GROUP INC,44&X-HELLS KITCHEN,Unenclosed Sidewalk Cafe,1071297,"622 10 AVENUE, NEW YORK, NY 10036",622,  10 AVENUE,NEW YORK,NY,10036,Manhattan,,(212) 977-1170,517
6,110 VARICK ST CORP.,AMELIA'S RESTAURANT COFFEE SHOP,Unenclosed Sidewalk Cafe,1312498,"110 VARICK STREET, NEW YORK, NY 10013",110,VARICK STREET,NEW YORK,NY,10013,Manhattan,,(212) 925-5998,188
7,112 FRENCH INC,LE MONDE,Unenclosed Sidewalk Cafe,1001063,"2883 BROADWAY, NEW YORK, NY 10025",2883,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 531-3939,741
8,112 RESTAURANT CORP.,BUILDING ON BOND,Unenclosed Sidewalk Cafe,1323228,"112 BOND STREET, BROOKLYN, NY 11217",112,BOND STREET,BROOKLYN,NY,11217,Brooklyn,,(718) 852-0301,153
9,114 KENMARE ASSOCIATES LLC,LA ESQUINA,Unenclosed Sidewalk Cafe,1227042,"114 KENMARE ST, NEW YORK, NY 10012",114,KENMARE ST,NEW YORK,NY,10012,Manhattan,,(646) 613-7100,337
10,117 W. ENT CORP,ANGELO'S PIZZERIA,Unenclosed Sidewalk Cafe,1429757,"117 W 57TH ST, NEW YORK, NY 10019",117,W 57TH ST,NEW YORK,NY,10019,Manhattan,,(212) 333-1333,91
11,"119 7TH AVEUNE CAFETERIA, LLC",CAFETERIA,Unenclosed Sidewalk Cafe,1000225,"119 7 AVENUE, NEW YORK, NY 10011",119,   7 AVENUE,NEW YORK,NY,10011,Manhattan,,(212) 414-1717,470
12,12 FIRST AVENUE RESTAURANT CORP,,Unenclosed Sidewalk Cafe,1352781,"12 1 AVENUE, NEW YORK, NY 10009",12,   1 AVENUE,NEW YORK,NY,10009,Manhattan,,(212) 598-9126,307
13,120 U REST. LLC,TORTARIA,Enclosed Sidewalk Cafe,1412892,"94 UNIVERSITY PL, NEW YORK, NY 10003",94,UNIVERSITY PL,NEW YORK,NY,10003,Manhattan,,(212) 243-8517,292
14,1207 AMSTERDAM CORP,AMSTERDAM CAFE,Unenclosed Sidewalk Cafe,1172172,"1207 AMSTERDAM AVE, NEW YORK, NY 10027",1207,AMSTERDAM AVE,NEW YORK,NY,10027,Manhattan,,(212) 662-6330,324
15,1226 SECOND AVENUE REALTY CORP.,,Unenclosed Sidewalk Cafe,1167555,"1226 2ND AVE, NEW YORK, NY 10065",1226,2ND AVE,NEW YORK,NY,10065,Manhattan,,(212) 758-1775,183
16,1236 SECOND AVENUE REST. CORP.,SILVER STAR RESTAURANT,Enclosed Sidewalk Cafe,1028755,"1236 2 AVENUE, NEW YORK, NY 10065",1236,   2 AVENUE,NEW YORK,NY,10065,Manhattan,,(212) 249-4250,645
17,1262 AMSTERDAM CAFE INC,MAX CAFFE,Unenclosed Sidewalk Cafe,1133124,"1262 AMSTERDAM AVE, NEW YORK, NY 10027",1262,AMSTERDAM AVE,NEW YORK,NY,10027,Manhattan,,(212) 288-2937,193
18,1274 AMSTERDAM TRATTORIA INC,MAX SOHA,Unenclosed Sidewalk Cafe,1073015,"1274 AMSTERDAM AVENUE, NEW YORK, NY 10027",1274,AMSTERDAM AVENUE,NEW YORK,NY,10027,Manhattan,,(212) 288-2937,314
19,1291 PUB INC.,,Unenclosed Sidewalk Cafe,954466,"1291 THIRD AVENUE, NEW YORK, NY 10021",1291,THIRD AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 744-0585,175
20,1326 RESTAURANT LLC,BEACH CAFE,Unenclosed Sidewalk Cafe,1217877,"1326 SECOND AVENUE, NEW YORK, NY 10021",1326,SECOND AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 988-7299,429
21,"133 MULBERRY STREET RESTAURANT, LLC",SPQR,Unenclosed Sidewalk Cafe,1313474,"133 MULBERRY STREET, NEW YORK, NY 10013",133,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 925-3120,266
22,"1337 THIRD AVENUE, LLC",ATLANTIC GRILL,Unenclosed Sidewalk Cafe,979320,"1337 3 AVENUE, NEW YORK, NY 10075",1337,   3 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 988-9200,370
23,"135 STUDIO N ADR, INC.",JULIETTE,Unenclosed Sidewalk Cafe,1378763,"135 N 5TH ST, BROOKLYN, NY 11249",135,N 5TH ST,BROOKLYN,NY,11249,Brooklyn,,(646) 373-5149,124
