NAME,ST. #,ST,PHONE,(none),Location 1
2 Bros Pizza,32,NY,,,
2 Bros Pizza,36,NY,,,
20/20 Optical,57,NY,,,
6th Avenue News & Tobacco,488,NY,,,
8 Crown Trade Co.,28,NY,,,
8th Street Parking Corp.,11,NY,,,
8th Street Parking Corp.,9,NY,,,
8th Street Wine Cellar (Lower level),28,NY,(212) 260-9463,,
99 Cents Fresh Pizza,388,NY,,,
AC Gears,69,NY,(212) 260-2269,,
Adams West Italian Hair Salon,103,NY,(212) 243-9383,,
Addiction NYC,27,NY,,,
Aerosoles,63,NY,,,
Aesop Skin Care,60,NY,,,
Alma 33,33,NY,(212) 380-8794,,
Amber,432,NY,(212) 477-5880,,
Amelie Le bar a vin,22,NY,(415) 310-4853,,
Amorino Gelato,60,NY,,,
Andrade Shoe Repair,101,NY,,,
Andromeda Body Piercing,33,NY,,,
Andromeda Electric Tattoo,33,NY,,,
"Andy's Chee Pees,18,West 8th St,New York,NY,10011,(212) 420-5980 Ann Taylor Loft,770,Broadway,New York,NY,10003, Ansonia Pharmacy,446,6th Ave,New York,NY,10011, Anthology Floral Design,1,5th Ave,New York,NY,10003, Aphrodite Dry Cleaners,22,University Place,New York,NY,10003, Apple Cafe Bakery ,24,West 8th St,New York,NY,10011,(212) 432-4300 Arche Shoes,10,Astor Place,New York,NY,10003, Argo Tea,75,University Place,New York,NY,10003, Aria Accessories,2,St. Marks Place,New York,NY,10003, Astor Place Hairstylist,2,Astor Place,New York,NY,10003, AT&T,745,Broadway,New York,NY,10003, AT&T Wireless ,484,6th Ave,New York,NY,10011, Au Bon Pain,58,East 8th St,New York,NY,10003, B & H Dairy & Vegetarian Food,127,2nd Ave,New York,NY,10003, B & S Zeeman Wine & Liquor,47,University Place,New York,NY,10003, Back & Foot Rub Acupuncture,11,St. Marks Place,New York,NY,10003, Back and Foot Rub,35,West 8th St,New York,NY,10011, Bagel Bob's",51,NY,,,
"Bagel Café - Ray's Pizza,2,St. Marks Place,New York,NY,10003, Bahr Che,26,Astor Place,New York,NY,10003,(212) 260-2220 Bank of America,770,Broadway,New York,NY,10003, Bank of America ATM,388,6th Ave,New York,NY,10011, Bank of America ATM,740,Broadway,New York,NY,10003, Baoguette Café,37,St. Marks Place,New York,NY,10003, Bar Six Restaurant,502,6th Ave,New York,NY,10011,(212) 691-1363 Barnes & Noble Booksellers,396,6th Ave,New York,NY,10011, Barney's Hardware",467,NY,,,
BBQ Restaurant,21-23,NY,(212) 674-4450,,
Beauty & Youth Spa,472,NY,(212) 463-0261,,
Beauty & Youth Salon & Spa  ,17,NY,(212) 463-0246,,
Bleu Sur Bleu Hair Salon,35,NY,,,
BLT Burger,470,NY,(212) 243-8226,,
Boka Restaurant,9,NY,(212) 228-2887,,
"Bombalulus Kid's Wear,101,West 10th St,New York,NY,10011, Bonfire Chicken & Burger,404,6th Ave,New York,NY,10011, Bowlmor Lanes,110,University Place,New York,NY,10003, Broadway Cleaners,778,Broadway,New York,NY,10003, Broadway Panhandler,65,East 8th St,New York,NY,10003, Brown Harris Stevens Real Estate,2,5th Ave,New York,NY,10011, Bull McCabe's",29,NY,,,
"Bully's Deli,759,Broadway,New York,NY,10003, Burger Creations,52,East 8th St,New York,NY,10003,(212) 539-1909 ""C.O. Bigelow Chemists, Inc."",414,6th Ave,New York,NY,10011, Cafetasia,38,East 8th St,New York,NY,10003,(212) 529-2363 Cafetiny Organic Coffee Shop,11,West 8th St,New York,NY,10011,(212) 470-4550 Cantor Film Center (NYU),36,East 8th St,New York,NY,10003, Capital One Bank,347,6th Ave,New York,NY,10011, Capital One Bank,21,University Place,New York,NY,10003, Carlo Marco Studio,136,Waverly Place,New York,NY,10011, Carnival - 2nd Fl,110,University Place,New York,NY,10003, Cartridge World,30,West 8th St,New York,NY,10011,(212)677-3796 Casey's Flower Studio",1,NY,(212) 243-0906,,
Cash Zone Check Cashing,59,NY,(212) 674-0338,,
Champion Broadway Parking,60,NY,(212) 533-7463,,
Charles Cheriff Galleries Antiques,84,NY,(212) 675-6131,,
Charlie Mom Chinese Restaurant,464,NY,(212) 807-8585,,
Chase Bank,340,NY,,,
Chase Bank,785,NY,,,
Chase Bank,32,NY,,,
Chase Bank ,26,NY,,,
Cheeps Pita Creations,129,NY,,,
Cherries,18,NY,,,
Chipotle Grill,55,NY,,,
Chipotle Grill,19,NY,,,
Cho Cho San Japanese Restaurant,15,NY,(212) 473-3333,,
Ciao for Now,107,NY,,,
Citarella,424,NY,,,
Citibank,749,NY,(212) 290-7752,,
Citibank ATM,364,NY,,,
"Cohen's Fashion Optical,133,2nd Ave,New York,NY,10003,(212) 254-0246 Cohen's Fashion Optical",5,NY,(212) 645-1395,,
Colorful Nails,58,NY,(212) 260-4011,,
Computer Repair & BGP Spy Shop (2nd Fl),49,NY,(347) 384-3822,,
Cosi,53,NY,,,
Crown Cleaners,11,NY,(212) 254-2171,,
Crown Jewelers,60,NY,(212) 420-7800,,
Crumbs Bake Shop,37,NY,(212) 673-1500,,
Curry Kitchen,40,NY,(212) 982-2900,,
Custom Care French Cleaners,473,NY,,,
Cutting Edge Body Art,31,NY,(212) 253-9898,,
CVS,13-19,NY,,,
"Da Vinci Shoes,37,West 8th St,New York,NY,10011,(212) 982-9879 Dae Sung Caps and Hats,65,West 8th St,New York,NY,10011,(212) 420-9745 DAgostino Supermarket",64,NY,(212) 674-7101,,
Dashing Diva Nail Salon,41,NY,,,
David Barton Gym,4,NY,,,
Desire Restaurant,45,NY,(646)454-9950,,
Devonshire Optical,51,NY,,,
Digital Society,60,NY,,,
Disc-O-Rama,44,NY,(212)206-8417,,
Dog Wash,177,NY,,,
"""Doggie Style"," NYC""",New York,10003,,"46 University Place
New York, NY
(40.756053999992105, -73.9869510002884)"
"Domino's Pizza,16,West 8th St,New York,NY,10011,(212) 353-3100 Dots NY,16,St. Marks Place,New York,NY,10003, Downtown Stationers,494,6th Ave,New York,NY,10011, Dramatics NYC,434,6th Ave,New York,NY,10011, Duane Reade,378,6th Ave,New York,NY,10011, Duane Reade,769,Broadway,New York,NY,10003, Dunkin' Donuts ",406,NY,,,
East & West Body Works (2nd fl),406,NY,,,
East Village Shoe Repair,1,,,,"St Marks Place, NEW YORK
"
Economy Foam and Futons,56,NY,(212) 475-4800,,
Eco-Optics,52,NY,(212) 965-4959,,
Eight Bit and Up Video Games (2nd Fl),35,,,,"St Marks Place, NEW YORK
"
Eighth Street Gifts,46,NY,(212) 260-3712,,
El Cantinero Mexican Restaurant,86,NY,(212) 255-9378,,
Electric Lady Recording (2nd Fl),52,NY,(212) 677-4700,,
Elegant Nails & Spa,373,NY,,,
Elite Shoe Repair ,105,NY,,,
Emigrant Savings Bank,395,NY,,,
Enrica Lossi,53,NY,(212) 420-7113,,
Epicurean Deli,45,NY,,,
"Eva's Restaurant,11,West 8th St,New York,NY,10011,(212) 677-3496 Eva's Sports Nutrition Shop",,,(212) 982-2500,,
Eve Salon,55,NY,(212) 807-8054 ,,
"EXE'X,38,West 8th St,New York,NY,10011,(212) 260-3915 Famous Familglia,757,Broadway,New York,NY,10003, Famous Ray's Pizza",465,NY,,,
Fancy 8 Cleaners,48,NY,,,
Fashion Shoppe Express,42,NY,(212) 260-6990,,
