Percent Project,Artist,Address,City,Borough,Council District,Community Board
59th Street Marine Transfer Station ," Antonakos, Stephen",59th Street and 12th Avenue,New York,Manhattan,Manhattan Council District #3,Manhattan Community Board #4
Allen Street Malls ," Ladda, Justen",Allen Street,New York,Manhattan,,Manhattan Community Board #3
Alonzo Daughtry Day Care Center ," Dermansky, Julie",333 Second Street,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #6
Appellate Division Courthouse ," Feigenbaum, Harriet",25th Street and Madison Avenue,New York,Manhattan,,
Audubon Ballroom ," Chase, Colin",3940 Broadway,New York,Manhattan,Manhattan Council District #10,Manhattan Community Board #12
Audubon Ballroom ," Galvez, Daniel",3940 Broadway,New York,Manhattan,Manhattan Council District #10,Manhattan Community Board #12
Audubon Ballroom ," Koren, Gabriel",3940 Broadway,New York,Manhattan,Manhattan Council District #10,Manhattan Community Board #12
Beach Channel Drive Day Care Center ," Dermansky, Julie",44-22 Beach Channel Drive,Queens,Queens,Queens Council District #31,Queens Community Board #14
Bedford Stuyvesant Multi-Service Center," Bey, Dawoud",1958 Fulton Street,Brooklyn,Brooklyn,Brooklyn Council District #41,Brooklyn Community Board #3
Bronx 6 Sanitation Garage ," Kasuba, Aleksandra",800 East 176th Street,Bronx,Bronx,Bronx Council District #15,Bronx Community Board #6
Bronx County Hall of Justice ," Davis, Michael",265 East 161st Street,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
Bronx County Hall of Justice ," Guo-Qiang, Cai",265 East 161st Street,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
Bronx Housing Court ," Komar, Vitaly",1118 Grand Concourse,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
Bronx Housing Court ," Tacla, Jorge",1118 Grand Concourse,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
Bronx Library Center ," Manglano-Ovalle, Inigo",310 East Kingsbridge Road,Bronx,Bronx,Bronx Council District #15,Bronx Community Board #7
Brooklyn Bridge Pedestrian Improvements ," Tillett, Linnaea",Prospect St and Washington St,Brooklyn,Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #2
Brooklyn Public Library Grillework Conservation , Wallicao Metal & Marble Mainte,Grand Army Plaza,Brooklyn,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #3
Brooklyn Public Library Grillework Conservation Phase II, Wallicao Metal & Marble Mainte,Grand Army Plaza,Brooklyn,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #3
Cambria Heights Community Library ," Ellmann, Barbara",218-13 Linden Boulevard,Queens,Queens,Queens Council District #27,Queens Community Board #13
Clarendon Library ," DeMonte, Claudia",2035 Nostrand Avenue,Brooklyn,Brooklyn,Brooklyn Council District #45,Brooklyn Community Board #17
Coney Island Water Pollution Control Center Plant ," Rupp, Christy",2591 Knapp Street,Brooklyn,Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #15
Coney Island Water Pollution Control Center Plant ," Smyth, Ned",2591 Knapp Street,Brooklyn,Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #15
"Flushing Meadows Corona Park, Core Area "," Mullican, Matt",Flushing Meadows Corona Park,Queens,Queens,Queens Council District #21,Queens Community Board #7
