PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e (MT) Calculated
HVAC System Upgrade,,Completed,,,,,BPL,
Lighting System Upgrade,Retrofit,Completed,09-Apr-12,28-Sep-12,Leonard Branch Library,81 Devoe Street,BPL,15.1
Lighting System Upgrade,Retrofit,Install,14-May-12,28-Sep-12,Washington Irving Branch Library,360 Irving Avenue,BPL,11.9
Comprehensive,Retrofit,Cancelled,,,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,117.07
Energy Audit,None,Completed,16-Mar-10,23-Aug-10,Brooklyn Heights Branch Library,286 Fulton Street,BPL,135.53
Other,Retro-commissioning,Proposed,,,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,
Other,Retro-commissioning,Survey,,,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,
HVAC System Upgrade,Retrofit,Design,,,Kingsborough Community College,2001 Oriental Blvd,CUNY,1632.56
HVAC System Upgrade,Retrofit,Install,,,"Queensborough Community College, Medical Arts Building",222-05 56th Avenue,CUNY,273.65
Comprehensive,Retrofit,Design,,,"Kingsborough Community College, T-2 Building",2065 Oriental Blvd,CUNY,43.32
Comprehensive,Retrofit,Design,,,"Kingsborough Community College, T-2 Building",2111 Oriental Blvd,CUNY,57.81
Lighting System Upgrade,,Completed,,,,,,76.48
HVAC System Upgrade,Retrofit,Design,01-Nov-10,,Bronx Community College - Phase 1 HVAC Upgrade,2155 University Avenue,CUNY,2246.61
Lighting System Upgrade,,Completed,,,,,,37.19
Other,None,,01-Jan-12,01-Jun-10,CUNY Solar Mapping Project,Not applicable,CUNY,
HVAC System Upgrade,,Completed,01-Apr-09,01-Jun-09,Manhattan Municipal Building,1 Centre Street,DCAS,583.63
Comprehensive,Retrofit,Design,,,,,DCAS,2060.41
Energy Audit,None,Completed,27-Oct-10,03-Aug-11,Brooklyn Supreme Court,292-360 AdamsSt,DFMC,2151.65
Other,Retro-commissioning,Proposed,,,Brooklyn Supreme Court,292-360 Adams Strrt,DCAS,
Other,Retro-commissioning,Survey,,,Brooklyn Supreme Court,292-360 Adams Strrt,DCAS,
HVAC System Upgrade,Retrofit,Design,,,,,DFMC,
HVAC System Upgrade,Retrofit,Design,02-Mar-11,,60-80-100 Centre Street,60-80-100 Centre Street,DCAS,-97.69
Lighting System Upgrade,Retrofit,Completed,24-May-07,19-Dec-07,Dfmc Shops - 390 Kent Avenue,"BROADWAY KENT AVE & SOUTH 6TH ST   SHOPS, 390 Kent Avenue",DCAS,48.96
Lighting System Upgrade,Retrofit,Install,12-Sep-11,,Municipal Building - 1 Centre Street,1 Centre Street,DCAS,629.54
Lighting System Upgrade,Retrofit,Completed,03-Aug-09,14-Jan-10,Brooklyn Municipal Bldg - 210 Joralemon St.,Court-Joralemon Sts Bklyn Municipal Bldg,DCAS,73.13
Lighting System Upgrade,Retrofit,Completed,03-Aug-09,04-Feb-10,Manhattan Health Building - 125 Worth St.,125 Worth Street,DCAS,150.25
Lighting System Upgrade,Retrofit,Completed,08-Apr-10,29-Sep-10,Bronx County Court - 851 Grand Concourse,E 161ST ST & GRAND CONCORSE BX COUNTY CT,DCAS,
HVAC System Upgrade,Retrofit,Design,,,Mario Merola Building,851 Grand Concourse Bronx NY,DFMC,777.76
Energy Audit,None,Completed,31-Mar-10,19-Mar-12,Mario Merola Building,851 Grand Concourse,DCAS,1535.73
Other,Retro-commissioning,Survey,,,Bronx County Court- Bin # 2002869,851 Grand Concourse,DCAS,
Lighting System Upgrade,Retrofit,Completed,05-Jul-11,30-Oct-11,Queens Borough Hall,120-55 Queens Blvd,DCAS,124.9
HVAC System Upgrade,Retrofit,Substantially Completed,15-Apr-12,,Queens Borough Hall,120-55 Queens Blvd,DCAS,2373.48
Other,Retro-commissioning,Survey,,,Queens Borough Hall120-55 Queens Blvd,,DCAS,
HVAC System Upgrade,Retrofit,Design,,,Brooklyn Central Court,120 Schermerhorn St,DCAS,346.23
Other,Retro-commissioning,Survey,,,Brooklyn Central Court,120 Schermerhorn Street,DCAS,
HVAC System Upgrade,Retrofit,Design,,,Manhattan Criminal Courthouse,100 Centre Street,DCAS,1545.09
Other,Retro-commissioning,Survey,,,Manhattan Criminal Courthouse,125 White Street,DCAS,
Comprehensive,Retrofit,Install,07-Jun-12,,100 Gold Street,100 Gold Street,DCAS,1327.02
Other,Retro-commissioning,Survey,09-Aug-11,,100 Gold Street,100 Gold Street,DCAS,
Lighting System Upgrade,Retrofit,Completed,01-Mar-11,09-Aug-11,137 Centre Street,133-37 Centre Street,DCAS,71.03
Comprehensive,Retrofit,Design,,,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DCAS,1291.03
Energy Audit,None,Completed,21-Oct-10,31-Oct-11,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DFMC,2129.43
Other,Retro-commissioning,Proposed,,,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DCAS,
HVAC System Upgrade,Retrofit,Install,01-Jan-11,,The Metropolitan Museum Of Art,1000 5th Ave,MoMA,
HVAC System Upgrade,Retrofit,Install,01-Jul-09,,Carnegie Hall,881 7th Avenue,DCLA,308.71
HVAC System Upgrade,Retrofit,Completed,07-Nov-09,10-Mar-11,Museum Of The Moving Image,36-01 35th Ave,DCLA,143.86
HVAC System Upgrade,Retrofit,Install,01-May-09,30-Nov-11,Museum Of The City Of New York,1220 Fifth Avenue,DCLA,111.96
Lighting System Upgrade,,Completed,,,Interior Lighting CFLs - Various Cultural Institutions,Various,DCLA,
HVAC System Upgrade,Retrofit,Install,01-Jan-11,,American Museum Of Natural History,"W 77-81 Streets Columbus Ave, 200 Central Park West",DCLA,958.74
HVAC System Upgrade,Retrofit,Completed,01-Jul-08,30-Dec-09,,,DCLA,871.51
HVAC System Upgrade,Retrofit,Design,01-Jan-11,,American Museum of Natural History,200 Central Park West,DCLA,1117.96
Lighting System Upgrade,Retrofit,Substantially Completed,01-Nov-11,27-Mar-12,Brooklyn Botanic Garden,1000 Washington Avenue,DCLA,30.67
HVAC System Upgrade,Retrofit,Install,01-Jul-09,,Carnegie Hall,881 7th Avenue,DCLA,
HVAC System Upgrade,Retrofit,Substantially Completed,01-Mar-11,,City Center,131 West 55th Street,DCLA,631.14
Other,Retro-commissioning,Survey,09-Aug-11,,City Center,131 West 55th Street,DCLA,
Lighting System Upgrade,Retrofit,Cancelled,,,Flushing Town Hall - 137-35 Northern Blvd,137-35 Northern Blvd,DCLA,23.3
Comprehensive,Retrofit,Cancelled,01-Jan-12,,Jamaica Center for Arts,161-04 Jamaica Avenue,DCLA,
Other,Retrofit,Survey,,,Museum Of Jewish Heritage,18 First Place,DCLA,
Other,Retro-commissioning,Survey,,,Museum Of Jewish Heritage,36 Battery Place,,
Lighting System Upgrade,Retrofit,Substantially Completed,17-Aug-11,05-Sep-12,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,
Other,Retro-commissioning,Survey,,,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,
HVAC System Upgrade,Retrofit,Install,20-Sep-10,,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,
Lighting System Upgrade,Retrofit,Completed,01-Apr-11,30-Apr-11,Metropolitan Museum,1000 Fifth Avenue Manhattan,DCLA,291.41
Lighting System Upgrade,Retrofit,Design,,,New York Aquarium - 502 Surf Avenue,"Boardwalk @ West 8th Street, 502 Surf Ave",DCLA,219.89
Lighting System Upgrade,Retrofit,Completed,28-Apr-09,22-Sep-09,NYBG - Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, 2667 Dr. Theodore Kazimiroff Boulevard",DCLA,69.95
HVAC System Upgrade,Retrofit,Completed,28-Apr-09,26-Jun-09,NYBG - Haupt Conservatory,2740 Dr. Theodore Kazimiroff Blvd,DCLA,8.7
Other,Retro-commissioning,Survey,,,Haupt Conservatory,2740 Dr. Theodore Kazimiroff Blvd,DCLA,
HVAC System Upgrade,Retrofit,Design,,,NYBG - Watson Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",DCLA,0
