NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES                        ,5,$250000.00,$307553.00,$283000.00,$370000.00
BATHGATE                 ,02 TWO FAMILY HOMES                        ,16,$153000.00,$397313.00,$422348.00,$550000.00
BATHGATE                 ,03 THREE FAMILY HOMES                      ,6,$230000.00,$503797.00,$527500.00,$660000.00
BAYCHESTER               ,01 ONE FAMILY HOMES                        ,78,$185000.00,$369595.00,$370000.00,$752000.00
BAYCHESTER               ,02 TWO FAMILY HOMES                        ,84,$150000.00,$511616.00,$548025.00,$710000.00
BAYCHESTER               ,03 THREE FAMILY HOMES                      ,16,$433992.00,$599506.00,$615000.00,$745000.00
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES                        ,14,$195000.00,$359131.00,$348224.00,$596000.00
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES                        ,27,$220000.00,$468074.00,$475000.00,$650000.00
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES                      ,13,$153000.00,$587202.00,$570000.00,$1550000.00
BELMONT                  ,01 ONE FAMILY HOMES                        ,2,$305000.00,$452500.00,$452500.00,$600000.00
BELMONT                  ,02 TWO FAMILY HOMES                        ,6,$344000.00,$450000.00,$427500.00,$625000.00
BELMONT                  ,03 THREE FAMILY HOMES                      ,7,$340000.00,$521430.00,$567500.00,$677000.00
BRONXDALE                ,01 ONE FAMILY HOMES                        ,36,$200000.00,$363935.00,$368456.00,$540000.00
BRONXDALE                ,02 TWO FAMILY HOMES                        ,57,$156667.00,$497661.00,$510000.00,$725000.00
BRONXDALE                ,03 THREE FAMILY HOMES                      ,21,$372448.00,$618305.00,$636000.00,$812500.00
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES                        ,15,$277000.00,$385480.00,$385000.00,$453000.00
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES                        ,40,$190000.00,$469689.00,$465000.00,$900000.00
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES                      ,28,$200000.00,$591118.00,$582500.00,$740000.00
CITY ISLAND              ,01 ONE FAMILY HOMES                        ,21,$150000.00,$475174.00,$470000.00,$1200000.00
CITY ISLAND              ,02 TWO FAMILY HOMES                        ,3,$256000.00,$498667.00,$610000.00,$630000.00
CO-OP CITY               ,01 ONE FAMILY HOMES                        ,1,$380000.00,$380000.00,$380000.00,$380000.00
COUNTRY CLUB             ,01 ONE FAMILY HOMES                        ,41,$170000.00,$430885.00,$450000.00,$995000.00
COUNTRY CLUB             ,02 TWO FAMILY HOMES                        ,32,$200000.00,$511462.00,$547500.00,$845000.00
COUNTRY CLUB             ,03 THREE FAMILY HOMES                      ,3,$450000.00,$592517.00,$602550.00,$725000.00
CROTONA PARK             ,01 ONE FAMILY HOMES                        ,3,$345000.00,$397333.00,$417000.00,$430000.00
CROTONA PARK             ,02 TWO FAMILY HOMES                        ,8,$262000.00,$439000.00,$458800.00,$525000.00
CROTONA PARK             ,03 THREE FAMILY HOMES                      ,5,$180000.00,$444014.00,$529000.00,$633000.00
EAST TREMONT             ,01 ONE FAMILY HOMES                        ,7,$190000.00,$320106.00,$319000.00,$499000.00
EAST TREMONT             ,02 TWO FAMILY HOMES                        ,20,$250000.00,$440599.00,$455390.00,$589600.00
EAST TREMONT             ,03 THREE FAMILY HOMES                      ,27,$325000.00,$549382.00,$561350.00,$715000.00
FIELDSTON                ,01 ONE FAMILY HOMES                        ,9,$860000.00,$1703889.00,$1750000.00,$2400000.00
FIELDSTON                ,03 THREE FAMILY HOMES                      ,2,$726000.00,$767792.00,$767792.00,$809583.00
FORDHAM                  ,01 ONE FAMILY HOMES                        ,4,$225000.00,$328750.00,$330000.00,$430000.00
FORDHAM                  ,02 TWO FAMILY HOMES                        ,10,$230000.00,$408806.00,$446801.00,$525000.00
FORDHAM                  ,03 THREE FAMILY HOMES                      ,5,$375180.00,$487906.00,$466667.00,$707684.00
HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES                        ,3,$265000.00,$379667.00,$375000.00,$499000.00
HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES                        ,11,$300000.00,$465000.00,$477000.00,$599000.00
HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES                      ,34,$356718.00,$522421.00,$570000.00,$707683.00
HUNTS POINT              ,02 TWO FAMILY HOMES                        ,17,$250000.00,$409629.00,$381600.00,$585000.00
HUNTS POINT              ,03 THREE FAMILY HOMES                      ,3,$365000.00,$501667.00,$455000.00,$685000.00
KINGSBRIDGE HTS/UNIV HTS ,01 ONE FAMILY HOMES                        ,1,$306229.00,$306229.00,$306229.00,$306229.00
KINGSBRIDGE HTS/UNIV HTS ,02 TWO FAMILY HOMES                        ,10,$184805.00,$418081.00,$423500.00,$550000.00
KINGSBRIDGE HTS/UNIV HTS ,03 THREE FAMILY HOMES                      ,8,$600000.00,$653875.00,$653500.00,$705000.00
KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES                        ,11,$325000.00,$469786.00,$430000.00,$675000.00
KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES                        ,16,$175000.00,$510309.00,$540000.00,$725000.00
KINGSBRIDGE/JEROME PARK  ,03 THREE FAMILY HOMES                      ,3,$572000.00,$635667.00,$660000.00,$675000.00
MELROSE/CONCOURSE        ,01 ONE FAMILY HOMES                        ,3,$270000.00,$328333.00,$350000.00,$365000.00
MELROSE/CONCOURSE        ,02 TWO FAMILY HOMES                        ,24,$210000.00,$426573.00,$450250.00,$605000.00
MELROSE/CONCOURSE        ,03 THREE FAMILY HOMES                      ,26,$167496.00,$474073.00,$511500.00,$693428.00
MORRIS PARK/VAN NEST     ,01 ONE FAMILY HOMES                        ,16,$300000.00,$428200.00,$430000.00,$540000.00
MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES                        ,48,$150000.00,$484751.00,$494500.00,$713784.00
MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES                      ,14,$440000.00,$583949.00,$575000.00,$773870.00
MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES                        ,16,$209000.00,$323458.00,$318850.00,$555000.00
MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES                        ,46,$187000.00,$433617.00,$402500.00,$742206.00
MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES                      ,56,$177450.00,$504478.00,$523566.00,$690000.00
MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES                        ,6,$335000.00,$410417.00,$406250.00,$550000.00
MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES                        ,11,$193750.00,$451654.00,$390000.00,$870000.00
MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES                      ,5,$315000.00,$517500.00,$495000.00,$695000.00
MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES                        ,2,$420000.00,$635000.00,$635000.00,$850000.00
MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES                        ,9,$182520.00,$404758.00,$457357.00,$525000.00
MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES                      ,9,$347153.00,$563452.00,$560000.00,$850000.00
PARKCHESTER              ,01 ONE FAMILY HOMES                        ,5,$250000.00,$374588.00,$395000.00,$422940.00
PARKCHESTER              ,02 TWO FAMILY HOMES                        ,29,$234000.00,$457584.00,$450000.00,$650000.00
PARKCHESTER              ,03 THREE FAMILY HOMES                      ,15,$385000.00,$577221.00,$580000.00,$711000.00
PELHAM GARDENS           ,01 ONE FAMILY HOMES                        ,14,$185000.00,$456346.00,$432500.00,$665000.00
PELHAM GARDENS           ,02 TWO FAMILY HOMES                        ,8,$430000.00,$630225.00,$628400.00,$875000.00
PELHAM GARDENS           ,03 THREE FAMILY HOMES                      ,1,$650000.00,$650000.00,$650000.00,$650000.00
PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES                        ,26,$360000.00,$460663.00,$437165.00,$675000.00
PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES                        ,32,$200000.00,$519974.00,$485250.00,$760000.00
PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES                      ,2,$555000.00,$652500.00,$652500.00,$750000.00
PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES                        ,10,$300000.00,$519500.00,$537500.00,$625000.00
PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES                        ,8,$400530.00,$496372.00,$472375.00,$628300.00
PELHAM PARKWAY SOUTH     ,03 THREE FAMILY HOMES                      ,2,$525000.00,$560000.00,$560000.00,$595000.00
RIVERDALE                ,01 ONE FAMILY HOMES                        ,24,$159750.00,$1046277.00,$692500.00,$3956150.00
RIVERDALE                ,02 TWO FAMILY HOMES                        ,14,$487250.00,$730588.00,$752500.00,$975000.00
SCHUYLERVILLE/PELHAM BAY ,01 ONE FAMILY HOMES                        ,35,$285000.00,$408864.00,$405000.00,$618000.00
SCHUYLERVILLE/PELHAM BAY ,02 TWO FAMILY HOMES                        ,40,$275000.00,$544547.00,$499945.00,$865512.00
SCHUYLERVILLE/PELHAM BAY ,03 THREE FAMILY HOMES                      ,10,$325000.00,$592900.00,$611250.00,$875000.00
SOUNDVIEW                ,01 ONE FAMILY HOMES                        ,30,$150000.00,$346719.00,$348650.00,$625000.00
SOUNDVIEW                ,02 TWO FAMILY HOMES                        ,58,$245000.00,$478848.00,$500000.00,$625000.00
SOUNDVIEW                ,03 THREE FAMILY HOMES                      ,49,$154000.00,$552113.00,$600000.00,$730000.00
THROGS NECK              ,01 ONE FAMILY HOMES                        ,64,$230000.00,$410943.00,$417500.00,$675000.00
THROGS NECK              ,02 TWO FAMILY HOMES                        ,54,$250000.00,$523443.00,$527200.00,$875000.00
THROGS NECK              ,03 THREE FAMILY HOMES                      ,11,$424000.00,$545212.00,$520000.00,$710000.00
WAKEFIELD                ,01 ONE FAMILY HOMES                        ,45,$222000.00,$369650.00,$382000.00,$575000.00
WAKEFIELD                ,02 TWO FAMILY HOMES                        ,53,$150000.00,$451676.00,$440000.00,$680000.00
WAKEFIELD                ,03 THREE FAMILY HOMES                      ,17,$275000.00,$558526.00,$570000.00,$750000.00
WESTCHESTER              ,01 ONE FAMILY HOMES                        ,13,$230000.00,$447846.00,$389014.00,$1088000.00
WESTCHESTER              ,02 TWO FAMILY HOMES                        ,27,$270000.00,$527203.00,$510000.00,$940000.00
WESTCHESTER              ,03 THREE FAMILY HOMES                      ,17,$541660.00,$645978.00,$625400.00,$775000.00
WILLIAMSBRIDGE           ,01 ONE FAMILY HOMES                        ,34,$228151.00,$355623.00,$360000.00,$530000.00
WILLIAMSBRIDGE           ,02 TWO FAMILY HOMES                        ,79,$225000.00,$446600.00,$440000.00,$665000.00
WILLIAMSBRIDGE           ,03 THREE FAMILY HOMES                      ,51,$325000.00,$594202.00,$595032.00,$804417.00
WOODLAWN                 ,01 ONE FAMILY HOMES                        ,12,$265000.00,$423079.00,$370000.00,$690000.00
WOODLAWN                 ,02 TWO FAMILY HOMES                        ,9,$267500.00,$502787.00,$534581.00,$615000.00
WOODLAWN                 ,03 THREE FAMILY HOMES                      ,3,$480000.00,$513333.00,$500000.00,$560000.00
