NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,1,$580000.00,$580000.00,$580000.00,$580000.00
ARVERNE                  ,01 ONE FAMILY HOMES                        ,101,$165000.00,$333479.00,$335629.00,$485000.00
ARVERNE                  ,02 TWO FAMILY HOMES                        ,130,$270000.00,$498358.00,$495666.00,$749330.00
ARVERNE                  ,03 THREE FAMILY HOMES                      ,8,$405000.00,$528130.00,$512387.00,$680000.00
ASTORIA                  ,01 ONE FAMILY HOMES                        ,70,$158000.00,$623038.00,$601500.00,$1900000.00
ASTORIA                  ,02 TWO FAMILY HOMES                        ,148,$250000.00,$748302.00,$755000.00,$2025000.00
ASTORIA                  ,03 THREE FAMILY HOMES                      ,57,$150000.00,$902231.00,$898000.00,$2885000.00
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,342,$150000.00,$683919.00,$644000.00,$2000000.00
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,133,$170000.00,$814165.00,$835000.00,$1500000.00
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,18,$530000.00,$841735.00,$903000.00,$997885.00
BEECHHURST               ,01 ONE FAMILY HOMES                        ,51,$250500.00,$880221.00,$784000.00,$3000000.00
BEECHHURST               ,02 TWO FAMILY HOMES                        ,4,$615000.00,$853750.00,$850000.00,$1100000.00
BEECHHURST               ,03 THREE FAMILY HOMES                      ,1,$990000.00,$990000.00,$990000.00,$990000.00
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,27,$499900.00,$914532.00,$850000.00,$2600000.00
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,18,$233000.00,$642972.00,$670000.00,$875000.00
BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,3,$700000.00,$795000.00,$825000.00,$860000.00
BELLEROSE                ,01 ONE FAMILY HOMES                        ,125,$270000.00,$530727.00,$520000.00,$895000.00
BELLEROSE                ,02 TWO FAMILY HOMES                        ,19,$177000.00,$532171.00,$514500.00,$860000.00
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,22,$294000.00,$656039.00,$552500.00,$2300000.00
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,15,$378000.00,$778500.00,$733126.00,$1650000.00
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,10,$300000.00,$765100.00,$782000.00,$1450000.00
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,27,$200000.00,$342737.00,$330000.00,$535000.00
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,1,$339688.00,$339688.00,$339688.00,$339688.00
BROAD CHANNEL            ,03 THREE FAMILY HOMES                      ,1,$350000.00,$350000.00,$350000.00,$350000.00
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,113,$155000.00,$420901.00,$440000.00,$580000.00
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,13,$350000.00,$528175.00,$490000.00,$800000.00
CAMBRIA HEIGHTS          ,03 THREE FAMILY HOMES                      ,1,$572400.00,$572400.00,$572400.00,$572400.00
COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,100,$200000.00,$519023.00,$485000.00,$1450000.00
COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,92,$185000.00,$695845.00,$695000.00,$2325000.00
COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,11,$536082.00,$715430.00,$702000.00,$922000.00
CORONA                   ,01 ONE FAMILY HOMES                        ,48,$174500.00,$556167.00,$547250.00,$1325000.00
CORONA                   ,02 TWO FAMILY HOMES                        ,176,$198750.00,$747904.00,$765000.00,$1900000.00
CORONA                   ,03 THREE FAMILY HOMES                      ,139,$150980.00,$812424.00,$860000.00,$1150000.00
DOUGLASTON               ,01 ONE FAMILY HOMES                        ,66,$252722.00,$937495.00,$835500.00,$5300000.00
DOUGLASTON               ,02 TWO FAMILY HOMES                        ,10,$580000.00,$939268.00,$865512.00,$1706000.00
EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,54,$296000.00,$539941.00,$513953.00,$1050000.00
EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,77,$200000.00,$692115.00,$676000.00,$1300000.00
EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,11,$625000.00,$845427.00,$820000.00,$1100000.00
ELMHURST                 ,01 ONE FAMILY HOMES                        ,97,$200000.00,$583354.00,$570000.00,$999000.00
ELMHURST                 ,02 TWO FAMILY HOMES                        ,129,$150000.00,$673925.00,$660000.00,$1400000.00
ELMHURST                 ,03 THREE FAMILY HOMES                      ,90,$188516.00,$824348.00,$862500.00,$1250000.00
FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        ,90,$152500.00,$460755.00,$444214.00,$970000.00
FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        ,138,$150000.00,$510731.00,$540375.00,$682227.00
FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      ,73,$300000.00,$634918.00,$659000.00,$700000.00
FLORAL PARK              ,01 ONE FAMILY HOMES                        ,119,$197500.00,$572191.00,$550000.00,$925000.00
FLORAL PARK              ,02 TWO FAMILY HOMES                        ,6,$490500.00,$608250.00,$605000.00,$730000.00
FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        ,592,$150000.00,$637134.00,$615000.00,$2275500.00
FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,320,$225000.00,$783878.00,$770000.00,$3564000.00
FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,88,$180000.00,$904565.00,$900000.00,$1350000.00
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,252,$175000.00,$580269.00,$557750.00,$1175000.00
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,82,$225000.00,$687181.00,$673500.00,$1048797.00
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,25,$375000.00,$857523.00,$861000.00,$1272812.00
FOREST HILLS             ,01 ONE FAMILY HOMES                        ,152,$168660.00,$879280.00,$699000.00,$3200000.00
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,35,$525000.00,$829557.00,$750000.00,$1475000.00
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,3,$813500.00,$1132833.00,$1185000.00,$1400000.00
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,91,$265000.00,$655296.00,$645000.00,$1300000.00
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,12,$487000.00,$704958.00,$690000.00,$1115000.00
FRESH MEADOWS            ,03 THREE FAMILY HOMES                      ,1,$822000.00,$822000.00,$822000.00,$822000.00
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,35,$347500.00,$571886.00,$535000.00,$995000.00
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,4,$636500.00,$791096.00,$765000.00,$997885.00
GLENDALE                 ,01 ONE FAMILY HOMES                        ,75,$250000.00,$509705.00,$500000.00,$700000.00
GLENDALE                 ,02 TWO FAMILY HOMES                        ,139,$171616.00,$614445.00,$610000.00,$949823.00
GLENDALE                 ,03 THREE FAMILY HOMES                      ,22,$385000.00,$766800.00,$764000.00,$995000.00
HAMMELS                  ,01 ONE FAMILY HOMES                        ,15,$210840.00,$328497.00,$299457.00,$500000.00
HAMMELS                  ,02 TWO FAMILY HOMES                        ,21,$215000.00,$466629.00,$492703.00,$660000.00
HAMMELS                  ,03 THREE FAMILY HOMES                      ,4,$200000.00,$460497.00,$493350.00,$655286.00
HILLCREST                ,01 ONE FAMILY HOMES                        ,30,$375000.00,$522950.00,$510000.00,$750000.00
HILLCREST                ,02 TWO FAMILY HOMES                        ,9,$539540.00,$609474.00,$600000.00,$745000.00
HOLLIS                   ,01 ONE FAMILY HOMES                        ,215,$156000.00,$459876.00,$460000.00,$930000.00
HOLLIS                   ,02 TWO FAMILY HOMES                        ,94,$199524.00,$556066.00,$571250.00,$780000.00
HOLLIS                   ,03 THREE FAMILY HOMES                      ,7,$380000.00,$769964.00,$821727.00,$949000.00
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,39,$505000.00,$746711.00,$710000.00,$1400000.00
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,34,$300000.00,$682888.00,$707500.00,$1575000.00
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,6,$500000.00,$800750.00,$799000.00,$999000.00
HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,102,$150000.00,$560384.00,$600000.00,$1069162.00
HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,36,$210000.00,$657926.00,$665000.00,$920000.00
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,7,$550000.00,$679800.00,$710000.00,$750000.00
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,118,$289000.00,$610343.00,$600000.00,$1690000.00
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,116,$175000.00,$692948.00,$697500.00,$996100.00
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,61,$250000.00,$829255.00,$850000.00,$1825000.00
JAMAICA                  ,01 ONE FAMILY HOMES                        ,50,$285600.00,$516534.00,$495340.00,$875000.00
JAMAICA                  ,02 TWO FAMILY HOMES                        ,59,$200000.00,$614805.00,$590000.00,$1390000.00
JAMAICA                  ,03 THREE FAMILY HOMES                      ,26,$390000.00,$833336.00,$860625.00,$985800.00
JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,6,$156250.00,$354208.00,$375000.00,$470000.00
JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,1,$195000.00,$195000.00,$195000.00,$195000.00
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,66,$250000.00,$924422.00,$865000.00,$2276000.00
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,6,$650000.00,$917500.00,$932500.00,$1250000.00
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,6,$910000.00,$953057.00,$967337.00,$995000.00
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,27,$180000.00,$618472.00,$602299.00,$820000.00
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,18,$500000.00,$745063.00,$768750.00,$950000.00
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,3,$740000.00,$908529.00,$992793.00,$992793.00
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,30,$325000.00,$786489.00,$639150.00,$3000000.00
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,10,$563000.00,$756399.00,$730000.00,$995292.00
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,8,$550000.00,$853000.00,$890000.00,$999000.00
LAURELTON                ,01 ONE FAMILY HOMES                        ,178,$165000.00,$431991.00,$447000.00,$726500.00
LAURELTON                ,02 TWO FAMILY HOMES                        ,63,$185000.00,$534222.00,$551200.00,$695000.00
LAURELTON                ,03 THREE FAMILY HOMES                      ,3,$578000.00,$639667.00,$626000.00,$715000.00
