BOROUGH,BUILDING CLASS CATEGORY, NUMBER OF SALES , MINIMUM SALE PRICE , AVERAGE SALE PRICE , MEDIAN SALE PRICE , MAXIMUM SALE PRICE 
1,01 ONE FAMILY HOMES,102,300000,7383111,4925000,50000000
1,02 TWO FAMILY HOMES,104,200000,4126525,3185000,19075000
1,03 THREE FAMILY HOMES,50,250000,2748050,1520208,14400000
2,01 ONE FAMILY HOMES,942,150000,451970,420000,4500000
2,02 TWO FAMILY HOMES,1378,150000,517028,520060,1400000
2,03 THREE FAMILY HOMES,627,150000,603445,600000,10691871
3,01 ONE FAMILY HOMES,2280,150000,645548,520000,10000000
3,02 TWO FAMILY HOMES,4063,150000,688668,624500,8000000
3,03 THREE FAMILY HOMES,1518,150000,744142,712888,3500000
4,01 ONE FAMILY HOMES,6794,150000,547530,500000,5300000
4,02 TWO FAMILY HOMES,4379,150000,637563,630000,3564000
4,03 THREE FAMILY HOMES,1007,150000,775309,789143,2885000
5,01 ONE FAMILY HOMES,3176,150000,468604,418741,35000000
5,02 TWO FAMILY HOMES,1191,150000,581875,520000,49000000
5,03 THREE FAMILY HOMES,42,275000,498723,487490,930000
CITYWIDE,01 ONE FAMILY HOMES,13294,150000,591160,475713,50000000
CITYWIDE,02 TWO FAMILY HOMES,11115,150000,667978,600000,49000000
CITYWIDE,03 THREE FAMILY HOMES,3244,150000,754332,700000,14400000
