Hospital Name,HCAHPS Question,HCAHPS Answer Description,HCAHPS Answer Percent
BELLEVUE HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",56
CONEY ISLAND HOSPITAL,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",64
ELMHURST HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",57
HARLEM HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",61
JACOBI MEDICAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",63
KINGS COUNTY HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",73
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",65
METROPOLITAN HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",63
NORTH CENTRAL BRONX HOSPITAL,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",62
QUEENS HOSPITAL CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",68
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often were the patients rooms and bathrooms kept clean?,"Room was ""always"" clean",65
BELLEVUE HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",63
CONEY ISLAND HOSPITAL,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",68
ELMHURST HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",57
HARLEM HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",64
JACOBI MEDICAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",63
KINGS COUNTY HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",67
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",66
METROPOLITAN HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",62
NORTH CENTRAL BRONX HOSPITAL,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",67
QUEENS HOSPITAL CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",63
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,How often did nurses communicate well with patients?,"Nurses ""always"" communicated well",68
BELLEVUE HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",77
CONEY ISLAND HOSPITAL,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",74
ELMHURST HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",74
HARLEM HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",78
JACOBI MEDICAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",75
KINGS COUNTY HOSPITAL CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",76
LINCOLN MEDICAL & MENTAL HEALTH CENTER,How often did doctors communicate well with patients?,"Doctors ""always"" communicated well",79
