Year of birth,GENDER,ETHNICITY,CHILD FIRST NAME,COUNT,RANK
2009,MALE,WHITE NON HISPANIC,MICHAEL,315,1
2009,MALE,WHITE NON HISPANIC,DAVID,273,2
2009,MALE,WHITE NON HISPANIC,DANIEL,272,3
2009,MALE,WHITE NON HISPANIC,JOSEPH,267,4
2009,MALE,WHITE NON HISPANIC,JACOB,219,5
2009,MALE,WHITE NON HISPANIC,MOSHE,216,6
2009,MALE,WHITE NON HISPANIC,JACK,203,7
2009,MALE,WHITE NON HISPANIC,BENJAMIN,198,8
2009,MALE,WHITE NON HISPANIC,SAMUEL,196,9
2009,MALE,WHITE NON HISPANIC,JAMES,192,10
2009,MALE,WHITE NON HISPANIC,MATTHEW,192,10
2009,MALE,WHITE NON HISPANIC,NICHOLAS,190,11
2009,MALE,WHITE NON HISPANIC,ALEXANDER,189,12
2009,MALE,WHITE NON HISPANIC,WILLIAM,176,13
2009,MALE,WHITE NON HISPANIC,ETHAN,174,14
2009,MALE,WHITE NON HISPANIC,RYAN,155,15
2009,MALE,WHITE NON HISPANIC,JOHN,154,16
2009,MALE,WHITE NON HISPANIC,ABRAHAM,131,17
2009,MALE,WHITE NON HISPANIC,CHARLES,129,18
2009,MALE,WHITE NON HISPANIC,CHAIM,128,19
2009,MALE,WHITE NON HISPANIC,CHRISTOPHER,126,20
2009,MALE,WHITE NON HISPANIC,HENRY,126,20
2009,MALE,WHITE NON HISPANIC,ANTHONY,122,21
2009,MALE,WHITE NON HISPANIC,NOAH,122,21
2009,MALE,WHITE NON HISPANIC,DYLAN,117,22
2009,MALE,WHITE NON HISPANIC,THOMAS,114,23
2009,MALE,WHITE NON HISPANIC,ADAM,113,24
2009,MALE,WHITE NON HISPANIC,GABRIEL,113,24
2009,MALE,WHITE NON HISPANIC,ELI,110,25
2009,MALE,WHITE NON HISPANIC,ANDREW,109,26
2009,MALE,WHITE NON HISPANIC,LUCAS,109,26
2009,MALE,WHITE NON HISPANIC,YOSEF,108,27
2009,MALE,WHITE NON HISPANIC,LUKE,106,28
2009,MALE,WHITE NON HISPANIC,JOSHUA,104,29
2009,MALE,WHITE NON HISPANIC,SHIMON,101,30
2009,MALE,WHITE NON HISPANIC,MAX,99,31
2009,MALE,WHITE NON HISPANIC,OLIVER,98,32
2009,MALE,WHITE NON HISPANIC,ZACHARY,95,33
2009,MALE,WHITE NON HISPANIC,AARON,92,34
2009,MALE,WHITE NON HISPANIC,ISAAC,92,34
2009,MALE,WHITE NON HISPANIC,LIAM,91,35
2009,MALE,WHITE NON HISPANIC,JONATHAN,89,36
2009,MALE,WHITE NON HISPANIC,MENACHEM,89,36
2009,MALE,WHITE NON HISPANIC,ROBERT,88,37
2009,MALE,WHITE NON HISPANIC,MORDECHAI,85,38
2009,MALE,WHITE NON HISPANIC,AIDAN,84,39
2009,MALE,WHITE NON HISPANIC,JACKSON,82,40
2009,MALE,WHITE NON HISPANIC,YISROEL,82,40
2009,MALE,WHITE NON HISPANIC,JAKE,80,41
2009,MALE,WHITE NON HISPANIC,TYLER,77,42
2009,MALE,WHITE NON HISPANIC,JUSTIN,76,43
2009,MALE,WHITE NON HISPANIC,JULIAN,74,44
