Year,Project Code,Program Type,Program Name,Amount,Amount City Expects to Receive,Amount City Expects to be Received by Other Entities
2012,C-OMB-0000,HUD Formula/Entitlement Program,Community Development Block Grant (CDBG),,$231486000.00,
2012,C-HPD-0085,HUD Formula/Entitlement Program,7A Program,$1377000.00,,
2012,C-VARIOUS-0204,HUD Formula/Entitlement Program,Adult Literacy Program,$2043000.00,,
2012,C-HPD-0206,HUD Formula/Entitlement Program,Alternative Enforcement Program,$8236000.00,,
2012,C-SBS-0026,HUD Formula/Entitlement Program,Avenue NYC,$2035000.00,,
2012,C-DYCD-0142,HUD Formula/Entitlement Program,Beacon School Program,$5949000.00,,
2012,C-DPR-0055,HUD Formula/Entitlement Program,Bronx River Project,$198000.00,,
2012,C-VARIOUS-0063,HUD Formula/Entitlement Program,CDBG Administration,$2326000.00,,
2012,C-DOEd-0165,HUD Formula/Entitlement Program,Code Violation Removal in Schools,$4750000.00,,
2012,C-CHR-0040,HUD Formula/Entitlement Program,Commission on Human Rights Law Enforcement Program,$1665000.00,,
2012,C-CHR-0051,HUD Formula/Entitlement Program,Commission on Human Rights Neighborhood Human Rights Program,$3747000.00,,
2012,C-DCA-0079,HUD Formula/Entitlement Program,Community Arts Development Program,$220000.00,,
2012,C-DCP-0062,HUD Formula/Entitlement Program,DCP Comprehensive Planning,$12758000.00,,
2012,C-DCP-0061,HUD Formula/Entitlement Program,DCP Information Technology,$3047000.00,,
2012,C-DFA-0183,HUD Formula/Entitlement Program,DFTA Senior Center Improvements,$2045000.00,,
2012,C-DHS-0182,HUD Formula/Entitlement Program,DHS Homeless Services,$3773000.00,,
2012,C-ACS-0042,HUD Formula/Entitlement Program,Day Care Center Services,$3128000.00,,
2012,C-DFA-0049,HUD Formula/Entitlement Program,Elderly Minor Home Repair Program,$362000.00,,
2012,C-CHA-0039,HUD Formula/Entitlement Program,Elderly Safe-At-Home,$225000.00,,
2012,C-HPD-0171,HUD Formula/Entitlement Program,Emergency Demolition Program,$4393000.00,,
2012,C-HPD-0009,HUD Formula/Entitlement Program,Emergency Repair Program,$42608000.00,,
2012,C-DPR-0053,HUD Formula/Entitlement Program,GreenThumb,$829000.00,,
2012,C-HPD-0092,HUD Formula/Entitlement Program,HPD Administration,$4507000.00,,
2012,C-HPD-0198,HUD Formula/Entitlement Program,HPD Emergency Shelters,$10729000.00,,
2012,C-HPD-0024,HUD Formula/Entitlement Program,HPD Fair Housing Services Program,$473000.00,,
2012,C-HPD-0060,HUD Formula/Entitlement Program,HPD Housing Policy Analysis and Statistical Research,$4414000.00,,
2012,C-HPD-0137,HUD Formula/Entitlement Program,HPD Neighborhood Preservation Offices,$4809000.00,,
2012,C-HPD-0166,HUD Formula/Entitlement Program,HPD Program Planning,$2319000.00,,
2012,C-DHS-0046,HUD Formula/Entitlement Program,Homeless Outreach and Housing Placement Services,$553000.00,,
2012,C-MAY-0048,HUD Formula/Entitlement Program,Housing Information and Education,$128000.00,,
