BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,CORE SUBJECT(9-12 ONLY),CORE COURSE(9-12 ONLY),SERVICE CATEGORY(K-9 ONLY),NUMBER OF CLASSES,TOTAL REGISTER(as of 1-23-08),AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS(as of 1-23-08),SIZE OF LARGEST CLASS(as of 1-23-08)
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,GEN ED,-,-,-,1,21,21,21,21
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,CTT,-,-,-,1,24,24,24,24
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,GEN ED,-,-,-,2,37,18.5,18,19
M,1,M015,P.S. 015 ROBERTO CLEMENTE,02,GEN ED,-,-,-,2,36,18,17,19
M,1,M015,P.S. 015 ROBERTO CLEMENTE,03,GEN ED,-,-,-,2,38,19,19,19
M,1,M015,P.S. 015 ROBERTO CLEMENTE,04,GEN ED,-,-,-,2,40,20,19,21
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,GEN ED,-,-,-,1,12,12,12,12
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,CTT,-,-,-,1,23,23,23,23
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K-09,SPEC ED,-,-,12:1:1,1,12,12,12,12
M,1,M019,P.S. 019 ASHER LEVY,0K,GEN ED,-,-,-,2,39,19.5,17,22
M,1,M019,P.S. 019 ASHER LEVY,01,GEN ED,-,-,-,1,22,22,22,22
M,1,M019,P.S. 019 ASHER LEVY,01,CTT,-,-,-,1,23,23,23,23
M,1,M019,P.S. 019 ASHER LEVY,02,GEN ED,-,-,-,1,25,25,25,25
M,1,M019,P.S. 019 ASHER LEVY,02,CTT,-,-,-,1,21,21,21,21
M,1,M019,P.S. 019 ASHER LEVY,03,GEN ED,-,-,-,3,51,17,14,20
M,1,M019,P.S. 019 ASHER LEVY,04,GEN ED,-,-,-,2,48,24,24,24
M,1,M019,P.S. 019 ASHER LEVY,05,GEN ED,-,-,-,2,59,29.5,29,30
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1,1,12,12,12,12
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1:1,1,8,8,8,8
M,1,M020,P.S. 020 ANNA SILVER,0K,GEN ED,-,-,-,3,56,18.7,16,20
M,1,M020,P.S. 020 ANNA SILVER,0K,CTT,-,-,-,1,19,19,19,19
M,1,M020,P.S. 020 ANNA SILVER,01,GEN ED,-,-,-,5,97,19.4,17,24
M,1,M020,P.S. 020 ANNA SILVER,02,GEN ED,-,-,-,4,94,23.5,23,24
M,1,M020,P.S. 020 ANNA SILVER,03,GEN ED,-,-,-,3,65,21.7,19,26
M,1,M020,P.S. 020 ANNA SILVER,03,CTT,-,-,-,1,23,23,23,23
M,1,M020,P.S. 020 ANNA SILVER,04,GEN ED,-,-,-,5,102,20.4,18,25
M,1,M020,P.S. 020 ANNA SILVER,05,GEN ED,-,-,-,3,77,25.7,25,26
M,1,M020,P.S. 020 ANNA SILVER,05,CTT,-,-,-,1,24,24,24,24
