Year,NYC Consumption(Million gallons per day),Per Capita(Gallons per person per day)
2009,1007.2,125.8
2008,1082.9,135.2
2007,1113.9,139.1
2006,1068.7,133.5
2005,1107.4,138.3
2004,1099.5,137.3
2003,1093.7,136.6
2002,1135.6,141.8
2001,1184,154.6
2000,1240.4,169.4
1999,1237.2,168.9
1998,1219.5,166.5
1997,1205.5,164.6
1996,1297.9,177.2
1995,1325.7,181
1994,1357.7,185.4
1993,1368.5,186.9
1992,1368.6,186.9
1991,1496.3,204.1
1990,1423.8,201.3
1989,1401.7,198.2
1988,1483.9,208.3
1987,1446.5,201.9
1986,1350.7,190.4
1985,1325.8,187.5
1984,1465,207.2
1983,1423.8,201.4
1982,1382.4,195.5
1981,1309.3,181.4
1980,1505.9,187.9
1979,1512.4,189
