category,c_name,sd_disqual_from,sd_disqual_to
Suspended,"2000 PAINTING, INC.",8/12/2004,
Suspended,21ST CENTURY CONSTRUCTION CRP OF NY,10/25/2000,
Suspended,4 J''S PLUMBING & HEATING CORP.,8/7/2012,
Suspended,A & A CONSTRUCTION AND RENOVATION,11/4/2004,
Suspended,A & L CONSTRUCTION CORP.,5/17/2004,
Suspended,A & S ENTERPRISES,8/6/2009,
Disqualified,"A & T IRON WORKS, INC.",7/20/2010,6/15/2015
Suspended,"A-1 Construction & Renovation, Inc.",12/22/2009,
Suspended,"A. J. MCNULTY & CO., INC.",4/16/2009,
Suspended,"A. TAHER CONTRACTING, CO., INC.",10/12/2000,
Suspended,A.K.M. GENERAL CONSTRUCTION CO.,6/28/2005,
Suspended,"A.S.L. ASSOCIATES, INC.",7/1/1996,
Suspended,ACCESS CONSTRUCTION CORP.,11/23/1998,
Disqualified,"Acranom Masonry, Inc",2/21/2013,11/4/2013
Suspended,"ADVENTUS, INC.",4/12/1990,
Disqualified,AENArchitects,12/19/2012,6/14/2013
Disqualified,AGGREGATES PLUS LTD.,4/16/2010,11/24/2013
Suspended,"AJ CONTRACTING COMPANY, INC.",5/19/1998,
Disqualified,AJM BOILER & CONSTRUCTION CO.,5/14/2009,4/24/2013
Suspended,"AL-PROS DELAWARE CONSTRUCTION, INC.",10/17/2012,
Suspended,ALBA TECH RESTORATION INC.,3/29/2010,
Disqualified,ALCON BUILDERS GROUP INC.,6/4/2010,5/14/2015
Suspended,ALLIED SERVICES GROUP INC.,5/17/2007,
Suspended,ALLSAFE CONSULTANTS,7/29/1998,
Suspended,ALLSTATE SPECIALTY SERVICES INC.,12/31/1994,
Suspended,ALPINE CONSTRUCTION & DEVEL CORP.,4/16/2004,
Disqualified,AMERICAN ROOF DIAGNOSTICS & SVCS.,12/26/2012,11/14/2013
Disqualified,AMERICAN STANDARD TEST & CONSULT L,1/29/2013,12/15/2017
Disqualified,"Andrew James Interiors, Inc.",5/27/2010,3/4/2014
Suspended,"ANRON HEATING & AIR, INC.",1/8/2010,
Suspended,ANRON SHEET METAL CORP.,1/8/2010,
Suspended,AP CONSTRUCTION CO.,11/19/1998,
Disqualified,"Aragon, LLC",9/21/2012,6/16/2017
Disqualified,ARC MECHANICAL CORP.,12/30/2009,5/20/2014
Suspended,ASBESTOS CARTING CORP.,7/10/1995,
Suspended,ASBESTOS PRO'S INC.,6/1/1998,
Suspended,ASCAPE LANDSCAPE & CONST. CORP.,10/27/2011,
Suspended,ASSOS CONSTRUCTION CORP.,2/26/1996,
Disqualified,"ATLAS ELECTRIC CONTRACTORS, INC.",5/10/2011,10/29/2015
Suspended,"ATLAS RENOVATION, INC.",6/20/2000,
Suspended,"ATRATECH, INC.",3/3/1992,
Suspended,"AVA SHYPULA CONSULTING, INC.",7/18/2011,
Suspended,"B & T RAGONESI, INC.",9/19/2002,
Suspended,B N Restoration Inc,8/22/2012,
Disqualified,"Bain Mechanical Services, Inc.",10/31/2012,3/30/2013
Suspended,BASS & BASS,3/6/2006,
Suspended,BASS & BASS WATCHGUARD & PATROL,4/6/2006,
Disqualified,Bayridge Window Shade Corp,12/12/2011,8/3/2016
Suspended,BEACON TOWER CONTRACTING,2/5/1999,
Suspended,"BEDROCK DEVELOPMENT, INC.",3/31/2004,
Suspended,BIB CONSTRUCTION CO INC,4/22/1993,
Suspended,BIG APPLE CONSTRUCTION CORP.,2/13/2000,
Disqualified,"BILLY CONTRACTORS, INC.",7/28/2010,12/8/2014
Suspended,BLANDFORD LAND DEVELOPMENT CORP.,1/16/2002,
Suspended,BOOM CONSTRUCTION ENTERPRISES INC.,6/14/2005,
Suspended,"BOREK, STOCKEL & MARDEN, CPA'S, PC",5/4/1994,
Suspended,"BOVIS LEND LEASE LMB, INC.",6/19/2009,
Disqualified,BQE CONTRACTING CORPORATION,1/24/1994,8/6/2078
Suspended,"BRASS SECURITY SERVICES, INC.",10/17/2006,
Suspended,BRAVE CONSTRUCTION INC.,10/16/2008,
Disqualified,BTN Management Corp.,8/27/2012,5/31/2017
Disqualified,C&F Fabricators Inc.,4/12/2010,2/14/2014
Disqualified,CARDOZA PLUMBING CORP,10/27/2011,6/18/2015
Suspended,CASALINO INTERIOR DEMOLITION CORP.,9/10/2001,
Suspended,"CASSEY MECHANICAL, INC.",4/10/2002,
Suspended,CCM CONSTRUCTION INC.,9/29/1998,
Suspended,CEBA CONTRACTING CORP.,5/19/1993,
Suspended,CERTIFIED TESTING LABORATORIES,5/2/2011,
Disqualified,"CHERNAK CONTRACTING, LLC",11/17/2010,8/26/2015
Disqualified,"CHILD SAFE PRODUCTS, INC.",10/28/2009,9/25/2013
Suspended,"CHRIST GATZONIS ELECTRIC, INC.",4/29/1993,
Disqualified,CHURCHGATE CORPORATION,5/9/2008,4/11/2013
Suspended,"CISCO GENERAL CONSTRUCTION, INC.",3/22/2012,
Suspended,CITY VIEW BLINDS OF NY,8/4/2004,
Suspended,"CITY WIRE WORKS, INC.",8/20/2002,
Suspended,CLEAN AIR ENVIRONMENTAL,1/27/2006,
Suspended,CLEVELAND CONSTRUCTION CO.,10/19/2000,
Suspended,"COLOR WHEEL, INC., THE",1/13/2003,
Suspended,COMMERCIAL CRAFTSMAN INC.,6/4/2001,
Suspended,"COMPREHENSIVE ENVIRON OF NY, INC.",1/19/2001,
Suspended,Concord Construction of New York Inc.,1/9/2003,
Suspended,CONCORE EQUIPMENT,5/24/2007,
Suspended,"CONSTRUCTION ASSISTANTS, INC.",2/11/1998,
Disqualified,CORE ELECTRIC & COMMUNICATION CORP.,1/9/2013,7/27/2017
Disqualified,Creer Construction LTD.,10/24/2012,6/29/2013
Suspended,CRISTAL CONCRETE INC.,4/3/1997,
Suspended,"Crossboro Contracting Co., Inc.",8/17/2012,
Disqualified,"CROSSLAND ELECTRICAL SYSTEMS, INC.",1/13/2009,12/16/2013
Suspended,CSA CONTRACTING CORP.,3/10/1999,
Suspended,"D & L ASSOCIATES, INC.",6/17/2002,
Disqualified,"D.J.H. MECHANICAL SERVICES, INC.",6/18/2012,2/17/2016
Suspended,"DALE CONSTRUCTION CO., INC.",7/1/1996,
Suspended,"DARRYL E. GREENE & ASSOCIATES, PC",1/30/1998,
Suspended,DE-CON MECHANICAL CONTRACTORS INC.,4/19/1994,
Disqualified,DECORA CONSTRUCTION LLC.,6/4/2012,11/1/2014
Disqualified,DELIGHT CONSTRUCTION CORP.,10/23/2012,3/3/2016
Disqualified,DELTA IRON & CONSTRUCTION INC,10/2/2012,9/25/2015
Suspended,"DELTA TESTING LABORATORIES, INC.",6/18/1997,
Suspended,DEPOT CONSTRUCTION INC.,3/6/2006,
Disqualified,DEWATERS PLUMBING AND HEATING,9/18/2012,8/21/2017
Suspended,"DIBA CORPORATION, INC.",10/12/2000,
Suspended,DIVERSIFIED SUPPLIES,12/31/1994,
Disqualified,DOT CONSTRUCTION OF N.Y.,3/25/2009,5/21/2013
Suspended,DPK RESTORATION,9/14/2005,
Suspended,DU-RITE HAUL-AWAY,7/1/1996,
Suspended,EAGLE ENTERPRISE,1/22/2001,
Disqualified,"EASTCO BUILDING SERVICES, INC.",9/16/2008,7/22/2013
Suspended,"EASTERN TECHNOLOGY SERVICES, INC",12/31/1994,
Suspended,"EDWARD ESBIN & SONS, INC.",4/28/1999,
Disqualified,EFTIS GROUP INC.,10/15/2010,2/4/2015
Suspended,EMB CONTRACTING CORP.,3/10/2009,
Disqualified,EMPIRE RESTORATION CORP.,1/23/2009,1/14/2014
Suspended,EMPIRE STATE RENOVATION CORP,5/1/1999,
Suspended,"Envirocare Enterprises, Inc.",1/23/2012,
Suspended,ENVIRONMENTAL ENERGY ASSOCIATES,1/26/2010,
Suspended,EQUITABLE BLUEPRINT /PHOTOPRINT CO.,9/5/1991,
Suspended,ESERAC REALTY CORP,8/6/1998,
Suspended,"ESPO CONSTRUCTION, INC.",2/3/1998,
Suspended,"EXTREME GROUP, INC.",1/18/2002,
Suspended,FALCON CONSTRUCTION CORP.,5/10/2004,
Suspended,"FAMOUS WATERPROOFING, INC.",1/10/2006,
Disqualified,"FELIX ASSOCIATES, LLC.",1/11/2012,11/23/2013
Disqualified,Final Touch Development LLC,4/16/2010,11/10/2014
Suspended,FIRST CLASS CONTRACTING CORP.,9/19/2000,
Disqualified,FLASH SECURITY SERVICES INTERNATIONAL,8/19/2011,11/30/2015
Disqualified,FML CONTRACTING INC.,8/7/2012,3/15/2015
Disqualified,"Franco Belli Plumbing & Heating & Sons, Inc.",7/15/2011,7/15/2016
Suspended,"G & R ELECTRICAL CONTRACTORS, INC.",6/18/1997,
Suspended,GARFIELD ASSOCIATES CORP.,8/4/2004,
Suspended,"GARFIELD DECORATING CO., INC.",8/4/2004,
Suspended,"GEMMA CONSTRUCTION CO., INC.",11/23/1998,
Suspended,"GIBSON ASSOCIATES, INC.",9/19/2000,
Suspended,GILL WATERPROOFING & ROOFING CO.,6/28/2002,
Suspended,"GLOBAL MARINE CONSTRUCTION SUPPLY, INC.",4/26/2012,
Suspended,GLOBE ATLAS CONSTRUCTION CORP.,3/9/1998,
Suspended,"GOOD CONSTRUCTION CO., INC.",6/1/2009,
Suspended,"GREEN STAR ENTERPRISES, INC.",8/25/2000,
Suspended,"GRIFFIN SECURITY AGENCY, INC.",7/14/2009,
Suspended,GTS CONTRACTING CORP.,4/22/1993,
Suspended,HARA ELECTRIC CORP.,1/8/2009,
Suspended,HAROON CONTRACTING INC.,10/28/2009,
Suspended,HENRY R. FULTON CONSULTING ENGS.,6/19/1996,
Suspended,HERCULES CONSTRUCTION CORP.,6/18/1997,
Suspended,"HI-TECH MECHANICAL, INC",11/29/1990,
Disqualified,HIGHTOWER CONSTRUCTION INC.,1/27/2012,5/8/2015
Disqualified,"HOMERIC CONTRACTING COMPANY, INC.",6/8/2010,3/5/2014
Disqualified,"HUDSON BAY ENVIROMENTS GROUP, LLC",1/31/2012,12/31/2016
Suspended,HYLAN ELECTRICAL CONTRACTING INC.,8/7/1995,
Suspended,I.G.W.T.,10/11/2007,
Suspended,I.V.S. CONSTRUCTION CO.,3/18/2000,
Suspended,"ICOTEK GROUP , INC.",3/10/1999,
Suspended,IMPULSE PLUMBING CORP.,8/2/1999,
Disqualified,IMS SAFETY INC.,8/27/2009,7/9/2014
Suspended,"INFINITY ELECTRICAL CONTRACTORS, IN",7/26/2002,
Suspended,INTEGRAL CONSTRUCTION CORP.,5/19/1998,
Suspended,"J.A.L. CONSTRUCTION & MAINT., INC.",11/14/2000,
Suspended,J.A.L. ROOFING CORP.,8/25/2000,
Suspended,J.A.L. ROOFING CORPORATION,8/25/2000,
Suspended,J.R.C. ENTERPRISES,3/10/1999,
Suspended,"J.T.J. CONSTRUCTION, INC.",7/16/2002,
Suspended,JACKSON INTERNTL SECURITY CO. SVCS.,4/22/2011,
Suspended,JADEITE CONSTRUCTION CORPORATION,4/4/2001,
Suspended,"JAL SERVICES, INC.",7/10/1995,
Suspended,JAMERICA CONTRACTORS,4/8/2008,
Suspended,Jule Builders Group Inc.,7/29/2010,
Suspended,K & K RESTORATION CORP.,9/3/1998,
Disqualified,"Katselnik & Katselnik Group, Inc.",6/18/2010,5/10/2014
Suspended,"KAYBAMZ, INC.",4/16/2009,
Suspended,KEL-MAR CONSTRUCTION LLC,9/20/2001,
Suspended,"KHEMSAFE ENVIRONMENTAL, INC.",11/22/1995,
Suspended,KOZI CONSTRUCTION CORP,7/30/2009,
Suspended,L & M LARJO COMPANY INC.,8/6/1998,
Suspended,LAKE CONSTRUCTION & DEVELOP. CORP.,11/7/1997,
Suspended,Lan Utilities Electric Inc.,3/15/2011,
Suspended,LECLERC'S ELECTRIC CORP.,1/4/2013,
