Repealed Rule (RCNY) Section,Repealed Section Title,New Code (FC)/Rule (R) Section
3 RCNY 1-01,Tanks Used for Bulk Storage of Acids,FC Chapters 27 and 31 R4831-01(d)
3 RCNY 2-01,Conduct of Adjudications,R4900-01
3 RCNY 3-01,Permits for Portable Air Compressors,FC 105.6 and A03.1(14)
3 RCNY 3-02,Definition of a Unit,FC 105.6 And A03.1(14)
3 RCNY 3-03,Test of Consolidated Con Edison Company Air Compressors and Air Compressor Systems,FC 3001.4 and 3003.1
3 RCNY 4-01,Fire Protection of Automotive Salvage and Wrecking Establishments,FC316
3 RCNY 5-01,"Fire Protection Of Boatyards, Marinas and Similar Occupancies",R301-01
3 RCNY 6-01,Fire Drill and Evacuation in Office Buildings Classified as Occupancy Group E (Business),"FC 113.4, 401, 404, 405 and 406 R 113-01, 113-02 and 404-01"
3 RCNY 6-02,Office Building Emergency Action Plans,"FC 401, 404, 405 and 406 R 113-01, 113-02, 113-03, 404-01 and 404-02"
3 RCNY 7-01,Required Periodic Tests of Fire Extinguishing Systems in Bulk Oil Storage Systems,FC3406.4.10.7
3 RCNY 7-02,Color Coding for Fire Extinguishing Systems in Bulk Oil Storage and Similar Plants,FC3406.4.10.8
3 RCNY 7-03,Signs at Fuel Oil Loading Racks in Bulk Oil Terminals,FC 3406.4.12 and 3406.5.1.15.1
3 RCNY 7-04,Hydrostatic Testing of Buried Piping in Oil Storage Plants,FC3406.4.17.1
3 RCNY 7-05,Hydrocarbon Vapor Recovery Units for Use in Bulk Plants Storing or Dispensing Volatiles (Such as Gasoline),FC3406.8
3 RCNY 7-06,Oil Spill Control at Bulk Storage Plants and Petroleum Product Pipelines,FC3406.4.13
3 RCNY 7-07,"Manufacture, Refining and Distilling of Petroleum, Coal Tar, or the Liquid or Solid Products Thereof, and the Storage, Transportation or Use of any Such Products in Certain Areas in the Borough of Richmond","FC 2707, 3401.7 and 3406.4"
3 RCNY 7-08,Certificates of Fitness for Bulk Oil Storage Plants,FC3406.4.12
3 RCNY 8-01,Fire Extinguishing Requirements for the Storage of Fats and Oils,FC 3404 and 3405 R4834-01(i)(2)
3 RCNY 8-02,Storage and Use of Cable Oils With a Flashpoint Over 300°F,"FC 105.6, 3404.2.7 and A03.1(10) R4834-01(i)(3)"
3 RCNY 9-01,Fire Department Certificates,"FC 113.2, 113.3, 113.4, 113.5, 113.6, 113.7, 114.2, 114.3, 114.4, 114.5, 114.6, 114.7, 115.1, 115.2, 115.4, 115.5, 115.6, 115.10, 202, 606.1, 2201.8, 3301.5 and 3308.2 R 104-04, 113-01, 113-02, 114-01 and 115-01"
3 RCNY 9-02,Supervision of More than One Interior Fire Alarm System,FC901.6.3
3 RCNY 9-03,Certificate of Approval Application Procedures and Appliances Previously Approved by the Board of Standards and Appeals,R112-01
3 RCNY 9-05,General Requirements for Accreditation of Training Courses by the Fire Department,R113-04
3 RCNY 9-06,Mechanical Refrigeration and Related Technology Training Courses,R113-07
3 RCNY 9-07,Fire Safety Director Training Course,R113-05
3 RCNY 9-08,Training Courses for Fire Safety/Emergency Action Plan Directors,R113-06
3 RCNY 10-01,"Storage and Use of Chemicals, Acids and Gases in College, University, Hospital, Research and Commercial Laboratories","FC2706 R 113-09, 2706-01 and 4827-01(g)(1)"
3 RCNY 11-01,"Buildings In the Course of Construction, and Buildings Undergoing Demolition",R1401-01
3 RCNY 11-02,"Use of Liquid Oxygen Cylinders on Construction, Alteration and Demolition Sites",FC1406.2
3 RCNY 11-03,Storage and Use of Oxygen Trailers in the Course of Construction and Demolition Work,FC1406.2
3 RCNY 11-04,Storage and Use of Ammunition for Powder Actuated Tools in the Construction and Alteration of Buildings,FC1418
3 RCNY 11-05,Use of Natural Gas Fired Heaters at Construction Sites,R1403-01
3 RCNY 12-01,Fire Drill and Evacuation in Hospitals and Nursing Institutions,FC Chapter 4
3 RCNY 12-02,"Signs on Doors of and Within Hospital Rooms, Wherein Oxygen is Being Administered to Patients",FC3006.4
3 RCNY 12-03,Storage of Oxygen Cylinders for Use in Institutional Occupancies,FC3006.4 R4830-01(d)(1)
3 RCNY 14-01,Explosives Control,"FC Chapter 33, including FC3303.8"
3 RCNY 14-02,Identification of Blasting Caps,"FC Chapter 33, including FC3303.8"
3 RCNY 14-03,"Transportation, Storage, Sale and Use of Blasting Explosives","FC 2707 and Chapter 33, including FC 3303, 3304 and 3307"
3 RCNY 14-04,Specifications for Explosive Magazines,FC3304 R4833-01(d)(1)
3 RCNY 14-05,"Alarm Systems for First Class Explosives(Powder and Caps) Magazines, and for All Magazines Storing Explosives Overnight",FC3304
3 RCNY 14-06,Use of Explosives for the Demolition of Structures,FC3307
3 RCNY 14-07,Disposal of Dynamite,FC3304.10
3 RCNY 15-01,Use of Halon 1301 as an Extinguishing Agent,FC 904.2 and 904.9
3 RCNY 15-02,Portable Fire Extinguishers,"FC 115.6, 901.6 and 906, R115-01"
3 RCNY 15-04,"Extinguishing Systems for Hoods, Vent Pipes, Flues or Ducts",FC 904.8 and 904.11 R4809-01(d)(1)
3 RCNY 15-05,Fire Protection in Wholesale Drug and Chemical Supply Houses,"FC Chapter 9, including FC906 R4827-01(e)(6)"
3 RCNY 15-06,Fire Extinguishing Requirements for the Storage of Distilled Liquors and Alcohols,FC 3404 and 3405 R 901-01 and 4834-01(f)(1)
3 RCNY 15-07,Power Operated Cranes and Derricks,R906-01
3 RCNY 15-08,Clean Agent Fire Extinguishing Systems,FC 904.2 and 904.10 R904-01
