Trade Code,Trade Description,Vendor Name,Address,City,State,Zip,Phone,Fax,Contact Person,MBE,WBE,LBE,>1M,Prequalified Date
01450,QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC,"Fairway Testing Co., Inc.",22 North Liberty Drive,Stony Point,NY,10980,845-942-2088,845-942-0995,Pat Rose,N,N,N,N,03/24/2014
01450,QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC,"MEGATECH DEVELOPMENT, INC.",41-16 Ditmars Blvd,Astoria,NY,11105,718-278-4004,718-721-6244,Antonio Eretzian,N,N,N,Y,08/24/2013
01450,QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC,"Philibert Engineering, PC",83-24 160th Street,Jamaica,NY,11432,718-526-4180,718-526-0005,Jacky Philibert,Y,N,N,Y,03/09/2013
01450,QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC,"Spectrum Analytical, Inc.",11 Almgren Drive,Agawam,MA,01001,716-597-6596,413-789-4076,James E. Stadelmai,N,N,N,N,11/17/2014
,,,,,,,,,,,,,,
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"ARSENAL SCAFFOLD, INC.",95 JERSEY STREET,WEST BABYLON,NY,11704,631-274-3900,631-274-3910,PHILIP J. SUSI,N,N,N,N,07/30/2015
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,ATLANTIC HOISTING & SCAFFOLDING LLC,700 Commercial Ave,Carlstadt,NJ,07072,201-636-5512,201-636-5542,David Jimenez,N,N,N,N,02/27/2016
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,B & S RESTORATION INC.,1008 Tonnelle Avenue,North Bergen,NJ,07047,201-223-1606,201-223-1603,Balbir Singh,Y,N,N,N,05/19/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,CS Bridge Corporation,1470  Bruckner Blvd,Bronx,NY,10473,718-589-4900,718-589-4949,Teresa Doyle-Carlo,N,N,N,N,07/25/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"EAGLE SCAFFOLDING SERVICES, INC.",67 MILL STREET,AMITYVILLE,NY,11701,631-842-1700,631-842-2288,MICHAEL PALADINO,N,N,N,Y,02/20/2016
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"JTG Scaffolding & Hoisting, LLC",309 West Elizabeth Avenue,Linden,NJ,07036,908-862-8844,908-862-8832,Courtney Brose,N,N,N,N,02/23/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"LAKHI GENERAL CONTRACTOR, INC.",1 STONERIDGE COURT,SYOSSET,NY,11791,800-264-1804,800-225-4892,GURCHARAN SINGH,Y,N,N,Y,04/20/2015
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,METROPOLITAN ENTERPRISES INC.,637 Court Street,Brooklyn,NY,11231,718-383-3133,718-383-3188,Kenneth Martinez,Y,N,N,Y,08/18/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,NYC CONSTRUCTION SERVICE INC.,201  RICHARDS STREET,Brooklyn,NY,11231,718-483-8230,718-228-4662,Kadir Barkol,N,N,Y,N,06/11/2015
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,Palace Hoisting & Scaffolding Corp. of N.Y.,36 South Main Street,Pearl River,NY,10965,917-693-9531,845-323-4539,Nancy DeLuca,N,Y,N,N,09/13/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,PIONEER GENRL CONSTRUCTION CO LLC,7216  7th Avenue,Brooklyn,NY,11209,718-745-5464,718-238-4845,Akhlak A. Coudhary,Y,N,N,N,09/14/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"Roma Scaffolding, Inc.",41-33 38 Street,Long Island City,NY,11101,718-392-6000,718-392-6002,Helen Aniftos,N,N,N,N,06/04/2013
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"Safway Services, LLC",31-31  123rd Street,Flushing,NY,11354,718-321-3914,718-321-7050,Bridgett Gayle,N,N,N,N,04/08/2014
