Year,Gender,Rank,Hispanic,Black,White,Asian & Pacific Islander
2009,Girl,1,Isabella,Madison,Olivia,Sophia
2009,Girl,2,Mia,Kayla,Sarah,Emily
2009,Girl,3,Ashley,Nevaeh,Rachel,Chloe
2009,Girl,4,Emily,Jada,Leah,Olivia
2009,Girl,5,Sophia,Malia,Esther,Tiffany
2009,Girl,6,Brianna,Makayla,Emma/Sophia,Fiona
2009,Girl,7,Melanie,Aaliyah,Chana/Chaya/ Isabella,Jessica
2009,Girl,8,Samantha,London,Ava,Vivian
2009,Girl,9,Genesis,Arianna/Brianna,Julia,Isabella
2009,Girl,10,Kayla,Destiny,Emily,Nicole
2009,Boy,1,Jayden,Jayden,Michael,Ryan
2009,Boy,2,Justin,Joshua,David,Ethan
2009,Boy,3,Angel,Elijah,Daniel,Eric
2009,Boy,4,Christopher,Justin,Joseph,Daniel
2009,Boy,5,Matthew,Michael,Jacob,Kevin
2009,Boy,6,Alexander,Jeremiah,Moshe,Justin
2009,Boy,7,Anthony,Ethan,Jack,Jayden
2009,Boy,8,Daniel,Christian,Benjamin,Lucas
2009,Boy,9,Ethan,Daniel,Samuel,Jason/Vincent
2009,Boy,10,David,Josiah,James/Matthew,Matthew
2010,Girl,1,Isabella,Madison,Esther,Sophia
2010,Girl,2,Mia,Kayla,Olivia,Chloe
2010,Girl,3,Emily,Nevaeh,Leah,Emily
2010,Girl,4,Sophia,London,Sophia,Olivia
2010,Girl,5,Ashley,Makayla,Emma,Isabella
2010,Girl,6,Camila,Jada,Rachel,Fiona
2010,Girl,7,Madison,Taylor,Isabella,Sarah
2010,Girl,8,Brianna,Chloe,Sarah,Angelina
2010,Girl,9,Gabriella,Brianna,Chana,Angela
2010,Girl,10,Samantha,Gabrielle,Ava/Chaya,Jasmine
2010,Boy,1,Jayden,Jayden,Joseph,Ethan
2010,Boy,2,Justin,Joshua,David,Ryan
2010,Boy,3,Angel,Elijah,Jacob,Justin
2010,Boy,4,Jacob,Jeremiah,Michael,Eric
2010,Boy,5,Christopher,Ethan,Daniel,Lucas
2010,Boy,6,Alexander,Aiden,Moshe,Kevin
2010,Boy,7,Daniel,Justin,Benjamin,Jason
2010,Boy,8,Ethan,Michael,Matthew,Daniel
2010,Boy,9,Anthony,Christian,Alexander,Jayden
2010,Boy,10,Brandon/Joshua,Tyler,Jack/Samuel,Matthew
