YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
200907,Non Medical Emergencies,Manhattan,4446,4:51
200907,Structural Fires,Citywide,1947,3:54
200907,Structural Fires,Manhattan,435,4:00
200907,Structural Fires,Bronx,432,3:59
200907,Structural Fires,Staten Island,90,4:34
200907,Structural Fires,Brooklyn,652,3:29
200907,Structural Fires,Queens,338,4:17
200907,Non Structural Fires,Citywide,1495,4:19
200907,Non Structural Fires,Manhattan,349,4:16
200907,Non Structural Fires,Bronx,296,4:32
200907,Non Structural Fires,Staten Island,103,4:38
200907,Non Structural Fires,Brooklyn,438,3:59
200907,Non Structural Fires,Queens,309,4:31
200907,Medical Emergencies,Citywide,18606,4:12
200907,Medical Emergencies,Manhattan,4895,4:17
200907,Medical Emergencies,Bronx,3429,4:17
200907,Medical Emergencies,Staten Island,933,4:19
200907,Medical Emergencies,Brooklyn,5344,3:51
200907,Medical Emergencies,Queens,4005,4:30
200907,Non Medical Emergencies,Citywide,15739,4:50
200907,Non Medical Emergencies,Bronx,3150,5:04
200907,Non Medical Emergencies,Staten Island,877,5:24
200907,Non Medical Emergencies,Brooklyn,4395,4:20
200907,Non Medical Emergencies,Queens,2871,5:11
200907,False Alarm,Citywide,2655,4:07
200907,False Alarm,Manhattan,474,4:07
200907,False Alarm,Bronx,755,4:26
200907,False Alarm,Staten Island,192,3:49
200907,False Alarm,Brooklyn,565,3:42
200907,False Alarm,Queens,669,4:11
200907,Medical False Alarm,Citywide,408,4:13
200907,Medical False Alarm,Manhattan,110,4:18
200907,Medical False Alarm,Bronx,75,4:00
200907,Medical False Alarm,Staten Island,10,4:10
200907,Medical False Alarm,Brooklyn,111,3:50
200907,Medical False Alarm,Queens,102,4:42
200907,All Fire/Emergency Incidents,Citywide,40850,4:27
200907,All Fire/Emergency Incidents,Manhattan,10709,4:32
200907,All Fire/Emergency Incidents,Bronx,8137,4:37
200907,All Fire/Emergency Incidents,Staten Island,2205,4:45
200907,All Fire/Emergency Incidents,Brooklyn,11505,4:01
200907,All Fire/Emergency Incidents,Queens,8294,4:43
200908,All Fire/Emergency Incidents,Brooklyn,11749,4:01
200908,Structural Fires,Citywide,1933,3:58
200908,Structural Fires,Manhattan,439,4:04
200908,Structural Fires,Bronx,432,4:17
200908,Structural Fires,Staten Island,80,4:32
200908,Structural Fires,Brooklyn,613,3:26
200908,Structural Fires,Queens,369,4:16
