Location,Reservation Courts,Walk-on Courts,First Reservation,Last Reservation
"Alley Pond Park, Queens",4,16,8-May,9-Oct
"Bensonhurst Park, Brooklyn",2,8,1-May,8-Oct
"Central Park, Manhattan",4,26,7-Apr,4-Nov
"Cunningham Park, Queens",4,20,1-May,9-Oct
"East River Park, Manhattan",3,12,7-Apr,30-Sep
"Flushing Meadows Corona Park, Queens",4,11,15-Apr,30-Oct
"McCarren Park, Brooklyn",2,7,7-Apr,28-Oct
"Mill Pond Park, Bronx",3,12,1-May,8-Oct
"Prospect Park, Brooklyn",3,11,19-May,7-Oct
"Randall's Island Park, Manhattan",2,10,1-May,7-Oct
"Riverside Park (119th), Manhattan",2,10,11-Apr,15-Oct
"Riverside Park (96th), Manhattan",2,10,7-Apr,17-Nov
