NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,2,$475000.00,$488000.00,$488000.00,$501000.00
AIRPORT LA GUARDIA       ,03 THREE FAMILY HOMES                      ,1,$825000.00,$825000.00,$825000.00,$825000.00
ARVERNE                  ,01 ONE FAMILY HOMES                        ,93,$150000.00,$316933.00,$335629.00,$600000.00
ARVERNE                  ,02 TWO FAMILY HOMES                        ,218,$155000.00,$472534.00,$484500.00,$700000.00
ARVERNE                  ,03 THREE FAMILY HOMES                      ,24,$355000.00,$511327.00,$514000.00,$690000.00
ASTORIA                  ,01 ONE FAMILY HOMES                        ,80,$260000.00,$598629.00,$567500.00,$1375000.00
ASTORIA                  ,02 TWO FAMILY HOMES                        ,172,$227500.00,$750228.00,$749250.00,$1650000.00
ASTORIA                  ,03 THREE FAMILY HOMES                      ,81,$200000.00,$822494.00,$830000.00,$1300000.00
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,312,$150000.00,$692745.00,$652500.00,$2500000.00
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,136,$194321.00,$772739.00,$770000.00,$1602000.00
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,21,$160000.00,$772780.00,$850000.00,$1058000.00
BEECHHURST               ,01 ONE FAMILY HOMES                        ,38,$304435.00,$882255.00,$888000.00,$1832850.00
BEECHHURST               ,02 TWO FAMILY HOMES                        ,2,$760000.00,$888800.00,$888800.00,$1017600.00
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,27,$305000.00,$970241.00,$800000.00,$3400000.00
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,27,$550000.00,$840322.00,$829000.00,$1400500.00
BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,2,$680000.00,$765000.00,$765000.00,$850000.00
BELLEROSE                ,01 ONE FAMILY HOMES                        ,139,$345000.00,$537205.00,$535000.00,$850000.00
BELLEROSE                ,02 TWO FAMILY HOMES                        ,33,$397500.00,$603041.00,$580000.00,$900000.00
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,19,$400500.00,$661709.00,$600000.00,$1908000.00
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,11,$565873.00,$700219.00,$683000.00,$860000.00
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,6,$625000.00,$722667.00,$752500.00,$800000.00
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,17,$182396.00,$330988.00,$301000.00,$595000.00
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,1,$560000.00,$560000.00,$560000.00,$560000.00
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,155,$155000.00,$438167.00,$449000.00,$629000.00
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,18,$343000.00,$503572.00,$515000.00,$600000.00
COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,96,$150000.00,$539937.00,$532500.00,$900000.00
COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,157,$300000.00,$722584.00,$680000.00,$9000000.00
COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,24,$300000.00,$696921.00,$713750.00,$990000.00
CORONA                   ,01 ONE FAMILY HOMES                        ,74,$350000.00,$567451.00,$543500.00,$1090000.00
CORONA                   ,02 TWO FAMILY HOMES                        ,235,$151413.00,$733525.00,$737000.00,$2930000.00
CORONA                   ,03 THREE FAMILY HOMES                      ,160,$150000.00,$810687.00,$850000.00,$1175000.00
DOUGLASTON               ,01 ONE FAMILY HOMES                        ,58,$240000.00,$966871.00,$812500.00,$2600000.00
DOUGLASTON               ,02 TWO FAMILY HOMES                        ,13,$616875.00,$817357.00,$790000.00,$950000.00
DOUGLASTON               ,03 THREE FAMILY HOMES                      ,1,$290000.00,$290000.00,$290000.00,$290000.00
EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,87,$204000.00,$566347.00,$557940.00,$1200000.00
EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,149,$191000.00,$712921.00,$735000.00,$985000.00
EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,40,$350500.00,$809066.00,$820000.00,$1100000.00
ELMHURST                 ,01 ONE FAMILY HOMES                        ,136,$225000.00,$578064.00,$557500.00,$1189900.00
ELMHURST                 ,02 TWO FAMILY HOMES                        ,145,$212666.00,$686810.00,$690000.00,$1150000.00
ELMHURST                 ,03 THREE FAMILY HOMES                      ,109,$150000.00,$821934.00,$840000.00,$1325000.00
FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        ,128,$182500.00,$478014.00,$440000.00,$1210000.00
FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        ,209,$170000.00,$508832.00,$525000.00,$795000.00
FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      ,71,$317500.00,$626345.00,$650000.00,$930000.00
FLORAL PARK              ,01 ONE FAMILY HOMES                        ,132,$375000.00,$559340.00,$546500.00,$885000.00
FLORAL PARK              ,02 TWO FAMILY HOMES                        ,5,$475000.00,$607500.00,$630000.00,$700000.00
FLORAL PARK              ,03 THREE FAMILY HOMES                      ,1,$275000.00,$275000.00,$275000.00,$275000.00
FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        ,564,$170000.00,$660272.00,$625000.00,$3580000.00
FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,296,$177000.00,$737016.00,$742830.00,$1480000.00
FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,61,$189494.00,$810007.00,$835000.00,$1221900.00
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,232,$178050.00,$604336.00,$560000.00,$2100000.00
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,69,$338000.00,$691274.00,$685000.00,$1200000.00
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,11,$325000.00,$761547.00,$760000.00,$987020.00
FOREST HILLS             ,01 ONE FAMILY HOMES                        ,153,$184824.00,$902347.00,$730000.00,$3400000.00
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,20,$300000.00,$747495.00,$714500.00,$1600000.00
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,2,$845000.00,$847500.00,$847500.00,$850000.00
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,83,$345000.00,$671335.00,$678000.00,$1235000.00
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,24,$300000.00,$723146.00,$699000.00,$1055000.00
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,21,$285000.00,$525729.00,$525000.00,$699300.00
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,7,$305000.00,$679853.00,$629000.00,$1050000.00
GLENDALE                 ,01 ONE FAMILY HOMES                        ,81,$200000.00,$505505.00,$495000.00,$929000.00
GLENDALE                 ,02 TWO FAMILY HOMES                        ,149,$180000.00,$588604.00,$592250.00,$992793.00
GLENDALE                 ,03 THREE FAMILY HOMES                      ,20,$360000.00,$736871.00,$750000.00,$934500.00
HAMMELS                  ,01 ONE FAMILY HOMES                        ,18,$175000.00,$308040.00,$280000.00,$503500.00
HAMMELS                  ,02 TWO FAMILY HOMES                        ,40,$202000.00,$516672.00,$515133.00,$925000.00
HAMMELS                  ,03 THREE FAMILY HOMES                      ,22,$431333.00,$629252.00,$664000.00,$780000.00
HILLCREST                ,01 ONE FAMILY HOMES                        ,27,$325000.00,$605800.00,$593000.00,$1060900.00
HILLCREST                ,02 TWO FAMILY HOMES                        ,6,$500000.00,$577833.00,$570000.00,$675000.00
HOLLIS                   ,01 ONE FAMILY HOMES                        ,337,$150000.00,$443549.00,$445000.00,$1170000.00
HOLLIS                   ,02 TWO FAMILY HOMES                        ,136,$150000.00,$547778.00,$571200.00,$800000.00
HOLLIS                   ,03 THREE FAMILY HOMES                      ,19,$605000.00,$790081.00,$810000.00,$970000.00
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,35,$555000.00,$731771.00,$708000.00,$907250.00
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,36,$380000.00,$820889.00,$762500.00,$1575000.00
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,2,$710000.00,$850000.00,$850000.00,$990000.00
HOLLISWOOD               ,03 THREE FAMILY HOMES                      ,2,$700000.00,$755000.00,$755000.00,$810000.00
