Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1
120 W 45th St,Tower 45,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,40,,,N,,0.3558,443956,11098,9,,86.46,62.05,Direct - Plus Electric,,84578,37376,60125,26626,26626,13313,121954,"Atrium, Commuter Rail, Concierge, Courtyard, On Site Management, Property Manager on Site, Restaurant",C6-5.5,,,"2010 Tax @ $12.22/sf, 2011 Est Tax @ $12.22/sf; 2011 Ops @ $17.30/sf, 2010 Est Ops @ $17.57/sf","2010 Tax @ $12.22/sf, 2011 Est Tax @ $12.22/sf; 2011 Ops @ $17.30/sf, 2010 Est Ops @ $17.57/sf","120 45th St
New York, NY 10036
(40.757269695813804, -73.98400302159699)"
155 W 46th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1927,,7,,,N,,0.0459,12600,1800,1,,100,28,Direct - Plus Electric,,1800,0,0,0,1800,1800,1800,,C6-7T,,,,,"155 46th St
New York, NY 10036
(40.758257159927325, -73.9843070160967)"
1560 Broadway,Actor's Equity Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1924,,17,,,N,,0.2479,212500,15000,7,,98.64,35.36,Direct - Plus Electric,,7406,5000,2894,0,5000,5000,12406,"Corner Lot, On Site Management, Property Manager on Site, Restaurant",C6-7T,,,"2011 Tax @ $6.69/sf; 2011 Ops @ $19.40/sf, 2010 Est Ops @ $17.95/sf","2011 Tax @ $6.69/sf; 2011 Ops @ $19.40/sf, 2010 Est Ops @ $17.95/sf","1560 Broadway
New York, NY 10036
(40.75900327160855, -73.98519067014539)"
729 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1915,1984,18,29000000,06/30/2001,N,,0.2479,163400,10800,6,,87.82,45.38,Direct - Plus Electric,,32347,1400,19907,0,10990,10800,33747,"24/7 Building Access, Concierge","C6-7.5,New York,(R0)",,,,,"729 Seventh Ave
New York, NY 10036
(40.75981723342805, -73.9841623585609)"
810 Seventh Ave,,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1970,,41,147712500,12/30/1993,N,,0.564,748023,16444,13,,92.37,64.900000000000006,Direct - Plus Electric,,96834,0,57077,0,22437,22437,96834,"Atrium, Concierge, Conferencing Facility, Food Service, Metro/Subway, Property Manager on Site, Restaurant","C6-7, New York",,0.46,"2010 Tax @ $10.56/sf, 2011 Est Tax @ $10.45/sf; 2001 Ops @ $15.23/sf, 2011 Est Ops @ $18.50/sf","2010 Tax @ $10.56/sf, 2011 Est Tax @ $10.45/sf; 2001 Ops @ $15.23/sf, 2011 Est Ops @ $18.50/sf","810 Seventh Ave
New York, NY 10036
(40.759842914885056, -73.9842263035319)"
130 W 42nd St,Bush Tower,,Penn Plaza/Garment,Midtown,Manhattan,Office,B,Existing,1917,,30,,,N,,0.2261,226500,7004,9,,96.91,Negotiable,Direct - Plus Electric,,13000,0,7000,0,6000,6000,13000,"24/7 Building Access, Bus Line, Concierge, Metro/Subway, On Site Management, Property Manager on Site",C6-7,,,"2010 Tax @ $6.01/sf, 2011 Est Tax @ $0.52/sf; 2011 Ops @ $1.09/sf, 2010 Est Ops @ $15.59/sf","2010 Tax @ $6.01/sf, 2011 Est Tax @ $0.52/sf; 2011 Ops @ $1.09/sf, 2010 Est Ops @ $15.59/sf","130 42nd St
New York, NY 10036
(40.755370336213275, -73.98535022965069)"
1515 Broadway,One Astor Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1972,,54,544500000,04/27/2007,N,,1.5014,1750000,32407,32,,100,Negotiable,Direct - Plus Electric,,0,4000,0,0,2000,2000,4000,"24/7 Building Access, Bus Line, Metro/Subway, On Site Management, Property Manager on Site","C6, New York",,0.12,"2010 Tax @ $11.64/sf, 2011 Est Tax @ $11.42/sf; 2001 Ops @ $19.45/sf, 2011 Est Ops @ $12.75/sf","2010 Tax @ $11.64/sf, 2011 Est Tax @ $11.42/sf; 2001 Ops @ $19.45/sf, 2011 Est Ops @ $12.75/sf","1515 Broadway
New York, NY 10036
(40.75729656648954, -73.98573468333922)"
825 Eighth Ave,Worldwide Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,47,605000000,07/21/2005,N,,1.3774,1900000,60000,27,,99.91,Negotiable,,,72362,33116,1685,33116,68288,34144,105478,"Banking, Concierge, Corner Lot, Energy Star Labeled, Fitness Center, Food Court, Metro/Subway, On Site Management, Property Manager on Site, Restaurant","C62, New York",,0.3,"2010 Tax @ $12.23/sf, 2011 Est Tax @ $12.22/sf; 2001 Ops @ $12.11/sf, 2011 Est Ops @ $11.18/sf","2010 Tax @ $12.23/sf, 2011 Est Tax @ $12.22/sf; 2001 Ops @ $12.11/sf, 2011 Est Ops @ $11.18/sf","825 Eighth Ave
New York, NY 10036
(40.7610388035879, -73.98707738246674)"
711 7th Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1925,,2,,,N,,0.1377,7381,3691,0,,100,-,,,,,,,,,,,C6-7T,,,2009 Tax @ $55.68/sf,2009 Tax @ $55.68/sf,"711 7th Ave
New York, NY 10036
(40.75962412941186, -73.98433399575754)"
719 7th Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1927,,3,,,N,,0.0453,4998,1666,0,,100,-,,,,,,,,,,,C6-7T,,,2009 Tax @ $65.22/sf,2009 Tax @ $65.22/sf,"719 7th Ave
New York, NY 10036
(40.75975902771626, -73.98424406355463)"
