Application Number,Orgname,FY10 Programs $
FY10-AN-001701,13 Playwrights,$4850.00
FY10-AN-002645,3 Graces Theater Company,$4850.00
FY10-MY-002902,3 Legged Dog,$24255.00
FY10-AN-002501,42nd Street Workshop,$4850.00
FY10-MY-002163,"52nd Street Project, Inc.",$56005.00
FY10-RN-003901,"7 Loaves, Inc.",$14280.00
FY10-MY-001062,"826NYC, Inc.",$14550.00
FY10-AN-001991,"A Better Jamaica, Inc.",$9700.00
FY10-AN-000343,A Gathering of the Tribes,$3000.00
FY10-AN-001995,A Public Space Literary Projects Inc.,$4850.00
FY10-MY-002382,"Aaron Davis Hall, Inc.",$126260.00
FY10-AN-000123,ABC No Rio,$4850.00
FY10-RN-004024,Abingdon Theatre Company,$19100.00
FY10-RN-004682,Academy of American Poets,$14100.00
FY10-AN-002848,"Action Arts League, Inc.",$4850.00
FY10-RN-004687,Actors' Fund of America,$14100.00
FY10-AN-003321,African Diaspora Film Festival,$14550.00
FY10-AN-002982,"African Film Festival, Inc.",$4850.00
FY10-AN-000103,"African Voices Communications, Inc.",$14700.00
FY10-MY-002297,"Afrikan Poetry Theatre, Inc.",$70862.00
FY10-AN-000141,Afro Brazil Arts,$4850.00
FY10-MY-002188,"Alianza Dominicana, Inc.",$14550.00
FY10-AN-001545,"All Out Arts, Inc.",$13850.00
FY10-RN-003502,"Alley Pond Environmental Center, Inc.",$100210.00
FY10-MY-001101,"Alliance for Downtown New York, Inc.",$97010.00
FY10-MY-000961,"Alliance for the Arts, Inc.",$172765.00
FY10-RN-004564,"Alliance of Resident Theatres / New York, Inc.",$179530.00
FY10-AN-002984,"Alpha Omega 1-7 Theatrical Dance Company, Inc.",$7275.00
FY10-MY-000405,"Alpha Workshops, Inc.",$27755.00
FY10-MY-000383,"Alvin Ailey Dance Foundation, Inc.",$158515.00
FY10-AN-003166,Alwan Foundation,$9700.00
FY10-MY-001163,"Amas Musical Theatre, Inc.",$33955.00
FY10-MY-002919,American Ballroom Theater,$14550.00
FY10-AN-000761,"American Bolero Dance Company, Inc.",$4850.00
FY10-MY-002317,American Composers Orchestra,$48505.00
FY10-MY-001223,American Documentary,$24255.00
FY10-MY-002326,American Folk Art Museum,$197015.00
FY10-AN-001024,American Friends of the Ludwig Foundation of Cuba,$7275.00
FY10-AN-001730,"American Globe Theatre, Ltd.",$9700.00
FY10-AN-001464,"American Indian Artists, Inc.",$12125.00
FY10-MY-003246,"American Indian Community House, Inc.",$7275.00
FY10-AN-002761,"American Lyric Theater Center, Inc.",$9700.00
FY10-AN-000541,American Modern Ensemble Inc.,$4850.00
FY10-RN-004281,"American Music Center, Inc.",$75210.00
FY10-RN-003690,"American Opera Projects, Inc.",$14100.00
FY10-RN-004801,"American Place Theatre, Inc.",$17600.00
FY10-MY-001126,American Symphony Orchestra League,$14550.00
FY10-RN-004642,"American Symphony Orchestra, Inc.",$32910.00
FY10-MY-001342,"American Tap Dance Foundation, Inc.",$24255.00
FY10-RN-004563,"Americas Society, Inc.",$23510.00
FY10-MY-000413,"An Claidheamh Soluis, Inc.",$34255.00
FY10-AN-001987,"Annabella Gonzalez Dance Theater, Inc.",$7275.00
FY10-MY-001744,"Anne Frank Center USA, Inc.",$14550.00
FY10-MY-001241,"Anthology Film Archives, Inc.",$27755.00
FY10-AN-003241,"Anti-Social Music, Inc.",$4850.00
FY10-RN-004644,"Aperture Foundation, Inc.",$14100.00
FY10-RN-003621,ApexArt Curatorial Program,$14100.00
FY10-MY-001984,"Apollo Theater Foundation, Inc.",$18272.00
FY10-MY-001762,"Aquila Theatre Company, Inc.",$14550.00
FY10-MY-001502,Architectural League of New York,$24255.00
FY10-MY-002861,Armitage Foundation Ltd.,$24255.00
FY10-MY-001406,"Ars Nova Theater I, Inc",$14550.00
FY10-MY-002763,Art Education for the Blind,$14550.00
FY10-AN-003423,"Art for Change, Inc.",$14850.00
FY10-MY-000682,"Art in General, Inc.",$14550.00
FY10-RN-003612,"Art Lab, Inc.",$23510.00
FY10-AN-002061,"Art of the Early Keyboard, Inc.",$4850.00
FY10-AN-002782,"Art Radio International, Inc.",$4850.00
FY10-MY-002803,Art Students League of New York,$14550.00
FY10-MY-001324,"ArteEast, Inc.",$14550.00
FY10-AN-002467,"Arthur Aviles Typical Theatre, Inc.",$43955.00
FY10-AN-002969,"Artists Alliance, Inc.",$14550.00
FY10-AN-001822,"Artists in Residence, Inc.",$7275.00
FY10-MY-002226,Artists Space,$14550.00
FY10-RN-003682,"Arts & Business Council, Inc.",$27010.00
FY10-MY-002167,"Arts Engine, Inc.",$17550.00
FY10-RN-004905,"Arts for Art, Inc.",$14100.00
FY10-AN-001667,"Art's House Schools, Inc.",$4000.00
FY10-MY-001386,"ArtsConnection, Inc.",$218270.00
FY10-RN-004645,"Ascension Music Chorus and Orchestra, Inc.",$14100.00
FY10-AN-003088,"ASDT, Inc. - The American Spanish Dance Theatre",$12125.00
FY10-MY-000061,Asia Society,$48505.00
FY10-RN-004103,Asian American Arts Alliance,$32910.00
FY10-AN-000901,"Asian American Arts Centre, Inc.",$4850.00
FY10-MY-002945,Asian American Writers' Workshop,$14550.00
FY10-AN-002195,"Asian CineVision, Inc.",$4850.00
FY10-AN-002323,"Association of Hispanic Arts, Inc.",$4850.00
FY10-AN-003361,"Astoria Music Society, Inc.",$18050.00
