Detective Bureau,2005,2006,2007,2008,2009,Total
Manhattan Units,1%,0%,1%,2%,1%,5%
Bronx Units,6%,7%,4%,5%,0%,22%
Brooklyn Units,3%,6%,4%,4%,0%,17%
Queens Units,3%,3%,0%,0%,1%,7%
Staten Island Units,0%,1%,0%,0%,0%,1%
Central Robbery,0%,0%,0%,0%,0%,0%
Special Investigations,0%,0%,0%,1%,0%,1%
Career Criminals,0%,0%,0%,0%,0%,0%
Missing Person,0%,0%,0%,0%,0%,0%
Special Victims,0%,2%,0%,0%,0%,2%
Scientific Research,0%,0%,0%,0%,0%,0%
Crime Scene,0%,0%,0%,0%,0%,0%
Warrant Division,7%,0%,0%,0%,0%,7%
Juvenile Crime,0%,0%,0%,0%,0%,0%
Cold Cases,0%,0%,0%,0%,0%,0%
Fugitive Enforcement,0%,5%,3%,5%,0%,13%
Detective Headquarters,0%,0%,0%,0%,0%,0%
Gang Units,9%,6%,3%,2%,4%,24%
Detective Bureau Total,29%,30%,15%,19%,6%,99%
Percent of All Subject Officers Against Whom Allegations were Substantiated,9.8%,7.6%,2.7%,5.1%,1.7%,5%
