"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
2032590022,"2840 BAILEY AVENUE
Bronx, NY 10463
(40.874331271215354, -73.9048664936111)",Con Edison,BESNIK REALTY CORP.,BESNIK REALTY CORP,"754 MACE AVENUE
BRONX, NY 10467
(40.86314421709324, -73.86531286966195)",CA348086Y,7/6/05,ROCKMILLS MP 150,1,6,1986,2021, ,21 to 26 years old,I.C.I. DEG63P,#6,716160,501312,107424,75197,Yes,2019,Elevator Apartments,14,86412,1,6,87,87,1926, , 
2057800940,"3900 GREYSTONE AVENUE
Bronx, NY 10463
(40.88950389842045, -73.9044515066065)",Con Edison,TROY PITTS SPRINT,"WIENER, EDITH","855 AVE
MANHATTAN, NY 10001
(40.75025902143676, -73.99688630375988)",CA014493L,7/6/05,FEDERAL FST-150,2,6.27,1993,2028, ,16 to 20 years old,I.C.I. DEG-63 P,#6,550000,385000,82500,57750,Yes,2020,Elevator Apartments,11,134703,2,6,127,127,1928, , 
2028230001,"1650 GRAND
Bronx, NY 10457
(40.84579837129786, -73.89832418681175)",Con Edison,BRONX LEBANON HOSPITAL,BRONX-LEBANON HOSPITA,"1650 SELWYN AVE
BRONX, NY 10457
(40.84317219644427, -73.91039471761154)",CA159489X,7/6/05,CLEAVER BROOKS CB-600-600,2,25.21,1989,2024, ,21 to 26 years old,CLEAVER BROOKS CB-600-600,#6,492750,344925,73912,51739,Yes,2013,Elevator Apartments,14,480769,1,11,0,1,1941, , 
2030640001,"4422 3 AVENUE
Bronx, NY 10457
(40.854068314549714, -73.8909193391362)",Con Edison,ST BARNABAS HOSPITAL BOILER ROOM,ST BARNABAS NURSING H,"4422 3 AVENUE
N Y 10457
(40.854068314549714, -73.8909193391362)",CB078401R,#N/A,B & W  FM  10-66,1,49.5,2001,2036,DUAL FUEL,5 to 10 years old,FORNEY  WT  24,#6,482040,337428,72306,50614,Yes,2014,Loft Buildings,15,421234,4,8,0,1,1943, , 
2025060016,"1204 SHAKESPEARE AVENUE
Bronx, NY 10452
(40.83687816328317, -73.92328825468772)",Con Edison,BRAGREIS REALTY CORP.,BRAGREIS REALTY CORP,"191024 BROOKLYN
NY 11219
(40.63277295540763, -73.99667681118586)",CA352883Z,7/6/05,ROCKMILLS MP100,1,4.2,1983,2018, ,26 to 30 years old,ICI DEG42P,#6,480000,336000,72000,50400,Yes,2016,Walk-Up Apartments,16,53376,1,6,67,67,1926, , 
2025990092,"1040 149 STREET
Bronx, NY 10455
(40.80988507818436, -73.90313113478395)",Con Edison,HESS CORPORATION ,HESS CORPORATION,,CA248495R,7/4/05,ROCKMILLS MP-800,2,29.41,1995,2030,DUAL FUEL,11 to 15 years old,I.C.I. DE-300P,#6,459900,321930,68985,48290,,,Educational Structures,17,116508,4,1,0,1,1931, , 
2043470007,"2324 BOSTON ROAD
Bronx, NY 10467
(40.85993248480023, -73.8671915106287)",Con Edison,BRONX PARK EAST HOUSING CO,BRONX PARK HSNG CO IN,"2334 BOSTON ROAD
BRONX, NY 10467
(40.860060266685025, -73.86714024203658)",CA409767X,7/5/05,FEDERAL FLR 4857,1,20.3,1967,2010, ,41 - 45 years old,ACE VSGHM-165,#6,423400,296380,63510,44457,Yes,2017,Elevator Apartments,13,337570,1,21,322,322,1963, ,YES
2032510490,"40 MOSHOLU PKWY
Bronx, NY 10468
(40.88048859303581, -73.88600719916569)",Con Edison,TRACEY TOWERS,TRACEY TOWERS ASSOCS,"1619 THIRD AVENUE
MANHATTAN, NY 10128
(40.782063212447575, -73.95157124804915)",CB080107K,7/6/05,FEDERAL FST - 500 (NEW),2,16.7,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI DEG - 210 (P),#6,420042,294029,63006,44104,Yes,2021,Walk-Up Apartments,11,1074489,2,42,871,872,1975, ,YES
2040750031,"2617 HALPERIN AVENUE
Bronx, NY 10461
(40.84295972575407, -73.84444284933667)",Con Edison,JEROME SCHULMAN,MARTIN FRED EQUITY IN,"770 HULLS HIGHWAY
CONN 06890-1074
(41.148293124034694, -73.2994103382427)",CA113080R,7/5/05,ROCKMILLS MP-80,1,3.43,1980,2015,DUAL FUEL,26 to 30 years old,INDUSTRIAL COMB#MMG-34-P,#4,395491,276844,57346,40142,,,Office Buildings,13,34816,1,4,44,44,1928, , 
2028790080,"1834 PHELAN PLACE
Bronx, NY 10453
(40.853071904670976, -73.91656272399923)",Con Edison,STEPHEN ZEDAKER,GIO-GJO REALTY LLC,"1634 BABYLON
NY 11704
(40.72468126732667, -73.36544900007124)",CA024288L,7/7/05,FEDERAL FST 125,1,4.96,1988,2023,DUAL FUEL,21 to 26 years old,INDUSTRIAL COMBUSTION DEG-54P,#4,384117,268882,55697,38988,Yes,2019,Elevator Apartments,14,55700,1,5,60,60,1926, , 
