Target Geographic Area,Organization Name,Address
Bedford Stuyvesant,Good Shepherd Services,"862 Park Avenue, Brooklyn, NY 11206"
Bedford Stuyvesant,"Friends of Bedford, Inc","510 Gates Ave., Brooklyn, NY 11216"
Brownsville,Jewish Child Care Association,"1555 Linden Blvd, Brooklyn, NY11212"
East New York,Alpha School Center for Progressive Living,"2400 Linden Blvd, Brooklyn, NU 11208"
Edenwald,"Fedcap Rehabilitation Services, Inc. (partnering with Bronx Clergy Roundtable)",Site address is being finalized
Harlem,New York Mission Society,"646 Malcolm X Blvd, New York, NY 10037"
Harlem,Friends of Island Academy,"22 E 128th Street, New York, NY 10035"
Harlem,Exodus Transitional Community,"2271 Third Ave, New York, NY 10035"
Harlem,Harlem Commonwealth Council Inc,"361 West 125th Street, New York, NY 10027"
Highbridge,"BronxWorks, Inc","1130 Grand Concourse, Bronx, NY 10456"
Grand Concourse & University Heights,"BronxWorks, Inc","1130 Grand Concourse, Bronx, NY 10456"
Highbridge,The Children's Village,"400 East Fordham Road, Bronx, NY 10458"
Grand Concourse & University Heights,The Children's Village,"400 East Fordham Road, Bronx, NY 10458"
Soundview,Phipps Community Development Corporation,"1680 Seward Avenue, Bronx, NY 10473"
South Jamaica,Safe Space NYC Inc,"89-74 162nd Street, 3rd Fl., Jamaica, NY 11432"
South Jamaica,"Community Mediation Services, Inc","89-64 163rd Street, Jamaica, NY 11432"
South Bronx,"Federation Employment & Guidance Services, Inc","412-424 E 147th Street, Bronx, NY 10455"
South Bronx,The Osborne Association,"809 Westchester Avenue, Bronx, NY 10455"
South Bronx,"Health People, Inc","552 Southern Blvd, 2nd Fl., Bronx, NY 10455"
South Bronx,Bronx Clergy Criminal Justice Roundtable,"1175 Boston Road, Bronx, NY 10456"
St. George,New York Center for Interpersonal Development,"130 Stuyvesant Place - 4th Floor, Staten Island, NY 10301"
Port Richmond,New York Center for Interpersonal Development,"130 Stuyvesant Place - 4th Floor, Staten Island, NY 10301"
