Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
2001,4 Year  June,Not Student with Disability,"64,593","32,863",50.90%,"21,941",34.00%,66.80%,"9,211",14.30%,28.00%,"12,730",19.70%,38.70%,"10,937",16.90%,33.30%,"18,305",28.30%,"13,062",20.20%
2001,5 Year,Not Student with Disability,"64,593","39,364",60.90%,"23,647",36.60%,60.10%,"9,411",14.60%,23.90%,"14,236",22.00%,36.20%,"15,777",24.40%,40.10%,"7,386",11.40%,"17,426",27.00%
2001,6 Year,Not Student with Disability,"64,593","41,293",63.90%,"24,053",37.20%,58.20%,"9,433",14.60%,22.80%,"14,620",22.60%,35.40%,"17,392",26.90%,42.10%,"3,287",5.10%,"19,482",30.20%
2002,4 Year  June,Not Student with Disability,"67,537","35,265",52.20%,"24,798",36.70%,70.30%,"9,400",13.90%,26.70%,"15,398",22.80%,43.70%,"10,501",15.50%,29.80%,"18,972",28.10%,"11,832",17.50%
2002,5 Year,Not Student with Disability,"67,537","42,249",62.60%,"27,152",40.20%,64.30%,"9,708",14.40%,23.00%,"17,444",25.80%,41.30%,"15,360",22.70%,36.40%,"7,313",10.80%,"16,253",24.10%
2002,6 Year,Not Student with Disability,"67,537","44,169",65.40%,"27,589",40.90%,62.50%,"9,731",14.40%,22.00%,"17,858",26.40%,40.40%,"16,843",24.90%,38.10%,"4,045",6.00%,"17,572",26.00%
2003,4 Year  June,Not Student with Disability,"64,766","37,324",57.60%,"27,046",41.80%,72.50%,"11,284",17.40%,30.20%,"15,762",24.30%,42.20%,"10,278",15.90%,27.50%,"16,946",26.20%,"9,614",14.80%
2003,5 Year,Not Student with Disability,"64,766","43,826",67.70%,"29,392",45.40%,67.10%,"11,520",17.80%,26.30%,"17,872",27.60%,40.80%,"14,434",22.30%,32.90%,"6,880",10.60%,"13,058",20.20%
2003,6 Year,Not Student with Disability,"65,187","45,871",70.40%,"29,957",46.00%,65.30%,"11,533",17.70%,25.10%,"18,424",28.30%,40.20%,"15,914",24.40%,34.70%,"3,324",5.10%,"14,361",22.00%
2004,4 Year  June,Not Student with Disability,"64,874","40,021",61.70%,"29,933",46.10%,74.80%,"12,481",19.20%,31.20%,"17,452",26.90%,43.60%,"10,088",15.60%,25.20%,"16,642",25.70%,"7,942",12.20%
2004,4 Year August,Not Student with Disability,"64,874","42,947",66.20%,"31,206",48.10%,72.70%, n/a , n/a , n/a , n/a , n/a , n/a ,"11,747",18.10%,27.40%,"13,717",21.10%,"7,941",12.20%
2004,5 Year,Not Student with Disability,"65,807","46,928",71.30%,"32,715",49.70%,69.70%,"12,728",19.30%,27.10%,"19,987",30.40%,42.60%,"14,213",21.60%,30.30%,"5,733",8.70%,"11,057",16.80%
2004,6 Year,Not Student with Disability,"66,005","49,050",74.30%,"33,371",50.60%,68.00%,"12,737",19.30%,26.00%,"20,634",31.30%,42.10%,"15,679",23.80%,32.00%,"3,468",5.30%,"12,318",18.70%
2005,4 Year  June,Not Student with Disability,"66,625","42,954",64.50%,"33,530",50.30%,78.10%,"12,399",18.60%,28.90%,"21,131",31.70%,49.20%,"9,422",14.10%,21.90%,"15,131",22.70%,"6,903",10.40%
2005,4 Year August,Not Student with Disability,"66,625","45,634",68.50%,"34,725",52.10%,76.10%,"12,503",18.80%,27.40%,"22,222",33.40%,48.70%,"10,908",16.40%,23.90%,"12,452",18.70%,"6,901",10.40%
2005,5 Year,Not Student with Disability,"67,538","49,532",73.30%,"36,498",54.00%,73.70%,"12,661",18.70%,25.60%,"23,837",35.30%,48.10%,"13,034",19.30%,26.30%,"5,061",7.50%,"11,158",16.50%
2005,6 Year,Not Student with Disability,"67,582","51,536",76.30%,"37,169",55.00%,72.10%,"12,670",18.70%,24.60%,"24,499",36.30%,47.50%,"14,367",21.30%,27.90%,"2,528",3.70%,"11,834",17.50%
2006,4 Year  June,Not Student with Disability,"66,979","44,619",66.60%,"37,300",55.70%,83.60%,"12,757",19.00%,28.60%,"24,543",36.60%,55.00%,"7,319",10.90%,16.40%,"13,894",20.70%,"7,120",10.60%
2006,4 Year August,Not Student with Disability,"66,979","47,516",70.90%,"38,824",58.00%,81.70%,"12,869",19.20%,27.10%,"25,955",38.80%,54.60%,"8,692",13.00%,18.30%,"11,048",16.50%,"7,070",10.60%
2006,5 Year  June,Not Student with Disability,"66,955","50,937",76.10%,"40,507",60.50%,79.50%,"12,942",19.30%,25.40%,"27,565",41.20%,54.10%,"10,430",15.60%,20.50%,"3,700",5.50%,"10,939",16.30%
2006,5 Year August,Not Student with Disability,"66,955","51,605",77.10%,"40,770",60.90%,79.00%,"12,942",19.30%,25.10%,"27,828",41.60%,53.90%,"10,835",16.20%,21.00%,"3,208",4.80%,"10,737",16.00%
2007,4 Year  June,Not Student with Disability,"67,469","45,110",66.90%,"40,618",60.20%,90.00%,"12,845",19.00%,28.50%,"27,773",41.20%,61.60%,"4,492",6.70%,10.00%,"14,096",20.90%,"7,229",10.70%
2007,4 Year August,Not Student with Disability,"67,469","48,351",71.70%,"42,623",63.20%,88.20%,"12,962",19.20%,26.80%,"29,661",44.00%,61.30%,"5,728",8.50%,11.80%,"10,920",16.20%,"7,136",10.60%
2001,4 Year  June,Student with Disability,"9,550","1,640",17.10%,256,3.00%,15.60%,38,0.40%,2.30%,218,2.30%,13.30%,"1,396",14.60%,85.10%,"2,789",29.20%,"3,275",34.30%
2001,5 Year,Student with Disability,"9,550","1,953",20.50%,278,2.90%,14.20%,38,0.40%,1.90%,240,2.50%,12.30%,"1,688",17.70%,86.40%,949,9.90%,"3,956",41.40%
2001,6 Year,Student with Disability,"9,550","2,058",21.50%,285,3.00%,13.80%,40,0.40%,1.90%,245,2.60%,11.90%,"1,788",18.70%,86.90%,609,6.40%,"4,056",42.50%
2002,4 Year  June,Student with Disability,"6,974","1,287",18.50%,300,4.30%,23.30%,35,0.50%,2.70%,265,3.80%,20.60%,988,14.20%,76.80%,"2,749",39.40%,"1,926",27.60%
2002,5 Year,Student with Disability,"6,974","1,586",22.70%,326,4.70%,20.60%,37,0.50%,2.30%,289,4.10%,18.20%,"1,265",18.10%,79.80%,"1,614",23.10%,"2,181",31.30%
2002,6 Year,Student with Disability,"6,974","1,898",27.20%,348,5.00%,18.30%,37,0.50%,1.90%,311,4.50%,16.40%,"1,555",22.30%,81.90%,684,9.80%,"2,568",36.80%
2003,4 Year  June,Student with Disability,"9,122","1,666",18.30%,399,4.40%,23.90%,72,0.80%,4.30%,327,3.60%,19.60%,"1,267",13.90%,76.10%,"4,407",48.30%,"2,090",22.90%
2003,5 Year,Student with Disability,"9,122","2,439",26.70%,495,5.40%,20.30%,74,0.80%,3.00%,421,4.60%,17.30%,"1,944",21.30%,79.70%,"1,640",18.00%,"3,037",33.30%
2003,6 Year,Student with Disability,"8,840","2,715",30.70%,526,6.00%,19.40%,74,0.80%,2.70%,452,5.10%,16.60%,"2,189",24.80%,80.60%,796,9.00%,"3,156",35.70%
2004,4 Year  June,Student with Disability,"10,135","2,292",22.50%,719,7.00%,31.40%,111,1.10%,4.80%,608,6.00%,26.50%,"1,573",15.50%,68.60%,"4,202",41.50%,"2,185",21.60%
2004,4 Year August,Student with Disability,"10,135","2,543",25.10%,770,7.60%,30.30%, n/a , n/a , n/a , n/a , n/a , n/a ,"1,775",17.50%,69.80%,"3,952",39.00%,"2,185",21.60%
2004,5 Year,Student with Disability,"9,818","3,031",30.90%,824,8.40%,27.20%,113,1.20%,3.70%,711,7.20%,23.50%,"2,207",22.50%,72.80%,"1,632",16.60%,"2,729",27.80%
2004,6 Year,Student with Disability,"9,656","3,329",34.50%,860,8.90%,25.80%,113,1.20%,3.40%,747,7.70%,22.40%,"2,469",25.60%,74.20%,"1,000",10.40%,"2,988",30.90%
2005,4 Year  June,Student with Disability,"10,754","2,661",24.70%,959,8.90%,36.00%,113,1.10%,4.20%,846,7.90%,31.80%,"1,703",15.80%,64.00%,"4,212",39.20%,"2,254",21.00%
2005,4 Year August,Student with Disability,"10,754","2,865",26.60%,993,9.20%,34.70%,114,1.10%,4.00%,879,8.20%,30.70%,"1,872",17.40%,65.30%,"4,012",37.30%,"2,254",21.00%
2005,5 Year,Student with Disability,"10,609","3,456",32.60%,"1,113",10.50%,32.20%,113,1.10%,3.30%,"1,000",9.40%,28.90%,"2,343",22.10%,67.80%,"1,605",15.10%,"3,101",29.20%
2005,6 Year,Student with Disability,"10,412","3,741",35.90%,"1,143",11.00%,30.60%,113,1.10%,3.00%,"1,030",9.90%,27.50%,"2,598",25.00%,69.40%,897,8.60%,"3,256",31.30%
2006,4 Year  June,Student with Disability,"11,367","3,167",27.90%,"1,270",11.20%,40.10%,128,1.10%,4.00%,"1,142",10.00%,36.10%,"1,897",16.70%,59.90%,"4,243",37.30%,"2,377",20.90%
2006,4 Year August,Student with Disability,"11,367","3,490",30.70%,"1,327",11.70%,38.00%,132,1.20%,3.80%,"1,195",10.50%,34.20%,"2,163",19.00%,62.00%,"3,927",34.50%,"2,370",20.80%
2006,5 Year  June,Student with Disability,"12,201","3,999",32.80%,"1,411",11.60%,35.30%,133,1.10%,3.30%,"1,278",10.50%,32.00%,"2,588",21.20%,64.70%,"2,528",20.70%,"3,163",25.90%
2006,5 Year August,Student with Disability,"12,201","4,103",33.60%,"1,419",11.60%,34.60%,133,1.10%,3.20%,"1,286",10.50%,31.30%,"2,684",22.00%,65.40%,"2,442",20.00%,"3,139",25.70%
2007,4 Year  June,Student with Disability,"12,007","3,270",27.20%,"1,488",12.40%,45.50%,113,0.90%,3.50%,"1,375",11.50%,42.00%,"1,782",14.80%,54.50%,"4,864",40.50%,"2,511",20.90%
2007,4 Year August,Student with Disability,"12,007","3,718",31.00%,"1,593",13.30%,42.80%,115,1.00%,3.10%,"1,478",12.30%,39.80%,"2,125",17.70%,57.20%,"4,483",37.30%,"2,495",20.80%
