Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,All Students,16445,663,2062,12.5,3257,19.8,8618,52.4,2508,15.3,11126,67.7
BRONX,3,2007,All Students,16189,674,1245,7.7,2640,16.3,8996,55.6,3308,20.4,12304,76
BRONX,3,2008,All Students,15636,677,670,4.3,2061,13.2,10447,66.8,2458,15.7,12905,82.5
BRONX,3,2009,All Students,15809,681,258,1.6,1566,9.9,11295,71.4,2690,17,13985,88.5
BRONX,3,2010,All Students,15866,683,2638,16.6,6337,39.9,4629,29.2,2262,14.3,6891,43.4
BRONX,3,2011,All Students,15820,679,2566,16.2,6628,41.9,5753,36.4,873,5.5,6626,41.9
BRONX,3,2012,All Students,16063,680,2691,16.8,6433,40,5971,37.2,968,6,6939,43.2
BRONX,4,2006,All Students,15798,658,2212,14,3925,24.8,7702,48.8,1959,12.4,9661,61.2
BRONX,4,2007,All Students,16066,662,1906,11.9,3775,23.5,8202,51.1,2183,13.6,10385,64.6
BRONX,4,2008,All Students,15745,668,1404,8.9,2943,18.7,9010,57.2,2388,15.2,11398,72.4
BRONX,4,2009,All Students,15531,678,1031,6.6,2188,14.1,8631,55.6,3681,23.7,12312,79.3
BRONX,4,2010,All Students,15906,674,1524,9.6,6980,43.9,5232,32.9,2170,13.6,7402,46.5
BRONX,4,2011,All Students,15912,675,1531,9.6,6399,40.2,5800,36.5,2182,13.7,7982,50.2
BRONX,4,2012,All Students,15373,677,1452,9.4,5752,37.4,5566,36.2,2603,16.9,8169,53.1
BRONX,5,2006,All Students,16393,647,2975,18.1,5540,33.8,6698,40.9,1180,7.2,7878,48.1
BRONX,5,2007,All Students,16260,656,1960,12.1,4881,30,7802,48,1617,9.9,9419,57.9
BRONX,5,2008,All Students,15762,664,1236,7.8,3445,21.9,8957,56.8,2124,13.5,11081,70.3
BRONX,5,2009,All Students,15499,673,664,4.3,2592,16.7,8790,56.7,3453,22.3,12243,79
BRONX,5,2010,All Students,15520,673,1719,11.1,6326,40.8,5331,34.3,2144,13.8,7475,48.2
BRONX,5,2011,All Students,15706,675,1561,9.9,6091,38.8,6116,38.9,1938,12.3,8054,51.3
BRONX,5,2012,All Students,15724,676,1861,11.8,5533,35.2,5644,35.9,2686,17.1,8330,53
BRONX,6,2006,All Students,15831,636,4095,25.9,5598,35.4,5467,34.5,671,4.2,6138,38.8
BRONX,6,2007,All Students,15622,647,2862,18.3,5128,32.8,6516,41.7,1116,7.1,7632,48.9
BRONX,6,2008,All Students,15375,654,1837,11.9,4407,28.7,7541,49,1590,10.3,9131,59.4
BRONX,6,2009,All Students,15440,663,1231,8,3856,25,8385,54.3,1968,12.7,10353,67.1
BRONX,6,2010,All Students,15408,665,2580,16.7,6572,42.7,4250,27.6,2006,13,6256,40.6
BRONX,6,2011,All Students,15393,667,2531,16.4,6313,41,4771,31,1778,11.6,6549,42.5
BRONX,6,2012,All Students,15548,668,2344,15.1,6011,38.7,4768,30.7,2425,15.6,7193,46.3
BRONX,7,2006,All Students,16655,629,4192,25.2,7373,44.3,4726,28.4,364,2.2,5090,30.6
BRONX,7,2007,All Students,16206,642,2571,15.9,6746,41.6,5934,36.6,955,5.9,6889,42.5
BRONX,7,2008,All Students,16031,652,1351,8.4,5546,34.6,7847,48.9,1287,8,9134,57
BRONX,7,2009,All Students,15611,663,499,3.2,3933,25.2,9551,61.2,1628,10.4,11179,71.6
BRONX,7,2010,All Students,15554,660,2780,17.9,6726,43.2,4261,27.4,1787,11.5,6048,38.9
BRONX,7,2011,All Students,15455,663,2533,16.4,6528,42.2,4476,29,1918,12.4,6394,41.4
BRONX,7,2012,All Students,15384,663,2646,17.2,6236,40.5,4477,29.1,2025,13.2,6502,42.3
BRONX,8,2006,All Students,16738,627,5548,33.1,6942,41.5,3874,23.1,374,2.2,4248,25.4
BRONX,8,2007,All Students,16729,634,4500,26.9,6953,41.6,4779,28.6,497,3,5276,31.5
BRONX,8,2008,All Students,15812,646,2410,15.2,5998,37.9,6534,41.3,870,5.5,7404,46.8
BRONX,8,2009,All Students,16054,659,1024,6.4,5013,31.2,8784,54.7,1233,7.7,10017,62.4
