JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
Council District 001 Manhattan,56,30,0.54,26,0.46,0,0,56,100,0,0,3,0.05,0,0,47,0.84,0,0,6,0.11,0,0,0,0,56,100,4,0.07,52,0.93,0,0,0,0,56,100,7,0.13,49,0.88,0,0,56,100
Council District 002 Manhattan,9,3,0.33,6,0.67,0,0,9,100,0,0,0,0,0,0,3,0.33,6,0.67,0,0,0,0,0,0,9,100,0,0,9,1,0,0,0,0,9,100,0,0,9,1,0,0,9,100
Council District 003 Manhattan,69,40,0.58,29,0.42,0,0,69,100,0,0,26,0.38,0,0,7,0.1,1,0.01,31,0.45,4,0.06,0,0,69,100,3,0.04,66,0.96,0,0,0,0,69,100,31,0.45,38,0.55,0,0,69,100
Council District 004 Manhattan,1,1,1,0,0,0,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1,100
Council District 005 Manhattan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council District 006 Manhattan,11,9,0.82,2,0.18,0,0,11,100,0,0,3,0.27,0,0,1,0.09,3,0.27,3,0.27,0,0,1,0.09,11,99,0,0,11,1,0,0,0,0,11,100,6,0.55,5,0.45,0,0,11,100
Council District 007 Manhattan,10,6,0.6,4,0.4,0,0,10,100,0,0,3,0.3,0,0,2,0.2,0,0,4,0.4,1,0.1,0,0,10,100,1,0.1,9,0.9,0,0,0,0,10,100,1,0.1,9,0.9,0,0,10,100
Council District 008 Manhattan,32,19,0.59,13,0.41,0,0,32,100,0,0,16,0.5,0,0,0,0,0,0,15,0.47,1,0.03,0,0,32,100,3,0.09,29,0.91,0,0,0,0,32,100,12,0.38,20,0.63,0,0,32,100
Council District 009 Manhattan,15,11,0.73,4,0.27,0,0,15,100,0,0,3,0.2,0,0,0,0,0,0,11,0.73,1,0.07,0,0,15,100,0,0,15,1,0,0,0,0,15,100,4,0.27,11,0.73,0,0,15,100
Council District 010 Manhattan,15,6,0.4,9,0.6,0,0,15,100,0,0,10,0.67,0,0,1,0.07,0,0,3,0.2,1,0.07,0,0,15,100,1,0.07,14,0.93,0,0,0,0,15,100,7,0.47,8,0.53,0,0,15,100
