MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
1-00011-0014,"26 BEAVER STREET
New York, NY
(40.70497232969126, -74.01193418883679)",FINANCIAL,D4-ELEVATOR,21,1909,51387,1875625,36.5,8740000,170,1-00053-0033,"110 GREENWICH STREET
New York, NY
(40.708677536452, -74.01331015154159)",FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.3,1-00071-0001,"156 FRONT STREET
New York, NY
(40.70586265850028, -74.00540511090406)",FINANCIAL,D2-ELEVATOR,66,1930,50955,1780000,34.9,8290000,163,0.35
1-00028-0001,"3 HANOVER SQUARE
New York, NY
(40.704855592723256, -74.00984702324092)",FINANCIAL,D0-ELEVATOR,209,1926,239121,8130114,34,37900000,158,1-00042-0001,"100 MAIDEN LANE
New York, NY
(40.70687889239338, -74.00698791767564)",FINANCIAL,D6-ELEVATOR,342,1930,290116,12283000,42.3,60300000,208,0.15,1-00021-0006,"69 BROADWAY
New York, NY
(40.70726560086598, -74.01209606680203)",FINANCIAL,D5-ELEVATOR,237,1900,303086,9972000,32.9,46400000,153,0.25
1-00064-0008,"53 LIBERTY STREET
New York, NY
(40.70865955001142, -74.00946105325619)",FINANCIAL,D4-ELEVATOR,94,1911,167448,5986266,35.8,27900000,167,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,204,1900,159000,5860000,36.9,27300000,172,0.15,1-00077-0001,"87 JOHN STREET
New York, NY
(40.70833579408088, -74.00667315496537)",FINANCIAL,D7-ELEVATOR,164,1926,160000,5540000,34.6,25800000,161,0.15
1-00065-0017,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",FINANCIAL,D4-ELEVATOR,82,1927,168176,6012292,35.8,28000000,166,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,204,1900,159000,5860000,36.9,27300000,172,0.15,1-00077-0001,"87 JOHN STREET
New York, NY
(40.70833579408088, -74.00667315496537)",FINANCIAL,D7-ELEVATOR,164,1926,160000,5540000,34.6,25800000,161,0.15
1-00094-0001,"80 GOLD STREET
New York, NY
(40.71023336356268, -74.00426297192683)",SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,60918566,29.3,129000000,62,1-00016-0100,"345 END AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",TRIBECA,D6-ELEVATOR,1720,1983,1881621,55859000,29.7,260000000,138,0.65,1-01052-0001,"576 10 AVENUE
New York, NY
(40.75996587178298, -73.9952247855324)",CLINTON,D6-ELEVATOR,1708,1976,2035745,58981570,29,125000000,61,3.45
1-00100-0026,"138 NASSAU STREET
New York, NY
(40.71134852287901, -74.00630443293335)",SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2263527,28.5,9380000,118,1-01150-0048,"140 79 STREET
New York, NY
(40.629614291868386, -74.0335743753116)",UPPER WEST SIDE (59-79),D9-ELEVATOR,74,1914,75240,2297524,30.5,10700000,142,5.1,1-01125-0009,"37 72 STREET
New York, NY
(40.63558892429418, -74.03557236732507)",UPPER WEST SIDE (59-79),D7-ELEVATOR,94,1929,80281,2325584,29,9630000,120,4.75
1-00101-0001,"36 PARK ROW
New York, NY
(40.71178919067336, -74.00656523632188)",SOUTHBRIDGE,D4-ELEVATOR,51,1900,111685,3227696,28.9,13400000,120,1-00079-0010,"17 JOHN STREET
New York, NY
(40.709855648310395, -74.00887649393718)",FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.15,1-00764-0042,"72 7 AVENUE
New York, NY
(40.7391105939235, -73.9992717346642)",CHELSEA,D6-ELEVATOR,113,1931,109669,3282000,29.9,15300000,140,1.95
1-00106-0007,"266 WATER STREET
New York, NY
(40.70838975340263, -74.00167292448248)",SOUTHBRIDGE,D0-ELEVATOR,24,1900,41203,1503909,36.5,7010000,170,1-00065-0006,"21 MAIDEN LANE
New York, NY
(40.70932515986592, -74.00907404591854)",FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.4,1-00592-0082,"129 WASHINGTON PLACE
New York, NY
(40.732959231243115, -74.00181681600714)",GREENWICH VILLAGE-WEST,D9-ELEVATOR,52,1924,38214,1488000,38.9,7300000,191,1.65
1-00117-0001,"185 PARK ROW
New York, NY
(40.71288621977595, -74.0011948091113)",CIVIC CENTER,D4-ELEVATOR,880,1960,515425,14895782,28.9,61700000,120,1-00151-0001,"101 DUANE STREET
New York, NY
(40.715548356755846, -74.00609758886662)",CIVIC CENTER,D6-ELEVATOR,443,1988,434418,16704000,38.5,82000000,189,0.4,1-00026-0021,"45 WALL STREET
New York, NY
(40.706510170361355, -74.00970387020413)",FINANCIAL,D9-ELEVATOR,438,1958,493187,16700000,33.9,77800000,158,0.7
1-00134-0025,"258 BROADWAY
New York, NY
(40.71347092286817, -74.00688899225241)",CIVIC CENTER,D4-ELEVATOR,46,1915,88320,2892480,32.8,13500000,153,1-00585-0001,"464 HUDSON STREET
New York, NY
(40.7319340041297, -74.00656523632188)",GREENWICH VILLAGE-WEST,D7-ELEVATOR,137,1900,97290,3471000,35.7,16200000,167,1.25,1-01029-0036,"910 7 AVENUE
New York, NY
(40.76600032259955, -73.97970248730667)",MIDTOWN WEST,D6-ELEVATOR,66,1913,94166,2887086,30.7,13400000,142,3.85
1-00137-0005,"76 WARREN STREET
New York, NY
(40.71522460082531, -74.01027943630288)",TRIBECA,D4-ELEVATOR,34,1915,70000,2327500,33.3,10800000,154,1-00902-0030,"371 2 AVENUE
New York, NY
(40.736727390545866, -73.98173495509286)",GRAMERCY,D6-ELEVATOR,94,1930,77640,2697657,34.7,12600000,162,2.05,1-01128-0061,"331 COLUMBUS AVENUE
New York, NY
(40.77981390896963, -73.97704049409992)",UPPER WEST SIDE (59-79),D9-ELEVATOR,57,1900,62434,2023651,32.4,9430000,151,4.7
