Bronx,2005,2006,2007,2008,2009,Total
40th Precinct,7%,6%,12%,2%,2%,29%
41st Precinct,4%,3%,3%,3%,3%,16%
42nd Precinct,3%,4%,6%,3%,3%,19%
43rd Precinct,10%,6%,8%,2%,8%,34%
44th Precinct,5%,7%,7%,8%,7%,34%
45th Precinct,3%,2%,0%,2%,3%,10%
46th Precinct,3%,3%,3%,7%,12%,28%
47th Precicnt,3%,9%,2%,3%,7%,24%
48th Precinct,8%,1%,2%,6%,7%,24%
49th Precinct,5%,2%,1%,2%,4%,14%
50th Precinct,2%,3%,1%,0%,2%,8%
52nd Precinct,7%,5%,3%,6%,5%,26%
Bronx Total,60%,51%,48%,44%,63%,266%
Percentage of Citywide Substantiated Complaints,23.1%,19.3%,22.2%,27.3%,32%,24.2%
