Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,All Students,13296,650,2154,16.2,4457,33.5,6347,47.7,338,2.5,6685,50.3
BRONX,3,2007,All Students,15871,645,2934,18.5,5864,36.9,6641,41.8,432,2.7,7073,44.6
BRONX,3,2008,All Students,15380,649,2022,13.1,5862,38.1,6875,44.7,621,4,7496,48.7
BRONX,3,2009,All Students,15531,655,1450,9.3,4837,31.1,8658,55.7,586,3.8,9244,59.5
BRONX,3,2010,All Students,15454,657,3845,24.9,6080,39.3,4331,28,1198,7.8,5529,35.8
BRONX,3,2011,All Students,15434,654,3520,22.8,6468,41.9,5242,34,204,1.3,5446,35.3
BRONX,3,2012,All Students,15601,655,3834,24.6,6315,40.5,5138,32.9,314,2,5452,34.9
BRONX,4,2006,All Students,13655,647,2182,16,4854,35.5,6224,45.6,395,2.9,6619,48.5
BRONX,4,2007,All Students,15775,644,2471,15.7,6166,39.1,6770,42.9,368,2.3,7138,45.2
BRONX,4,2008,All Students,15434,645,2372,15.4,5467,35.4,7224,46.8,371,2.4,7595,49.2
BRONX,4,2009,All Students,15237,654,1284,8.4,4845,31.8,8780,57.6,328,2.2,9108,59.8
BRONX,4,2010,All Students,15577,658,2563,16.5,7823,50.2,4936,31.7,255,1.6,5191,33.3
BRONX,4,2011,All Students,15552,660,2265,14.6,7295,46.9,5888,37.9,104,0.7,5992,38.5
BRONX,4,2012,All Students,15014,661,2357,15.7,6830,45.5,5634,37.5,193,1.3,5827,38.8
BRONX,5,2006,All Students,14951,642,1827,12.2,6502,43.5,6094,40.8,528,3.5,6622,44.3
BRONX,5,2007,All Students,15941,644,1859,11.7,7393,46.4,6443,40.4,246,1.5,6689,42
BRONX,5,2008,All Students,15450,652,672,4.3,5825,37.7,8701,56.3,252,1.6,8953,57.9
BRONX,5,2009,All Students,15210,660,238,1.6,5071,33.3,9218,60.6,683,4.5,9901,65.1
BRONX,5,2010,All Students,15099,662,3216,21.3,6676,44.2,4268,28.3,939,6.2,5207,34.5
